set,group_id,apul,peve,ptua,swissprot_accession,protein_name,evalue,source,go_terms,marker_family,subcategory,confidence,justification,reference
respiration,OG_02685,FUN_010945-T1,Peve_00040401,Pocillopora_meandrina_HIv1___RNAseq.g21808.t1,P04636,"Malate dehydrogenase, mitochondrial (EC 1.1.1.37)",9.3e-115,GO+curated,GO:0006099(tricarboxylic acid cycle); GO:0009060(aerobic respiration),TCA cycle enzymes,TCA cycle,high,Core TCA-cycle enzyme generating reducing equivalents for the ETC.,"KEGG citrate (TCA) cycle map00020; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_04950,FUN_023040-T1,Peve_00008504,Pocillopora_meandrina_HIv1___RNAseq.g3859.t1,Q28479,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial (Isocitric dehydrogenase subunit beta) (NAD(+)-specific ICDH subunit beta)",1.3e-112,GO+curated,GO:0006099(tricarboxylic acid cycle),TCA cycle enzymes,TCA cycle,high,Core TCA-cycle enzyme generating reducing equivalents for the ETC.,"KEGG citrate (TCA) cycle map00020; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_06379,FUN_028985-T1,Peve_00026496,Pocillopora_meandrina_HIv1___RNAseq.g25615.t1,Q96I99,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial (EC 6.2.1.4) (GTP-specific succinyl-CoA synthetase subunit beta) (G-SCS) (GTPSCS) (Succinyl-CoA synthetase beta-G chain) (SCS-betaG)",8.199999999999999e-148,GO+curated,GO:0006099(tricarboxylic acid cycle),TCA cycle enzymes,TCA cycle,high,Core TCA-cycle enzyme generating reducing equivalents for the ETC.,"KEGG citrate (TCA) cycle map00020; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_06798,FUN_031686-T1,Peve_00013838,Pocillopora_meandrina_HIv1___RNAseq.g5776.t1,Q9D2G2,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex) (E2K)",8.5e-127,GO+curated,GO:0006099(tricarboxylic acid cycle),TCA cycle enzymes,TCA cycle,high,Core TCA-cycle enzyme generating reducing equivalents for the ETC.,"KEGG citrate (TCA) cycle map00020; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_06914,FUN_031975-T1,Peve_00043634,Pocillopora_meandrina_HIv1___RNAseq.27566_t,P14408,"Fumarate hydratase, mitochondrial (Fumarase) (EC 4.2.1.2)",6.6e-210,GO+curated,GO:0006099(tricarboxylic acid cycle),TCA cycle enzymes,TCA cycle,high,Core TCA-cycle enzyme generating reducing equivalents for the ETC.,"KEGG citrate (TCA) cycle map00020; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_09403,FUN_040783-T1,Peve_00042929,Pocillopora_meandrina_HIv1___RNAseq.4208_tb,Q04467,"Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (ICD-M) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)",6.3e-167,GO+curated,GO:0006099(tricarboxylic acid cycle),TCA cycle enzymes,TCA cycle,high,Core TCA-cycle enzyme generating reducing equivalents for the ETC.,"KEGG citrate (TCA) cycle map00020; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_01530,FUN_006329-T1,Peve_00012586,Pocillopora_meandrina_HIv1___RNAseq.g20351.t1,P09623,"Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase)",1.1e-207,curated,,Pyruvate dehydrogenase complex,TCA feeder,high,"PDH complex converts pyruvate to acetyl-CoA, feeding the TCA cycle / aerobic respiration.","KEGG citrate (TCA) cycle map00020; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_02994,FUN_012170-T1,Peve_00008637,Pocillopora_meandrina_HIv1___RNAseq.g23453.t1,P08559,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial (EC 1.2.4.1) (PDHE1-A type I)",1.4000000000000001e-133,GO+curated,GO:0006099(tricarboxylic acid cycle),Pyruvate dehydrogenase complex,TCA feeder,high,"PDH complex converts pyruvate to acetyl-CoA, feeding the TCA cycle / aerobic respiration.","KEGG citrate (TCA) cycle map00020; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_04478,FUN_021108-T1,Peve_00008861,Pocillopora_meandrina_HIv1___RNAseq.g4371.t1,Q15119,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 2) (PDH kinase 2) (PDKII)",7.8e-108,curated,,Pyruvate dehydrogenase complex,TCA feeder,high,"PDH complex converts pyruvate to acetyl-CoA, feeding the TCA cycle / aerobic respiration.","KEGG citrate (TCA) cycle map00020; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_10290,FUN_045095-T1,Peve_00018799,Pocillopora_meandrina_HIv1___RNAseq.g639.t1,Q9D051,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (PDHE1-B) (EC 1.2.4.1)",1.7e-146,GO+curated,GO:0006099(tricarboxylic acid cycle),Pyruvate dehydrogenase complex,TCA feeder,high,"PDH complex converts pyruvate to acetyl-CoA, feeding the TCA cycle / aerobic respiration.","KEGG citrate (TCA) cycle map00020; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_04749,FUN_022632-T1,Peve_00012223,Pocillopora_meandrina_HIv1___RNAseq.g2906.t1,Q2NKW0,Biogenesis of lysosome-related organelles complex 1 subunit 1 (BLOC-1 subunit 1) (Protein acetyltransferase BLOC1S1) (EC 2.3.1.-),2.7000000000000004e-32,GO,GO:0009060(aerobic respiration),GO:aerobic respiration,aerobic respiration,high,Annotated with GO:0009060(aerobic respiration).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
respiration,OG_09057,FUN_038738-T1,Peve_00009277,Pocillopora_meandrina_HIv1___TS.g19181.t1,Q8CFY5,"Protoheme IX farnesyltransferase, mitochondrial (EC 2.5.1.141) (Heme O synthase)",6.6e-91,GO,GO:0009060(aerobic respiration),GO:aerobic respiration,aerobic respiration,high,Annotated with GO:0009060(aerobic respiration).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
respiration,OG_01209,FUN_004882-T1,Peve_00043725,Pocillopora_meandrina_HIv1___TS.g20387.t1,Q6DH02,"Large ribosomal subunit protein uL24m (39S ribosomal protein L24, mitochondrial) (L24mt) (MRP-L24)",1.8e-43,GO,GO:0045333(cellular respiration),GO:cellular respiration,cellular respiration,high,Annotated with GO:0045333(cellular respiration).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
respiration,OG_01490,FUN_006166-T1,Peve_00021031,Pocillopora_meandrina_HIv1___RNAseq.g20430.t1,Q9VQ37,Mitochondrial carrier protein Rim2,5.000000000000001e-78,GO,GO:0045333(cellular respiration),GO:cellular respiration,cellular respiration,high,Annotated with GO:0045333(cellular respiration).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
respiration,OG_04731,FUN_022599-T1,Peve_00012273,Pocillopora_meandrina_HIv1___RNAseq.g4424.t2,F1LZW6,"Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial (Solute carrier family 25 member 13)",7.100000000000001e-186,GO,GO:0045333(cellular respiration),GO:cellular respiration,cellular respiration,high,Annotated with GO:0045333(cellular respiration).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
respiration,OG_00217,FUN_000943-T1,Peve_00010048,Pocillopora_meandrina_HIv1___RNAseq.g29499.t1,Q791V5,Mitochondrial carrier homolog 2 (Met-induced mitochondrial protein),2.7e-60,GO,GO:0042775(mito ATP synth coupled ET),GO:mito ATP synth coupled ET,mito ATP synth coupled ET,high,Annotated with GO:0042775(mito ATP synth coupled ET).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
respiration,OG_00056,FUN_000334-T1,Peve_00033540,Pocillopora_meandrina_HIv1___RNAseq.g29089.t1,Q6XHB2,Probable serine/threonine-protein kinase roco4 (EC 2.7.11.1) (Ras of complex proteins and C-terminal of roc 4),1.4e-16,GO,"GO:0006120(mito ET, NADH to ubiquinone)","GO:mito ET, NADH to ubiquinone","mito ET, NADH to ubiquinone",high,"Annotated with GO:0006120(mito ET, NADH to ubiquinone).","Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
respiration,OG_05973,FUN_026389-T1,Peve_00032417,Pocillopora_meandrina_HIv1___RNAseq.g2951.t1,Q54UT2,Deoxyguanosine kinase (dGK) (EC 2.7.1.113) (DddGK),9e-51,GO,"GO:0006120(mito ET, NADH to ubiquinone)","GO:mito ET, NADH to ubiquinone","mito ET, NADH to ubiquinone",high,"Annotated with GO:0006120(mito ET, NADH to ubiquinone).","Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
respiration,OG_02798,FUN_011765-T1,Peve_00035074,Pocillopora_meandrina_HIv1___RNAseq.g23800.t1,P43246,DNA mismatch repair protein Msh2 (hMSH2) (MutS protein homolog 2),0.0,GO,GO:0006119(oxidative phosphorylation),GO:oxidative phosphorylation,oxidative phosphorylation,high,Annotated with GO:0006119(oxidative phosphorylation).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
respiration,OG_02285,FUN_008791-T1,Peve_00042603,Pocillopora_meandrina_HIv1___RNAseq.g12694.t1,Q08BB2,N-fatty-acyl-amino acid synthase/hydrolase PM20D1.2 (EC 3.5.1.114) (EC 3.5.1.14) (Peptidase M20 domain-containing protein 1.2),2.6e-115,GO,GO:0022904(respiratory electron transport chain),GO:respiratory electron transport chain,respiratory electron transport chain,high,Annotated with GO:0022904(respiratory electron transport chain).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
respiration,OG_04744,FUN_022625-T1,Peve_00012278,Pocillopora_meandrina_HIv1___RNAseq.g4387.t1,P04179,"Superoxide dismutase [Mn], mitochondrial (EC 1.15.1.1)",3e-77,GO,GO:0022904(respiratory electron transport chain),GO:respiratory electron transport chain,respiratory electron transport chain,high,Annotated with GO:0022904(respiratory electron transport chain).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
respiration,OG_09266,FUN_040071-T1,Peve_00021006,Pocillopora_meandrina_HIv1___RNAseq.g7693.t1,P17439,Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Beta-glucocerebrosidase) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.-) (D-glucosyl-N-acylsphingosine glucohydrolase) (Lysosomal cholesterol glycosyltransferase) (Lysosomal galactosylceramidase) (EC 3.2.1.46) (Lysosomal glycosylceramidase),5.999999999999999e-140,GO,GO:0022904(respiratory electron transport chain),GO:respiratory electron transport chain,respiratory electron transport chain,high,Annotated with GO:0022904(respiratory electron transport chain).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
respiration,OG_09672,FUN_041890-T1,Peve_00033394,Pocillopora_meandrina_HIv1___RNAseq.g15420.t1,P38117,Electron transfer flavoprotein subunit beta (Beta-ETF),1.4e-94,GO,GO:0022904(respiratory electron transport chain),GO:respiratory electron transport chain,respiratory electron transport chain,high,Annotated with GO:0022904(respiratory electron transport chain).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
respiration,OG_05374,FUN_024187-T1,Peve_00013614,Pocillopora_meandrina_HIv1___RNAseq.g18887.t1,Q921G7,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial (ETF-QO) (ETF-ubiquinone oxidoreductase) (EC 1.5.5.1) (Electron-transferring-flavoprotein dehydrogenase) (ETF dehydrogenase)",1.8999999999999998e-280,curated,,ETF-ubiquinone oxidoreductase,ETC electron carrier,moderate,Feeds electrons from flavoprotein dehydrogenases to ubiquinone.,"KEGG oxidative phosphorylation map00190; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_01730,FUN_007024-T1,Peve_00032896,Pocillopora_meandrina_HIv1___RNAseq.g20020.t1,O49447,"ADP,ATP carrier protein 3, mitochondrial (ADP/ATP translocase 3) (Adenine nucleotide translocator 3) (ANT 3)",3.2e-110,curated,,ADP/ATP translocase,OXPHOS support,moderate,"Exchanges mitochondrial ATP for cytosolic ADP, sustaining OXPHOS flux.","KEGG oxidative phosphorylation map00190; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_05555,FUN_024763-T1,Peve_00020490,Pocillopora_meandrina_HIv1___TS.g28209.t1,O49447,"ADP,ATP carrier protein 3, mitochondrial (ADP/ATP translocase 3) (Adenine nucleotide translocator 3) (ANT 3)",7e-96,curated,,ADP/ATP translocase,OXPHOS support,moderate,"Exchanges mitochondrial ATP for cytosolic ADP, sustaining OXPHOS flux.","KEGG oxidative phosphorylation map00190; Kanehisa & Goto 2000, Nucleic Acids Res 28:27-30"
respiration,OG_09530,FUN_041607-T1,Peve_00026860,Pocillopora_meandrina_HIv1___RNAseq.g15307.t1,P49748,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (VLCAD) (EC 1.3.8.9)",5.3e-212,GO,GO:0015980(energy derivation by oxidation),GO:energy derivation by oxidation,energy derivation by oxidation,moderate,Annotated with GO:0015980(energy derivation by oxidation).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
