set,group_id,apul,peve,ptua,swissprot_accession,protein_name,evalue,source,go_terms,marker_family,subcategory,confidence,justification,reference
symbiosis,OG_07188,FUN_032679-T1,Peve_00015963,Pocillopora_meandrina_HIv1___RNAseq.g24109.t1,A4L9J0,Lens fiber major intrinsic protein (Aquaporin-0),3.4e-33,curated,,Aquaporin / aquaglyceroporin,nutrient/water transport,moderate,Aquaglyceroporins implicated in glycerol/water/DIC exchange in the symbiosis.,"Sproles et al. 2018, Mol Phylogenet Evol 120:307-320 (transporter proteins in the symbiosis)"
symbiosis,OG_02499,FUN_009842-T1,Peve_00009093,Pocillopora_meandrina_HIv1___RNAseq.g24508.t1,Q9NY64,"Solute carrier family 2, facilitated glucose transporter member 8 (Glucose transporter type 8) (GLUT-8) (Glucose transporter type X1)",1.5e-97,curated,,Facilitated glucose transporter,photosynthate transfer,moderate,Candidate conduit for translocated photosynthate (glucose).,"Sproles et al. 2018, Mol Phylogenet Evol 120:307-320 (transporter proteins in the symbiosis)"
symbiosis,OG_03276,FUN_013155-T1,Peve_00022447,Pocillopora_meandrina_HIv1___RNAseq.g12980.t1,P47843,"Solute carrier family 2, facilitated glucose transporter member 3 (Glucose transporter type 3, brain) (GLUT-3)",1.4000000000000001e-101,curated,,Facilitated glucose transporter,photosynthate transfer,moderate,Candidate conduit for translocated photosynthate (glucose).,"Sproles et al. 2018, Mol Phylogenet Evol 120:307-320 (transporter proteins in the symbiosis)"
symbiosis,OG_03287,FUN_013327-T1,Peve_00022435,Pocillopora_meandrina_HIv1___TS.g2081.t2,Q3B7Z2,Oxysterol-binding protein 1,1.6e-66,curated,,Oxysterol-binding protein,sterol transfer,moderate,Sterol-binding/transfer proteins implicated in symbiotic lipid trafficking.,"Dani et al. 2017, Cell Microbiol 19:e12753 (NPC1/NPC2 sterol transporters in symbiosis)"
symbiosis,OG_03738,FUN_015042-T1,Peve_00024407,Pocillopora_meandrina_HIv1___TS.g26003.t2,P22059,Oxysterol-binding protein 1,3.4e-206,curated,,Oxysterol-binding protein,sterol transfer,moderate,Sterol-binding/transfer proteins implicated in symbiotic lipid trafficking.,"Dani et al. 2017, Cell Microbiol 19:e12753 (NPC1/NPC2 sterol transporters in symbiosis)"
symbiosis,OG_06641,FUN_030202-T1,Peve_00017913,Pocillopora_meandrina_HIv1___RNAseq.g17365.t1,Q96SU4,Oxysterol-binding protein-related protein 9 (ORP-9) (OSBP-related protein 9),4.6e-91,curated,,Oxysterol-binding protein,sterol transfer,moderate,Sterol-binding/transfer proteins implicated in symbiotic lipid trafficking.,"Dani et al. 2017, Cell Microbiol 19:e12753 (NPC1/NPC2 sterol transporters in symbiosis)"
symbiosis,OG_07361,FUN_033773-T1,Peve_00005280,Pocillopora_meandrina_HIv1___RNAseq.g26658.t2,B9EJ86,Oxysterol-binding protein-related protein 8 (ORP-8) (OSBP-related protein 8),3.8e-197,curated,,Oxysterol-binding protein,sterol transfer,moderate,Sterol-binding/transfer proteins implicated in symbiotic lipid trafficking.,"Dani et al. 2017, Cell Microbiol 19:e12753 (NPC1/NPC2 sterol transporters in symbiosis)"
symbiosis,OG_04994,FUN_023126-T1,Peve_00025716,Pocillopora_meandrina_HIv1___RNAseq.g1765.t1,Q9JKF4,C-type lectin domain family 6 member A (C-type lectin superfamily member 10) (Dendritic cell-associated C-type lectin 2) (DC-associated C-type lectin 2) (Dectin-2),1.4e-11,curated,,Mannose / C-type lectin receptor,symbiont recognition,moderate,Host lectins recognise symbiont surface glycans.,"Wood-Charlson et al. 2006, Cell Microbiol 8:1985-1993 (lectin/glycan recognition)"
symbiosis,OG_05150,FUN_023433-T1,Peve_00019225,Pocillopora_meandrina_HIv1___TS.g25287.t1,Q9UBG0,C-type mannose receptor 2 (C-type lectin domain family 13 member E) (Endocytic receptor 180) (Macrophage mannose receptor 2) (Urokinase-type plasminogen activator receptor-associated protein) (UPAR-associated protein) (Urokinase receptor-associated protein) (CD antigen CD280),8.5e-14,curated,,Mannose / C-type lectin receptor,symbiont recognition,moderate,Host lectins recognise symbiont surface glycans.,"Wood-Charlson et al. 2006, Cell Microbiol 8:1985-1993 (lectin/glycan recognition)"
symbiosis,OG_10149,FUN_043541-T1,Peve_00011556,Pocillopora_meandrina_HIv1___TS.g1771.t2,P07307,Asialoglycoprotein receptor 2 (ASGP-R 2) (ASGPR 2) (C-type lectin domain family 4 member H2) (Hepatic lectin H2) (HL-2),7.5e-13,curated,,Mannose / C-type lectin receptor,symbiont recognition,moderate,Host lectins recognise symbiont surface glycans.,"Wood-Charlson et al. 2006, Cell Microbiol 8:1985-1993 (lectin/glycan recognition)"
symbiosis,OG_01108,FUN_004630-T1,Peve_00024470,Pocillopora_meandrina_HIv1___RNAseq.g506.t1b,Q15485,Ficolin-2 (37 kDa elastin-binding protein) (Collagen/fibrinogen domain-containing protein 2) (EBP-37) (Ficolin-B) (Ficolin-beta) (Hucolin) (L-ficolin) (Serum lectin p35),3.3e-50,curated,,Tachylectin / ficolin / fucolectin,symbiont recognition,moderate,Carbohydrate-recognition lectins implicated in symbiont uptake/winnowing.,"Kvennefors et al. 2008, Dev Comp Immunol 32:1582-1592 (mannose-binding lectin in Acropora)"
symbiosis,OG_00150,FUN_000596-T1,Peve_00041271,Pocillopora_meandrina_HIv1___RNAseq.g29285.t1,P36543,V-type proton ATPase subunit E 1 (V-ATPase subunit E 1) (V-ATPase 31 kDa subunit) (p31) (Vacuolar proton pump subunit E 1),6.7e-69,curated,,V-type proton ATPase,symbiosome CCM,moderate,Acidifies the symbiosome to concentrate carbon for photosynthesis.,"Barott et al. 2015, PNAS 112:607-612 (V-ATPase symbiosome acidification / CCM)"
symbiosis,OG_04506,FUN_022030-T1,Peve_00036252,Pocillopora_meandrina_HIv1___RNAseq.g3188.t1,Q9Z1G4,V-type proton ATPase 116 kDa subunit a 1 (V-ATPase 116 kDa subunit a 1) (Clathrin-coated vesicle/synaptic vesicle proton pump 116 kDa subunit) (Vacuolar adenosine triphosphatase subunit Ac116) (Vacuolar proton pump subunit 1) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 1),9.9e-307,curated,,V-type proton ATPase,symbiosome CCM,moderate,Acidifies the symbiosome to concentrate carbon for photosynthesis.,"Barott et al. 2015, PNAS 112:607-612 (V-ATPase symbiosome acidification / CCM)"
symbiosis,OG_04918,FUN_022975-T1,Peve_00011910,Pocillopora_meandrina_HIv1___RNAseq.g3756.t1,Q20591,V-type proton ATPase subunit e (V-ATPase subunit e) (Vacuolar proton pump subunit e),2.4e-14,curated,,V-type proton ATPase,symbiosome CCM,moderate,Acidifies the symbiosome to concentrate carbon for photosynthesis.,"Barott et al. 2015, PNAS 112:607-612 (V-ATPase symbiosome acidification / CCM)"
symbiosis,OG_05592,FUN_025098-T1,Peve_00038381,Pocillopora_meandrina_HIv1___RNAseq.g19422.t1,P63082,V-type proton ATPase 16 kDa proteolipid subunit c (V-ATPase 16 kDa proteolipid subunit c) (PL16) (Vacuolar proton pump 16 kDa proteolipid subunit c),5.9999999999999995e-61,curated,,V-type proton ATPase,symbiosome CCM,moderate,Acidifies the symbiosome to concentrate carbon for photosynthesis.,"Barott et al. 2015, PNAS 112:607-612 (V-ATPase symbiosome acidification / CCM)"
symbiosis,OG_06555,FUN_029434-T1,Peve_00039460,Pocillopora_meandrina_HIv1___RNAseq.g17170.t1,Q2TA24,V-type proton ATPase 21 kDa proteolipid subunit c'' (V-ATPase 21 kDa proteolipid subunit c'') (Vacuolar proton pump 21 kDa proteolipid subunit c''),5.8e-62,curated,,V-type proton ATPase,symbiosome CCM,moderate,Acidifies the symbiosome to concentrate carbon for photosynthesis.,"Barott et al. 2015, PNAS 112:607-612 (V-ATPase symbiosome acidification / CCM)"
symbiosis,OG_07895,FUN_035274-T1,Peve_00044989,Pocillopora_meandrina_HIv1___RNAseq.g27861.t1,Q6PGV1,V-type proton ATPase subunit d 1 (V-ATPase subunit d 1) (Vacuolar proton pump subunit d 1),8.699999999999999e-172,curated,,V-type proton ATPase,symbiosome CCM,moderate,Acidifies the symbiosome to concentrate carbon for photosynthesis.,"Barott et al. 2015, PNAS 112:607-612 (V-ATPase symbiosome acidification / CCM)"
symbiosis,OG_04986,FUN_023113-T1,Peve_00045019,Pocillopora_meandrina_HIv1___RNAseq.g1698.t1,Q5ZJN2,Ras-related protein Rab-11A (EC 3.6.5.2),3.7999999999999996e-62,curated,,Symbiosome Rab GTPase (Rab5/7/11),symbiosome trafficking,moderate,Rab5/7/11 localise to the symbiosome and regulate its biogenesis.,Chen et al. 2003 BBRC 308:586; 2004 BBRC 324:1024; 2005 BBRC 338:1607 (symbiosome Rab GTPases)
