ID	Gene Name	Species	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
Q9H9S5	fukutin related protein(FKRP)	Homo sapiens			GO:0001701~in utero embryonic development,GO:0001764~neuron migration,GO:0003007~heart morphogenesis,GO:0003016~respiratory system process,GO:0006096~glycolytic process,GO:0006600~creatine metabolic process,GO:0006629~lipid metabolic process,GO:0006936~muscle contraction,GO:0006954~inflammatory response,GO:0007420~brain development,GO:0007628~adult walking behavior,GO:0009410~response to xenobiotic stimulus,GO:0010001~glial cell differentiation,GO:0014823~response to activity,GO:0016485~protein processing,GO:0017038~protein import,GO:0019321~pentose metabolic process,GO:0019519~pentitol metabolic process,GO:0022414~reproductive process,GO:0030282~bone mineralization,GO:0035269~protein O-linked mannosylation,GO:0035437~maintenance of protein localization in endoplasmic reticulum,GO:0036058~filtration diaphragm assembly,GO:0038026~reelin-mediated signaling pathway,GO:0043010~camera-type eye development,GO:0043403~skeletal muscle tissue regeneration,GO:0043491~phosphatidylinositol 3-kinase/protein kinase B signal transduction,GO:0050905~neuromuscular process,GO:0051262~protein tetramerization,GO:0051384~response to glucocorticoid,GO:0051674~localization of cell,GO:0060539~diaphragm development,GO:0061448~connective tissue development,GO:0071711~basement membrane organization,GO:0072592~oxygen metabolic process,GO:0097305~response to alcohol,GO:0097709~connective tissue replacement,GO:0098528~skeletal muscle fiber differentiation,	GO:0000139~Golgi membrane,GO:0005615~extracellular space,GO:0005654~nucleoplasm,GO:0005791~rough endoplasmic reticulum,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0016020~membrane,GO:0042383~sarcolemma,GO:0098723~skeletal muscle myofibril,	GO:0002162~dystroglycan binding,GO:0005515~protein binding,GO:0016780~phosphotransferase activity, for other substituted phosphate groups,GO:0042802~identical protein binding,GO:0043236~laminin binding,GO:0046872~metal ion binding,	IPR007074:LicD_fam,IPR052613:LicD_transferase,	hsa00515:Mannose type O-glycan biosynthesis,hsa01100:Metabolic pathways,	606612~Muscular dystrophy-dystroglycanopathy (congenital with or without impaired intellectual development), type B, 5,607155~Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 5,613153~Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 5,				KW-0256~Endoplasmic reticulum,KW-0333~Golgi apparatus,KW-0472~Membrane,KW-0963~Cytoplasm,KW-0964~Secreted,KW-1003~Cell membrane,	KW-0122~Cardiomyopathy,KW-0225~Disease variant,KW-0451~Lissencephaly,KW-0912~Congenital muscular dystrophy,KW-0947~Limb-girdle muscular dystrophy,KW-1215~Dystroglycanopathy,	KW-0735~Signal-anchor,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0460~Magnesium,KW-0479~Metal-binding,KW-0862~Zinc,	KW-0808~Transferase,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DISULFID:Interchain,MUTAGEN:D->A: Decrease in ribitol-5-phosphate transferase activity. Does not affect protein expression. Loss of ribitol-5-phosphate transferase activity.,MUTAGEN:D->A: Does not affect protein expression. Loss of ribitol-5-phosphate transferase activity.,MUTAGEN:Y->F: Affects the tetramer assembly. Decreases the ribitol-5-phosphate transferase activity of about 80%.,REGION:Disordered,REGION:Zinc finger loop,TOPO_DOM:Cytoplasmic,TOPO_DOM:Lumenal,TRANSMEM:Helical,
Q99315	gag-pol fusion protein(YGR109W-B)	Saccharomyces cerevisiae S288C			GO:0006278~RNA-templated DNA biosynthetic process,GO:0006310~DNA recombination,GO:0006508~proteolysis,GO:0015074~DNA integration,GO:0032197~retrotransposition,GO:0071897~DNA biosynthetic process,GO:0075523~viral translational frameshifting,	GO:0000943~retrotransposon nucleocapsid,GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0003676~nucleic acid binding,GO:0003677~DNA binding,GO:0003720~telomerase activity,GO:0003723~RNA binding,GO:0003887~DNA-directed DNA polymerase activity,GO:0003964~RNA-directed DNA polymerase activity,GO:0004190~aspartic-type endopeptidase activity,GO:0004519~endonuclease activity,GO:0004523~RNA-DNA hybrid ribonuclease activity,GO:0004540~RNA nuclease activity,GO:0005524~ATP binding,GO:0008233~peptidase activity,GO:0008270~zinc ion binding,GO:0034061~DNA polymerase activity,GO:0046872~metal ion binding,	IPR000477:RT_dom,IPR001584:Integrase_cat-core,IPR001878:Znf_CCHC,IPR012337:RNaseH-like_sf,IPR021109:Peptidase_aspartic_dom_sf,IPR024650:Peptidase_A2B,IPR036397:RNaseH_sf,IPR036875:Znf_CCHC_sf,IPR041577:RT_RNaseH_2,IPR041588:Integrase_H2C2,IPR043128:Rev_trsase/Diguanyl_cyclase,IPR043502:DNA/RNA_pol_sf,IPR045358:Ty3_capsid,IPR050951:Retrovirus_Pol_polyprotein,				SM00343:ZnF_C2HC,	KW-0229~DNA integration,KW-0233~DNA recombination,KW-0917~Virion maturation,KW-1188~Viral release from host cell,	KW-0539~Nucleus,KW-0963~Cytoplasm,		KW-0863~Zinc-finger,	KW-0067~ATP-binding,KW-0460~Magnesium,KW-0479~Metal-binding,KW-0547~Nucleotide-binding,KW-0862~Zinc,	KW-0064~Aspartyl protease,KW-0238~DNA-binding,KW-0239~DNA-directed DNA polymerase,KW-0255~Endonuclease,KW-0378~Hydrolase,KW-0511~Multifunctional enzyme,KW-0540~Nuclease,KW-0548~Nucleotidyltransferase,KW-0645~Protease,KW-0694~RNA-binding,KW-0695~RNA-directed DNA polymerase,KW-0808~Transferase,	KW-0007~Acetylation,	ACT_SITE:For protease activity; shared with dimeric partner,DOMAIN:Integrase catalytic,DOMAIN:RNase H Ty3/gyspy-type,DOMAIN:Reverse transcriptase,MUTAGEN:C->S: Reduces level of VLP formation and maturation.,MUTAGEN:H->Q: Reduces level of VLP formation and maturation.,PEPTIDE:Spacer peptide J,PEPTIDE:Spacer peptide p3,REGION:Integrase-type zinc finger-like,SITE:Cleavage; by Ty3 protease,SITE:Cleavage; by Ty3 protease; partial,ZN_FING:CCHC-type,
Q4FAT7	glucuronidase beta(GUSB)	Sus scrofa			GO:0005975~carbohydrate metabolic process,	GO:0005615~extracellular space,GO:0005764~lysosome,GO:0016020~membrane,	GO:0004553~hydrolase activity, hydrolyzing O-glycosyl compounds,GO:0004566~beta-glucuronidase activity,GO:0005102~signaling receptor binding,GO:0030246~carbohydrate binding,	IPR006101:Glyco_hydro_2,IPR006102:Glyco_hydro_2_Ig-like,IPR006103:Glyco_hydro_2_cat,IPR006104:Glyco_hydro_2_N,IPR008979:Galactose-bd-like_sf,IPR013783:Ig-like_fold,IPR017853:Glycoside_hydrolase_SF,IPR023230:Glyco_hydro_2_CS,IPR023232:Glyco_hydro_2_AS,IPR036156:Beta-gal/glucu_dom_sf,	ssc00040:Pentose and glucuronate interconversions,ssc00053:Ascorbate and aldarate metabolism,ssc00531:Glycosaminoglycan degradation,ssc00860:Porphyrin metabolism,ssc00983:Drug metabolism - other enzymes,ssc01100:Metabolic pathways,ssc01240:Biosynthesis of cofactors,ssc04142:Lysosome,					KW-0458~Lysosome,KW-0472~Membrane,		KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0326~Glycosidase,KW-0378~Hydrolase,	KW-0325~Glycoprotein,	ACT_SITE:Proton donor,CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:Glycoside hydrolase family 2 catalytic,DOMAIN:Glycoside hydrolase family 2 immunoglobulin-like beta-sandwich,DOMAIN:Glycosyl hydrolases family 2 sugar binding,TRANSMEM:Helical,
A6QLY2	glutathione peroxidase 7(GPX7)	Bos taurus			GO:0006979~response to oxidative stress,	GO:0005576~extracellular region,GO:0005783~endoplasmic reticulum,	GO:0004601~peroxidase activity,GO:0004602~glutathione peroxidase activity,	IPR000889:Glutathione_peroxidase,IPR013376:Glut_perox_Gpx7,IPR029759:GPX_AS,IPR029760:GPX_CS,IPR036249:Thioredoxin-like_sf,	bta00480:Glutathione metabolism,bta01100:Metabolic pathways,bta04918:Thyroid hormone synthesis,bta05014:Amyotrophic lateral sclerosis,bta05016:Huntington disease,bta05022:Pathways of neurodegeneration - multiple diseases,		PIRSF000303:Glutathion_perox,			KW-0964~Secreted,		KW-0732~Signal,		KW-0560~Oxidoreductase,KW-0575~Peroxidase,		REGION:Disordered,
Q6PCN7	helicase-like transcription factor(Hltf)	Mus musculus		Transcription / DNA replication, recombination, and repair,	GO:0006281~DNA repair,GO:0006325~chromatin organization,GO:0016567~protein ubiquitination,GO:0042789~mRNA transcription by RNA polymerase II,GO:0045944~positive regulation of transcription by RNA polymerase II,GO:0050767~regulation of neurogenesis,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0016363~nuclear matrix,GO:0090575~RNA polymerase II transcription regulator complex,	GO:0003676~nucleic acid binding,GO:0003677~DNA binding,GO:0004386~helicase activity,GO:0005524~ATP binding,GO:0008094~ATP-dependent activity, acting on DNA,GO:0008270~zinc ion binding,GO:0016740~transferase activity,GO:0016818~hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides,GO:0031625~ubiquitin protein ligase binding,GO:0061630~ubiquitin protein ligase activity,GO:0140658~ATP-dependent chromatin remodeler activity,	IPR000330:SNF2_N,IPR001650:Helicase_C-like,IPR001841:Znf_RING,IPR013083:Znf_RING/FYVE/PHD,IPR014001:Helicase_ATP-bd,IPR014905:HIRAN,IPR017907:Znf_RING_CS,IPR027417:P-loop_NTPase,IPR038718:SNF2-like_sf,IPR049730:SNF2/RAD54-like_C,IPR050628:SNF2_RAD54_helicase_TF,				SM00184:RING,SM00487:DEXDc,SM00490:HELICc,SM00910:HIRAN,	KW-0804~Transcription,KW-0833~Ubl conjugation pathway,	KW-0539~Nucleus,KW-0963~Cytoplasm,		KW-0863~Zinc-finger,	KW-0067~ATP-binding,KW-0479~Metal-binding,KW-0547~Nucleotide-binding,KW-0862~Zinc,	KW-0010~Activator,KW-0156~Chromatin regulator,KW-0238~DNA-binding,KW-0347~Helicase,KW-0378~Hydrolase,KW-0511~Multifunctional enzyme,KW-0808~Transferase,	KW-0488~Methylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),DOMAIN:HIRAN,DOMAIN:Helicase ATP-binding,DOMAIN:Helicase C-terminal,MOTIF:DEGH box,REGION:DNA-binding,REGION:Disordered,REGION:Interaction with SP1 and SP3,ZN_FING:RING-type,
O43390	heterogeneous nuclear ribonucleoprotein R(HNRNPR)	Homo sapiens			GO:0000398~mRNA splicing, via spliceosome,GO:0006397~mRNA processing,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005681~spliceosomal complex,GO:0005737~cytoplasm,GO:0005783~endoplasmic reticulum,GO:0071013~catalytic step 2 spliceosome,GO:1990904~ribonucleoprotein complex,	GO:0003723~RNA binding,GO:0003729~mRNA binding,GO:0005515~protein binding,	IPR000504:RRM_dom,IPR006535:HnRNP_R/Q_splicing_fac,IPR012677:Nucleotide-bd_a/b_plait_sf,IPR034410:hnRNPR_RRM1,IPR034411:hnRNPR_RRM2,IPR035979:RBD_domain_sf,IPR041337:hnRNP_Q_AcD,		620073~Neurodevelopmental disorder with dysmorphic facies and skeletal and brain abnormalities,		SM00360:RRM,	KW-0507~mRNA processing,KW-0508~mRNA splicing,	KW-0256~Endoplasmic reticulum,KW-0492~Microsome,KW-0539~Nucleus,KW-0747~Spliceosome,KW-0963~Cytoplasm,	KW-0225~Disease variant,KW-0991~Intellectual disability,	KW-0677~Repeat,		KW-0687~Ribonucleoprotein,KW-0694~RNA-binding,	KW-0007~Acetylation,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Polar residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),DOMAIN:RRM,DOMAIN:RRM 1,DOMAIN:RRM 2,DOMAIN:RRM 3,MOTIF:Nuclear localization signal,REGION:3 X 11 AA approximate repeats of D-D-Y-Y-G-Y-D-Y-H-D-Y,REGION:Disordered,REGION:RNA-binding RGG-box,REPEAT:1; approximate,REPEAT:2,REPEAT:3; approximate,
Q7ZUW2	hypoxia up-regulated 1(hyou1)	Danio rerio			GO:1903298~negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway,	GO:0005783~endoplasmic reticulum,GO:0005788~endoplasmic reticulum lumen,GO:0034663~endoplasmic reticulum chaperone complex,	GO:0000166~nucleotide binding,GO:0000774~adenyl-nucleotide exchange factor activity,GO:0005524~ATP binding,GO:0140662~ATP-dependent protein folding chaperone,	IPR013126:Hsp_70_fam,IPR018181:Heat_shock_70_CS,IPR029047:HSP70_peptide-bd_sf,IPR029048:HSP70_C_sf,IPR043129:ATPase_NBD,IPR050451:HSP70,	dre04141:Protein processing in endoplasmic reticulum,					KW-0256~Endoplasmic reticulum,		KW-0732~Signal,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0143~Chaperone,		COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,MOTIF:Prevents secretion from ER,REGION:Disordered,
Q9NXS3	kelch like family member 28(KLHL28)	Homo sapiens			GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,	GO:0005737~cytoplasm,GO:0031463~Cul3-RING ubiquitin ligase complex,	GO:1990756~ubiquitin-like ligase-substrate adaptor activity,	IPR000210:BTB/POZ_dom,IPR006652:Kelch_1,IPR011043:Gal_Oxase/kelch_b-propeller,IPR011333:SKP1/BTB/POZ_sf,IPR011705:BACK,IPR015915:Kelch-typ_b-propeller,IPR017096:BTB-kelch_protein,			PIRSF037037:Kelch-like_protein_gigaxonin,	SM00225:BTB,SM00612:Kelch,SM00875:BACK,				KW-0677~Repeat,KW-0880~Kelch repeat,				DOMAIN:BTB,REPEAT:Kelch 1,REPEAT:Kelch 2,REPEAT:Kelch 3,REPEAT:Kelch 4,REPEAT:Kelch 5,REPEAT:Kelch 6,
B0UYT5	major facilitator superfamily domain containing 6b(mfsd6b)	Danio rerio			GO:0042590~antigen processing and presentation of exogenous peptide antigen via MHC class I,	GO:0005886~plasma membrane,GO:0016020~membrane,	GO:0003674~molecular_function,	IPR024989:MFS_assoc_dom,IPR036259:MFS_trans_sf,IPR051717:MFS_MFSD6,						KW-0472~Membrane,		KW-0812~Transmembrane,KW-1133~Transmembrane helix,				COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:Major facilitator superfamily associated,REGION:Disordered,TRANSMEM:Helical,
Q5RIW8	mediator complex subunit 23(med23)	Danio rerio			GO:0006357~regulation of transcription by RNA polymerase II,GO:0010628~positive regulation of gene expression,GO:0043473~pigmentation,GO:0050768~negative regulation of neurogenesis,GO:0072359~circulatory system development,	GO:0005634~nucleus,GO:0005667~transcription regulator complex,GO:0016592~mediator complex,		IPR021629:Mediator_Med23,					KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,				KW-0010~Activator,		REGION:Disordered,
P38024	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase(PAICS)	Gallus gallus			GO:0006189~'de novo' IMP biosynthetic process,	GO:0005829~cytosol,	GO:0004638~phosphoribosylaminoimidazole carboxylase activity,GO:0004639~phosphoribosylaminoimidazolesuccinocarboxamide synthase activity,GO:0005524~ATP binding,GO:0016831~carboxy-lyase activity,	IPR000031:PurE_dom,IPR018236:SAICAR_synthetase_CS,IPR028923:SAICAR_synt/ADE2_N,IPR033626:PurE_classII,IPR044822:Myb_DNA-bind_4,IPR050089:SAICAR_synthetase,	gga00230:Purine metabolism,gga01100:Metabolic pathways,			SM01001:AIRC,	KW-0658~Purine biosynthesis,				KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0210~Decarboxylase,KW-0436~Ligase,KW-0456~Lyase,KW-0511~Multifunctional enzyme,		COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:Myb/SANT-like DNA-binding,DOMAIN:PurE,REGION:AIR carboxylase,REGION:Disordered,REGION:SAICAR synthetase,
Q5R4G2	platelet activating factor acetylhydrolase 1b catalytic subunit 2(PAFAH1B2)	Pongo abelii			GO:0007283~spermatogenesis,GO:0016042~lipid catabolic process,GO:0016239~positive regulation of macroautophagy,	GO:0001650~fibrillar center,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0008247~1-alkyl-2-acetylglycerophosphocholine esterase complex,	GO:0003847~1-alkyl-2-acetylglycerophosphocholine esterase activity,GO:0042803~protein homodimerization activity,GO:0046982~protein heterodimerization activity,GO:0047179~platelet-activating factor acetyltransferase activity,	IPR013830:SGNH_hydro,IPR036514:SGNH_hydro_sf,	pon00565:Ether lipid metabolism,pon01100:Metabolic pathways,				KW-0442~Lipid degradation,KW-0443~Lipid metabolism,	KW-0963~Cytoplasm,				KW-0378~Hydrolase,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	DOMAIN:SGNH hydrolase-type esterase,REGION:Disordered,
Q923G2	polymerase (RNA) II (DNA directed) polypeptide H(Polr2h)	Mus musculus			GO:0006351~DNA-templated transcription,GO:0006360~transcription by RNA polymerase I,GO:0006366~transcription by RNA polymerase II,GO:0006383~transcription by RNA polymerase III,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005665~RNA polymerase II, core complex,GO:0005666~RNA polymerase III complex,GO:0005736~RNA polymerase I complex,GO:0032993~protein-DNA complex,	GO:0001054~RNA polymerase I activity,GO:0001055~RNA polymerase II activity,GO:0001056~RNA polymerase III activity,GO:0003697~single-stranded DNA binding,GO:0003899~DNA-directed 5'-3' RNA polymerase activity,	IPR005570:RPABC3,IPR012340:NA-bd_OB-fold,	mmu03020:RNA polymerase,mmu03420:Nucleotide excision repair,mmu04623:Cytosolic DNA-sensing pathway,mmu05016:Huntington disease,		PIRSF000779:RNA_pol_Rpb8,	SM00658:RPOL8c,	KW-0804~Transcription,	KW-0240~DNA-directed RNA polymerase,KW-0539~Nucleus,KW-9994~DNA-directed RNA polymerase,		KW-0732~Signal,		KW-0238~DNA-binding,	KW-0007~Acetylation,	REGION:Non-specific ssDNA binding,
Q86UA1	pre-mRNA processing factor 39(PRPF39)	Homo sapiens		RNA processing and modification,	GO:0000395~mRNA 5'-splice site recognition,GO:0006396~RNA processing,	GO:0000243~commitment complex,GO:0005634~nucleus,GO:0005685~U1 snRNP,GO:0071004~U2-type prespliceosome,	GO:0005515~protein binding,GO:0030627~pre-mRNA 5'-splice site binding,	IPR003107:HAT,IPR008847:Suf,IPR011990:TPR-like_helical_dom_sf,				SM00386:HAT,	KW-0507~mRNA processing,KW-0508~mRNA splicing,	KW-0539~Nucleus,		KW-0677~Repeat,			KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:Suppressor of forked,REGION:Disordered,REPEAT:HAT 1,REPEAT:HAT 2,REPEAT:HAT 3,REPEAT:HAT 4,REPEAT:HAT 5,REPEAT:HAT 6,REPEAT:HAT 7,
Q4R7L3	proteasome 26S subunit, ATPase 4(PSMC4)	Macaca fascicularis			GO:0001824~blastocyst development,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,	GO:0005654~nucleoplasm,GO:0005829~cytosol,GO:0008540~proteasome regulatory particle, base subcomplex,GO:0022624~proteasome accessory complex,	GO:0005524~ATP binding,GO:0016887~ATP hydrolysis activity,GO:0036402~proteasome-activating activity,	IPR003593:AAA+_ATPase,IPR003959:ATPase_AAA_core,IPR003960:ATPase_AAA_CS,IPR012340:NA-bd_OB-fold,IPR027417:P-loop_NTPase,IPR032501:Prot_ATP_ID_OB_2nd,IPR041569:AAA_lid_3,IPR050221:26S_Proteasome_ATPase,	mcf03050:Proteasome,mcf05010:Alzheimer disease,mcf05012:Parkinson disease,mcf05014:Amyotrophic lateral sclerosis,mcf05016:Huntington disease,mcf05017:Spinocerebellar ataxia,mcf05020:Prion disease,mcf05022:Pathways of neurodegeneration - multiple diseases,mcf05169:Epstein-Barr virus infection,			SM00382:AAA,		KW-0539~Nucleus,KW-0647~Proteasome,KW-0963~Cytoplasm,		KW-0175~Coiled coil,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,		KW-0007~Acetylation,KW-0597~Phosphoprotein,	DOMAIN:AAA+ ATPase,
Q1JPG1	radial spoke head 10 homolog B (Chlamydomonas)(RSPH10B)	Bos taurus		Function unknown,		GO:0005737~cytoplasm,GO:0005856~cytoskeleton,GO:0005930~axoneme,GO:0042995~cell projection,GO:0097729~9+2 motile cilium,		IPR003409:MORN,				SM00698:MORN,		KW-0206~Cytoskeleton,KW-0963~Cytoplasm,KW-0966~Cell projection,		KW-0175~Coiled coil,KW-0677~Repeat,				COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,REGION:Disordered,REPEAT:MORN 1,REPEAT:MORN 10,REPEAT:MORN 2,REPEAT:MORN 3,REPEAT:MORN 4,REPEAT:MORN 5,REPEAT:MORN 6,REPEAT:MORN 7,REPEAT:MORN 8,REPEAT:MORN 9,
P51410	ribosomal protein L9(Rpl9)	Mus musculus			GO:0002181~cytoplasmic translation,GO:0006412~translation,GO:0140236~translation at presynapse,GO:0140242~translation at postsynapse,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005840~ribosome,GO:0022625~cytosolic large ribosomal subunit,GO:0022626~cytosolic ribosome,GO:0045202~synapse,GO:0098793~presynapse,GO:0098794~postsynapse,GO:1990904~ribonucleoprotein complex,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000702:Ribosomal_uL6-like,IPR002359:Ribosomal_uL6_CS2,IPR020040:Ribosomal_uL6_a/b-dom,IPR036789:Ribosomal_uL6-like_a/b-dom_sf,	mmu03010:Ribosome,mmu05171:Coronavirus disease - COVID-19,		PIRSF002162:Ribosomal_L6,			KW-0963~Cytoplasm,				KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0825~Tumor antigen,	KW-0007~Acetylation,	DOMAIN:Large ribosomal subunit protein uL6 alpha-beta,
Q920A6	serine carboxypeptidase 1(Scpep1)	Rattus norvegicus			GO:0006508~proteolysis,GO:0042573~retinoic acid metabolic process,GO:0045776~negative regulation of blood pressure,GO:0097746~blood vessel diameter maintenance,	GO:0005576~extracellular region,	GO:0004185~serine-type carboxypeptidase activity,	IPR001563:Peptidase_S10,IPR018202:Ser_caboxypep_ser_AS,IPR029058:AB_hydrolase,						KW-0964~Secreted,		KW-0732~Signal,		KW-0121~Carboxypeptidase,KW-0378~Hydrolase,KW-0645~Protease,	KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,REGION:Disordered,
Q90718	serum response factor(SRF)	Gallus gallus			GO:0001569~branching involved in blood vessel morphogenesis,GO:0001666~response to hypoxia,GO:0001707~mesoderm formation,GO:0001764~neuron migration,GO:0001947~heart looping,GO:0002011~morphogenesis of an epithelial sheet,GO:0002042~cell migration involved in sprouting angiogenesis,GO:0006366~transcription by RNA polymerase II,GO:0007160~cell-matrix adhesion,GO:0008306~associative learning,GO:0009725~response to hormone,GO:0010669~epithelial structure maintenance,GO:0021766~hippocampus development,GO:0022028~tangential migration from the subventricular zone to the olfactory bulb,GO:0030036~actin cytoskeleton organization,GO:0030155~regulation of cell adhesion,GO:0030168~platelet activation,GO:0030220~platelet formation,GO:0030878~thyroid gland development,GO:0034097~response to cytokine,GO:0035855~megakaryocyte development,GO:0035912~dorsal aorta morphogenesis,GO:0043149~stress fiber assembly,GO:0043589~skin morphogenesis,GO:0045059~positive thymic T cell selection,GO:0045214~sarcomere organization,GO:0045773~positive regulation of axon extension,GO:0045944~positive regulation of transcription by RNA polymerase II,GO:0045987~positive regulation of smooth muscle contraction,GO:0046716~muscle cell cellular homeostasis,GO:0046847~filopodium assembly,GO:0048538~thymus development,GO:0048675~axon extension,GO:0048821~erythrocyte development,GO:0051491~positive regulation of filopodium assembly,GO:0055003~cardiac myofibril assembly,GO:0060218~hematopoietic stem cell differentiation,GO:0060261~positive regulation of transcription initiation by RNA polymerase II,GO:0060292~long-term synaptic depression,GO:0060324~face development,GO:0060347~heart trabecula formation,GO:0060379~cardiac muscle cell myoblast differentiation,GO:0060425~lung morphogenesis,GO:0060532~bronchus cartilage development,GO:0060534~trachea cartilage development,GO:0060947~cardiac vascular smooth muscle cell differentiation,GO:0061029~eyelid development in camera-type eye,GO:0061145~lung smooth muscle development,GO:0061436~establishment of skin barrier,GO:0070830~bicellular tight junction assembly,GO:0090009~primitive streak formation,GO:0090136~epithelial cell-cell adhesion,GO:0090398~cellular senescence,GO:1900222~negative regulation of amyloid-beta clearance,GO:1902894~negative regulation of miRNA transcription,GO:1902895~positive regulation of miRNA transcription,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0000978~RNA polymerase II cis-regulatory region sequence-specific DNA binding,GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific,GO:0001228~DNA-binding transcription activator activity, RNA polymerase II-specific,GO:0003700~DNA-binding transcription factor activity,GO:0010736~serum response element binding,GO:0031490~chromatin DNA binding,GO:0042803~protein homodimerization activity,GO:0046983~protein dimerization activity,GO:0061629~RNA polymerase II-specific DNA-binding transcription factor binding,GO:0070878~primary miRNA binding,	IPR002100:TF_MADSbox,IPR033897:MADS_SRF-like,IPR036879:TF_MADSbox_sf,IPR050142:MADS-box/MEF2_TF,	gga04010:MAPK signaling pathway,			SM00432:MADS,	KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,				KW-0010~Activator,KW-0217~Developmental protein,KW-0238~DNA-binding,KW-9996~Developmental protein,	KW-0597~Phosphoprotein,	DOMAIN:MADS-box,REGION:Disordered,
