ID	Gene Name	Species	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
P16157	ankyrin 1(ANK1)	Homo sapiens	h_PDZsPathway:Synaptic Proteins at the Synaptic Junction,	General function prediction only,	GO:0006887~exocytosis,GO:0006888~endoplasmic reticulum to Golgi vesicle-mediated transport,GO:0007010~cytoskeleton organization,GO:0007165~signal transduction,GO:0010638~positive regulation of organelle organization,GO:0045199~maintenance of epithelial cell apical/basal polarity,GO:0072659~protein localization to plasma membrane,	GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0005886~plasma membrane,GO:0009898~cytoplasmic side of plasma membrane,GO:0014731~spectrin-associated cytoskeleton,GO:0016020~membrane,GO:0016323~basolateral plasma membrane,GO:0016529~sarcoplasmic reticulum,GO:0030018~Z disc,GO:0030673~axolemma,GO:0031430~M band,GO:0042383~sarcolemma,GO:0043005~neuron projection,GO:0045211~postsynaptic membrane,GO:0170014~ankyrin-1 complex,	GO:0005198~structural molecule activity,GO:0005200~structural constituent of cytoskeleton,GO:0005515~protein binding,GO:0008093~cytoskeletal anchor activity,GO:0019899~enzyme binding,GO:0019903~protein phosphatase binding,GO:0030507~spectrin binding,GO:0044325~transmembrane transporter binding,GO:0051117~ATPase binding,	IPR000488:Death_domain,IPR000906:ZU5_dom,IPR002110:Ankyrin_rpt,IPR011029:DEATH-like_dom_sf,IPR036770:Ankyrin_rpt-contain_sf,IPR040745:Ankyrin_UPA,IPR051165:Multifunctional_ANK_Repeat,	hsa05205:Proteoglycans in cancer,	182900~Spherocytosis, type 1,	SM00005:DEATH,SM00218:ZU5,SM00248:ANK,		KW-0206~Cytoskeleton,KW-0472~Membrane,KW-0703~Sarcoplasmic reticulum,KW-0963~Cytoplasm,	KW-0225~Disease variant,KW-0250~Elliptocytosis,KW-0360~Hereditary hemolytic anemia,	KW-0040~ANK repeat,KW-0677~Repeat,KW-0732~Signal,			KW-0379~Hydroxylation,KW-0449~Lipoprotein,KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:Death,DOMAIN:ZU5,DOMAIN:ZU5 1,DOMAIN:ZU5 2,MUTAGEN:K->E: Abolishes interaction with OBSCN (in isoform Mu17).,MUTAGEN:R->G: Abolishes interaction with OBSCN (in isoform Mu17).,MUTAGEN:T->P: Abolishes interaction with OBSCN (in isoform Mu17).,REGION:55 kDa regulatory domain,REGION:89 kDa domain,REGION:Disordered,REGION:UPA domain,REPEAT:ANK,REPEAT:ANK 1,REPEAT:ANK 10,REPEAT:ANK 11,REPEAT:ANK 12,REPEAT:ANK 13,REPEAT:ANK 14,REPEAT:ANK 15,REPEAT:ANK 16,REPEAT:ANK 17,REPEAT:ANK 18,REPEAT:ANK 19,REPEAT:ANK 2,REPEAT:ANK 20,REPEAT:ANK 21,REPEAT:ANK 22,REPEAT:ANK 23,REPEAT:ANK 3,REPEAT:ANK 4,REPEAT:ANK 5,REPEAT:ANK 6,REPEAT:ANK 7,REPEAT:ANK 8,REPEAT:ANK 9,
Q60431	caspase 3(Casp3)	Mesocricetus auratus			GO:0006508~proteolysis,GO:0006915~apoptotic process,GO:0030182~neuron differentiation,GO:0030216~keratinocyte differentiation,GO:0030218~erythrocyte differentiation,GO:0031647~regulation of protein stability,GO:0043065~positive regulation of apoptotic process,GO:0043525~positive regulation of neuron apoptotic process,GO:1902004~positive regulation of amyloid-beta formation,	GO:0005737~cytoplasm,	GO:0004175~endopeptidase activity,	IPR001309:Pept_C14_p20,IPR002138:Pept_C14_p10,IPR011600:Pept_C14_caspase,IPR015917:Pept_C14A,IPR016129:Caspase_his_AS,IPR029030:Caspase-like_dom_sf,IPR033139:Caspase_cys_AS,	maua01524:Platinum drug resistance,maua04010:MAPK signaling pathway,maua04115:p53 signaling pathway,maua04148:Efferocytosis,maua04210:Apoptosis,maua04215:Apoptosis - multiple species,maua04623:Cytosolic DNA-sensing pathway,maua04650:Natural killer cell mediated cytotoxicity,maua04657:IL-17 signaling pathway,maua04668:TNF signaling pathway,maua04726:Serotonergic synapse,maua04932:Non-alcoholic fatty liver disease,maua04933:AGE-RAGE signaling pathway in diabetic complications,maua04936:Alcoholic liver disease,maua05010:Alzheimer disease,maua05012:Parkinson disease,maua05014:Amyotrophic lateral sclerosis,maua05016:Huntington disease,maua05020:Prion disease,maua05022:Pathways of neurodegeneration - multiple diseases,maua05132:Salmonella infection,maua05133:Pertussis,maua05134:Legionellosis,maua05145:Toxoplasmosis,maua05146:Amoebiasis,maua05152:Tuberculosis,maua05160:Hepatitis C,maua05161:Hepatitis B,maua05162:Measles,maua05163:Human cytomegalovirus infection,maua05164:Influenza A,maua05165:Human papillomavirus infection,maua05167:Kaposi sarcoma-associated herpesvirus infection,maua05168:Herpes simplex virus 1 infection,maua05169:Epstein-Barr virus infection,maua05170:Human immunodeficiency virus 1 infection,maua05200:Pathways in cancer,maua05203:Viral carcinogenesis,maua05205:Proteoglycans in cancer,maua05206:MicroRNAs in cancer,maua05210:Colorectal cancer,maua05222:Small cell lung cancer,maua05416:Viral myocarditis,maua05417:Lipid and atherosclerosis,		SM00115:CASc,	KW-0053~Apoptosis,	KW-0963~Cytoplasm,				KW-0378~Hydrolase,KW-0645~Protease,KW-0788~Thiol protease,	KW-0007~Acetylation,KW-0597~Phosphoprotein,KW-0702~S-nitrosylation,KW-0832~Ubl conjugation,KW-0865~Zymogen,	DOMAIN:Caspase family p10,DOMAIN:Caspase family p20,
P97846	contactin associated protein 1(Cntnap1)	Rattus norvegicus			GO:0002175~protein localization to paranode region of axon,GO:0007005~mitochondrion organization,GO:0007010~cytoskeleton organization,GO:0007155~cell adhesion,GO:0007409~axonogenesis,GO:0019227~neuronal action potential propagation,GO:0022010~central nervous system myelination,GO:0022011~myelination in peripheral nervous system,GO:0030913~paranodal junction assembly,GO:0031175~neuron projection development,GO:0042552~myelination,GO:0048812~neuron projection morphogenesis,GO:0050884~neuromuscular process controlling posture,GO:0050885~neuromuscular process controlling balance,GO:0050905~neuromuscular process,GO:0071205~protein localization to juxtaparanode region of axon,GO:0090128~regulation of synapse maturation,GO:0097106~postsynaptic density organization,GO:0098529~neuromuscular junction development, skeletal muscle fiber,GO:1990227~paranodal junction maintenance,	GO:0016020~membrane,GO:0030424~axon,GO:0033010~paranodal junction,GO:0033270~paranode region of axon,GO:0048786~presynaptic active zone,GO:0098978~glutamatergic synapse,	GO:0005515~protein binding,GO:0017124~SH3 domain binding,	IPR000421:FA58C,IPR000742:EGF-like_dom,IPR001791:Laminin_G,IPR002181:Fibrinogen_a/b/g_C_dom,IPR003585:Neurexin-like,IPR008979:Galactose-bd-like_sf,IPR013320:ConA-like_dom_sf,IPR036056:Fibrinogen-like_C,IPR050372:Neurexin-related_CASP,	rno04514:Cell adhesion molecules,		SM00231:FA58C,SM00282:LamG,SM00294:4.1m,	KW-0130~Cell adhesion,	KW-0472~Membrane,KW-0965~Cell junction,		KW-0245~EGF-like domain,KW-0677~Repeat,KW-0729~SH3-binding,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,			KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Pro residues,DOMAIN:EGF-like,DOMAIN:EGF-like 1,DOMAIN:EGF-like 2,DOMAIN:F5/8 type C,DOMAIN:Fibrinogen C-terminal,DOMAIN:Laminin G,DOMAIN:Laminin G-like 1,DOMAIN:Laminin G-like 2,DOMAIN:Laminin G-like 3,DOMAIN:Laminin G-like 4,MOTIF:SH3-binding,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
Q78P75	dynein light chain LC8-type 2(Dynll2)	Rattus norvegicus			GO:0007017~microtubule-based process,	GO:0005737~cytoplasm,GO:0005813~centrosome,GO:0005856~cytoskeleton,GO:0005868~cytoplasmic dynein complex,GO:0005874~microtubule,GO:0014069~postsynaptic density,GO:0030286~dynein complex,GO:0031475~myosin V complex,GO:0097731~9+0 non-motile cilium,GO:0098794~postsynapse,GO:0098978~glutamatergic synapse,	GO:0005515~protein binding,GO:0042802~identical protein binding,GO:0044877~protein-containing complex binding,GO:0045505~dynein intermediate chain binding,GO:0097110~scaffold protein binding,	IPR001372:Dynein_light_chain_typ-1/2,IPR019763:Dynein_light_1/2_CS,IPR037177:DLC_sf,	rno04814:Motor proteins,rno04962:Vasopressin-regulated water reabsorption,rno05132:Salmonella infection,		SM01375:Dynein_light,	KW-0813~Transport,	KW-0206~Cytoskeleton,KW-0243~Dynein,KW-0493~Microtubule,KW-0963~Cytoplasm,				KW-0505~Motor protein,		SITE:Interaction with myosin V motor complex,
Q6GPE5	fem-1 homolog B L homeolog(fem1b.L)	Xenopus laevis		General function prediction only,	GO:0006915~apoptotic process,GO:0016567~protein ubiquitination,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0140627~ubiquitin-dependent protein catabolic process via the C-end degron rule pathway,GO:2000001~regulation of DNA damage checkpoint,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0031462~Cul2-RING ubiquitin ligase complex,	GO:1990756~ubiquitin-like ligase-substrate adaptor activity,	IPR002110:Ankyrin_rpt,IPR036770:Ankyrin_rpt-contain_sf,IPR050842:CRL2_E3_Ligase_Fem-1,IPR052391:E3_Ligase-Neurotoxin,			SM00248:ANK,	KW-0053~Apoptosis,KW-0833~Ubl conjugation pathway,	KW-0539~Nucleus,KW-0963~Cytoplasm,		KW-0040~ANK repeat,KW-0677~Repeat,KW-0802~TPR repeat,				REPEAT:ANK,REPEAT:ANK 1,REPEAT:ANK 2,REPEAT:ANK 3,REPEAT:ANK 4,REPEAT:ANK 5,REPEAT:ANK 6,REPEAT:ANK 7,REPEAT:ANK 8,REPEAT:TPR,
Q9QZS6	heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1(Hs3st3b1)	Mus musculus			GO:0001658~branching involved in ureteric bud morphogenesis,GO:0006024~glycosaminoglycan biosynthetic process,GO:0006477~protein sulfation,GO:0015012~heparan sulfate proteoglycan biosynthetic process,	GO:0000139~Golgi membrane,GO:0005886~plasma membrane,	GO:0008467~[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity,GO:0033872~[heparan sulfate]-glucosamine 3-sulfotransferase 3 activity,	IPR000863:Sulfotransferase_dom,IPR027417:P-loop_NTPase,IPR037359:NST/OST,	mmu00534:Glycosaminoglycan biosynthesis - heparan sulfate / heparin,				KW-0333~Golgi apparatus,KW-0472~Membrane,		KW-0735~Signal-anchor,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0808~Transferase,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	ACT_SITE:For sulfotransferase activity,CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Polar residues,DOMAIN:Sulfotransferase,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Lumenal,TRANSMEM:Helical; Signal-anchor for type II membrane protein,
P22304	iduronate 2-sulfatase(IDS)	Homo sapiens		Inorganic ion transport and metabolism,	GO:0006027~glycosaminoglycan catabolic process,GO:0030200~heparan sulfate proteoglycan catabolic process,GO:0030209~dermatan sulfate catabolic process,	GO:0005737~cytoplasm,GO:0005764~lysosome,GO:0043202~lysosomal lumen,	GO:0004423~iduronate-2-sulfatase activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0016787~hydrolase activity,	IPR000917:Sulfatase_N,IPR017850:Alkaline_phosphatase_core_sf,IPR024607:Sulfatase_CS,IPR035874:IDS,	hsa00531:Glycosaminoglycan degradation,hsa01100:Metabolic pathways,hsa04142:Lysosome,	309900~Mucopolysaccharidosis II,			KW-0458~Lysosome,	KW-0225~Disease variant,KW-0510~Mucopolysaccharidosis,	KW-0732~Signal,	KW-0106~Calcium,KW-0479~Metal-binding,	KW-0378~Hydrolase,	KW-0325~Glycoprotein,KW-0865~Zymogen,KW-1015~Disulfide bond,	ACT_SITE:Nucleophile,BINDING:via 3-oxoalanine,CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:Sulfatase N-terminal,REGION:Disordered,
P21327	inositol polyphosphate-1-phosphatase(INPP1)	Bos taurus			GO:0046854~phosphatidylinositol phosphate biosynthetic process,		GO:0004441~inositol-1,4-bisphosphate 1-phosphatase activity,GO:0046872~metal ion binding,GO:0052829~inositol-1,3,4-trisphosphate 1-phosphatase activity,	IPR000760:Inositol_monophosphatase-like,IPR020550:Inositol_monophosphatase_CS,IPR020583:Inositol_monoP_metal-BS,IPR044897:INPP1_dom_1,IPR050725:CysQ/Inositol_MonoPase,	bta00562:Inositol phosphate metabolism,bta01100:Metabolic pathways,bta04070:Phosphatidylinositol signaling system,							KW-0452~Lithium,KW-0460~Magnesium,KW-0479~Metal-binding,	KW-0378~Hydrolase,	KW-0597~Phosphoprotein,	MUTAGEN:D->A: Does not alter affinity for 1D-myo-inositol 1,3,4-trisphosphate. Decreases about 100-fold Li(+) sensitivity. Loss of inositol polyphosphate 1-phosphatase activity.,REGION:Disordered,
P0CI65	nephronophthisis 3(nphp3)	Danio rerio			GO:0001822~kidney development,GO:0003146~heart jogging,GO:0007368~determination of left/right symmetry,GO:0007601~visual perception,GO:0016055~Wnt signaling pathway,GO:0048793~pronephros development,GO:0060026~convergent extension,GO:0060271~cilium assembly,GO:0060972~left/right pattern formation,GO:0070121~Kupffer's vesicle development,	GO:0005929~cilium,GO:0042995~cell projection,GO:0097543~ciliary inversin compartment,GO:0097546~ciliary base,		IPR011990:TPR-like_helical_dom_sf,IPR019734:TPR_repeat,IPR027417:P-loop_NTPase,IPR051787:Effector/Ciliary-Dev_Assoc,			SM00028:TPR,	KW-0879~Wnt signaling pathway,	KW-0966~Cell projection,KW-0969~Cilium,		KW-0175~Coiled coil,KW-0677~Repeat,KW-0802~TPR repeat,				COMPBIAS:Polar residues,REGION:Disordered,REPEAT:TPR 1,REPEAT:TPR 10,REPEAT:TPR 2,REPEAT:TPR 3,REPEAT:TPR 4,REPEAT:TPR 5,REPEAT:TPR 6,REPEAT:TPR 7,REPEAT:TPR 8,REPEAT:TPR 9,
Q99743	neuronal PAS domain protein 2(NPAS2)	Homo sapiens			GO:0006357~regulation of transcription by RNA polymerase II,GO:0006974~DNA damage response,GO:0007417~central nervous system development,GO:0009410~response to xenobiotic stimulus,GO:0032922~circadian regulation of gene expression,GO:0045739~positive regulation of DNA repair,GO:0045893~positive regulation of DNA-templated transcription,GO:0051775~response to redox state,GO:2000987~positive regulation of behavioral fear response,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005667~transcription regulator complex,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:1990513~CLOCK-BMAL transcription complex,	GO:0000978~RNA polymerase II cis-regulatory region sequence-specific DNA binding,GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific,GO:0003677~DNA binding,GO:0003700~DNA-binding transcription factor activity,GO:0005515~protein binding,GO:0046872~metal ion binding,GO:0046983~protein dimerization activity,GO:0051879~Hsp90 protein binding,GO:0070888~E-box binding,GO:1990837~sequence-specific double-stranded DNA binding,	IPR000014:PAS,IPR001067:Nuc_translocat,IPR001610:PAC,IPR011598:bHLH_dom,IPR013767:PAS_fold,IPR035965:PAS-like_dom_sf,IPR036638:HLH_DNA-bd_sf,IPR047230:CLOCK-like,	hsa04710:Circadian rhythm,		SM00086:PAC,SM00091:PAS,SM00353:HLH,	KW-0090~Biological rhythms,KW-0227~DNA damage,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,		KW-0677~Repeat,	KW-0349~Heme,KW-0408~Iron,KW-0479~Metal-binding,	KW-0010~Activator,KW-0238~DNA-binding,		BINDING:axial binding residue,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,DOMAIN:BHLH,DOMAIN:PAC,DOMAIN:PAS,DOMAIN:PAS 1,DOMAIN:PAS 2,DOMAIN:bHLH,REGION:Disordered,REGION:Sufficient for heterodimer formation with BMAL1, E-box binding and for the effect of NADPH,
Q8BHB0	nucleotide-binding oligomerization domain containing 1(Nod1)	Mus musculus			GO:0002221~pattern recognition receptor signaling pathway,GO:0002606~positive regulation of dendritic cell antigen processing and presentation,GO:0006915~apoptotic process,GO:0006952~defense response,GO:0007254~JNK cascade,GO:0010508~positive regulation of autophagy,GO:0010934~macrophage cytokine production,GO:0016045~detection of bacterium,GO:0032635~interleukin-6 production,GO:0032640~tumor necrosis factor production,GO:0032731~positive regulation of interleukin-1 beta production,GO:0032755~positive regulation of interleukin-6 production,GO:0032757~positive regulation of interleukin-8 production,GO:0032760~positive regulation of tumor necrosis factor production,GO:0032874~positive regulation of stress-activated MAPK cascade,GO:0034976~response to endoplasmic reticulum stress,GO:0035556~intracellular signal transduction,GO:0042742~defense response to bacterium,GO:0043065~positive regulation of apoptotic process,GO:0043123~positive regulation of canonical NF-kappaB signal transduction,GO:0045087~innate immune response,GO:0046330~positive regulation of JNK cascade,GO:0050829~defense response to Gram-negative bacterium,GO:0050830~defense response to Gram-positive bacterium,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0051403~stress-activated MAPK cascade,GO:0060907~positive regulation of macrophage cytokine production,GO:0070371~ERK1 and ERK2 cascade,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0070427~nucleotide-binding oligomerization domain containing 1 signaling pathway,GO:0071225~cellular response to muramyl dipeptide,GO:0098792~xenophagy,GO:1901224~positive regulation of non-canonical NF-kappaB signal transduction,GO:1904417~positive regulation of xenophagy,GO:2001056~positive regulation of cysteine-type endopeptidase activity,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0016323~basolateral plasma membrane,GO:0016324~apical plasma membrane,GO:0016328~lateral plasma membrane,GO:0045335~phagocytic vesicle,	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0038187~pattern recognition receptor activity,GO:0042802~identical protein binding,GO:0042803~protein homodimerization activity,GO:0042834~peptidoglycan binding,GO:0043130~ubiquitin binding,GO:0044877~protein-containing complex binding,GO:0050700~CARD domain binding,	IPR001315:CARD,IPR001611:Leu-rich_rpt,IPR007111:NACHT_NTPase,IPR011029:DEATH-like_dom_sf,IPR027417:P-loop_NTPase,IPR032675:LRR_dom_sf,IPR041075:NOD1/2_WH,IPR041267:NLRP_HD2,IPR051261:NLR,IPR052201:LRR-containing_regulator,	mmu04621:NOD-like receptor signaling pathway,mmu05132:Salmonella infection,mmu05133:Pertussis,		SM00368:LRR_RI,	KW-0053~Apoptosis,KW-0391~Immunity,KW-0399~Innate immunity,	KW-0472~Membrane,KW-0963~Cytoplasm,KW-1003~Cell membrane,		KW-0433~Leucine-rich repeat,KW-0677~Repeat,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,		KW-0449~Lipoprotein,KW-0564~Palmitate,KW-0832~Ubl conjugation,	DOMAIN:CARD,DOMAIN:NACHT,LIPID:S-palmitoyl cysteine,REPEAT:LRR 1,REPEAT:LRR 2,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,
Q6IVV8	polycystic kidney disease 2(pkd2)	Danio rerio			GO:0001822~kidney development,GO:0001946~lymphangiogenesis,GO:0001947~heart looping,GO:0003143~embryonic heart tube morphogenesis,GO:0003146~heart jogging,GO:0003171~atrioventricular valve development,GO:0003173~ventriculo bulbo valve development,GO:0006811~monoatomic ion transport,GO:0006813~potassium ion transport,GO:0006816~calcium ion transport,GO:0007166~cell surface receptor signaling pathway,GO:0007219~Notch signaling pathway,GO:0007368~determination of left/right symmetry,GO:0007507~heart development,GO:0009953~dorsal/ventral pattern formation,GO:0010882~regulation of cardiac muscle contraction by calcium ion signaling,GO:0016055~Wnt signaling pathway,GO:0032965~regulation of collagen biosynthetic process,GO:0034220~monoatomic ion transmembrane transport,GO:0048793~pronephros development,GO:0050982~detection of mechanical stimulus,GO:0051209~release of sequestered calcium ion into cytosol,GO:0051262~protein tetramerization,GO:0051284~positive regulation of sequestering of calcium ion,GO:0051290~protein heterotetramerization,GO:0060271~cilium assembly,GO:0060972~left/right pattern formation,GO:0061371~determination of heart left/right asymmetry,GO:0065003~protein-containing complex assembly,GO:0070121~Kupffer's vesicle development,GO:0070588~calcium ion transmembrane transport,GO:0071277~cellular response to calcium ion,GO:0071805~potassium ion transmembrane transport,GO:0072019~proximal convoluted tubule development,GO:0072114~pronephros morphogenesis,GO:0097704~cellular response to oscillatory fluid shear stress,GO:0098662~inorganic cation transmembrane transport,	GO:0005737~cytoplasm,GO:0005783~endoplasmic reticulum,GO:0005856~cytoskeleton,GO:0005886~plasma membrane,GO:0005929~cilium,GO:0016020~membrane,GO:0016323~basolateral plasma membrane,GO:0016324~apical plasma membrane,GO:0016328~lateral plasma membrane,GO:0016529~sarcoplasmic reticulum,GO:0030017~sarcomere,GO:0030659~cytoplasmic vesicle membrane,GO:0031410~cytoplasmic vesicle,GO:0033017~sarcoplasmic reticulum membrane,GO:0034702~monoatomic ion channel complex,GO:0034703~cation channel complex,GO:0042383~sarcolemma,GO:0042995~cell projection,	GO:0005102~signaling receptor binding,GO:0005245~voltage-gated calcium channel activity,GO:0005248~voltage-gated sodium channel activity,GO:0005261~monoatomic cation channel activity,GO:0005262~calcium channel activity,GO:0005267~potassium channel activity,GO:0005509~calcium ion binding,GO:0015271~outward rectifier potassium channel activity,GO:0046872~metal ion binding,GO:0051371~muscle alpha-actinin binding,	IPR002048:EF_hand_dom,IPR003915:PKD_2,IPR011992:EF-hand-dom_pair,IPR013122:PKD1_2_channel,IPR046791:Polycystin_dom,IPR051223:Polycystin,				KW-0109~Calcium transport,KW-0406~Ion transport,KW-0633~Potassium transport,KW-0813~Transport,KW-0879~Wnt signaling pathway,	KW-0206~Cytoskeleton,KW-0256~Endoplasmic reticulum,KW-0472~Membrane,KW-0703~Sarcoplasmic reticulum,KW-0963~Cytoplasm,KW-0966~Cell projection,KW-0968~Cytoplasmic vesicle,KW-0969~Cilium,KW-1003~Cell membrane,		KW-0175~Coiled coil,KW-0677~Repeat,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0106~Calcium,KW-0479~Metal-binding,KW-0630~Potassium,	KW-0107~Calcium channel,KW-0407~Ion channel,KW-0631~Potassium channel,KW-0851~Voltage-gated channel,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:EF-hand,DOMAIN:EF-hand 1,DOMAIN:EF-hand 2,INTRAMEM:Pore-forming,MOTIF:Selectivity filter,MUTAGEN:L->P: In ty30b; curly tail phenotype and impaired left-right patterning.,REGION:Disordered,REGION:Linker,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=5,TRANSMEM:Helical; Name=S1,TRANSMEM:Helical; Name=S2,TRANSMEM:Helical; Name=S3,TRANSMEM:Helical; Name=S4,TRANSMEM:Helical; Name=S6,
Q90YV5	ribosomal protein L13(rpl13)	Ictalurus punctatus			GO:0006412~translation,	GO:0005840~ribosome,GO:0022625~cytosolic large ribosomal subunit,	GO:0003723~RNA binding,GO:0003735~structural constituent of ribosome,GO:0016787~hydrolase activity,	IPR001380:Ribosomal_eL13,IPR018256:Ribosomal_eL13_CS,	ipu03010:Ribosome,				KW-0963~Cytoplasm,				KW-0378~Hydrolase,KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,		REGION:Disordered,
P27615	scavenger receptor class B, member 2(Scarb2)	Rattus norvegicus			GO:0006622~protein targeting to lysosome,GO:0006898~receptor-mediated endocytosis,GO:0007605~sensory perception of sound,GO:0010976~positive regulation of neuron projection development,GO:0015917~aminophospholipid transport,GO:0016192~vesicle-mediated transport,GO:0043470~regulation of carbohydrate catabolic process,GO:0099638~endosome to plasma membrane protein transport,GO:1905123~regulation of glucosylceramidase activity,	GO:0005737~cytoplasm,GO:0005764~lysosome,GO:0005765~lysosomal membrane,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0030666~endocytic vesicle membrane,GO:0043202~lysosomal lumen,	GO:0001786~phosphatidylserine binding,GO:0005044~scavenger receptor activity,GO:0015485~cholesterol binding,GO:0019899~enzyme binding,GO:0031210~phosphatidylcholine binding,GO:0038024~cargo receptor activity,GO:0042803~protein homodimerization activity,GO:0051087~protein-folding chaperone binding,	IPR002159:CD36_fam,IPR005429:LimpII,	rno04142:Lysosome,				KW-0458~Lysosome,KW-0472~Membrane,		KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0675~Receptor,	KW-0325~Glycoprotein,KW-0449~Lipoprotein,KW-0564~Palmitate,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,REGION:Important for interaction with GBA1,TOPO_DOM:Cytoplasmic,TOPO_DOM:Lumenal,TRANSMEM:Helical,
Q920A6	serine carboxypeptidase 1(Scpep1)	Rattus norvegicus			GO:0006508~proteolysis,GO:0042573~retinoic acid metabolic process,GO:0045776~negative regulation of blood pressure,GO:0097746~blood vessel diameter maintenance,	GO:0005576~extracellular region,	GO:0004185~serine-type carboxypeptidase activity,	IPR001563:Peptidase_S10,IPR018202:Ser_caboxypep_ser_AS,IPR029058:AB_hydrolase,					KW-0964~Secreted,		KW-0732~Signal,		KW-0121~Carboxypeptidase,KW-0378~Hydrolase,KW-0645~Protease,	KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,REGION:Disordered,
