ID	Gene Name	Species	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
Q7RTR2	NLR family CARD domain containing 3(NLRC3)	Homo sapiens			GO:0007249~canonical NF-kappaB signal transduction,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0032687~negative regulation of interferon-alpha production,GO:0032688~negative regulation of interferon-beta production,GO:0032715~negative regulation of interleukin-6 production,GO:0032720~negative regulation of tumor necrosis factor production,GO:0035556~intracellular signal transduction,GO:0042110~T cell activation,GO:0043124~negative regulation of canonical NF-kappaB signal transduction,GO:0045824~negative regulation of innate immune response,GO:0048147~negative regulation of fibroblast proliferation,GO:0050680~negative regulation of epithelial cell proliferation,GO:0050728~negative regulation of inflammatory response,GO:0051898~negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,GO:1900016~negative regulation of cytokine production involved in inflammatory response,GO:1900226~negative regulation of NLRP3 inflammasome complex assembly,GO:1901223~negative regulation of non-canonical NF-kappaB signal transduction,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0034451~centriolar satellite,GO:0043231~intracellular membrane-bounded organelle,GO:0048471~perinuclear region of cytoplasm,	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0036312~phosphatidylinositol 3-kinase regulatory subunit binding,	IPR001611:Leu-rich_rpt,IPR007111:NACHT_NTPase,IPR027417:P-loop_NTPase,IPR032675:LRR_dom_sf,IPR041075:NOD1/2_WH,IPR041267:NLRP_HD2,IPR051261:NLR,IPR052201:LRR-containing_regulator,				SM00368:LRR_RI,		KW-0963~Cytoplasm,		KW-0433~Leucine-rich repeat,KW-0677~Repeat,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,			DOMAIN:NACHT,MOTIF:TRAF6-binding,MUTAGEN:SLQE->AAAA: Strong decrease of TRAF6-binding.,MUTAGEN:SVEE->AAAA: Almost no effect on TRAF6-binding.,REGION:Disordered,REPEAT:LRR 1,REPEAT:LRR 10,REPEAT:LRR 11,REPEAT:LRR 12,REPEAT:LRR 13,REPEAT:LRR 14,REPEAT:LRR 15,REPEAT:LRR 16,REPEAT:LRR 2,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,REPEAT:LRR 9,
B0FPE9	NLR family pyrin domain containing 3(NLRP3)	Macaca mulatta			GO:0002674~negative regulation of acute inflammatory response,GO:0002830~positive regulation of type 2 immune response,GO:0006954~inflammatory response,GO:0009595~detection of biotic stimulus,GO:0032731~positive regulation of interleukin-1 beta production,GO:0032753~positive regulation of interleukin-4 production,GO:0044546~NLRP3 inflammasome complex assembly,GO:0045087~innate immune response,GO:0045630~positive regulation of T-helper 2 cell differentiation,GO:0045944~positive regulation of transcription by RNA polymerase II,GO:0050729~positive regulation of inflammatory response,GO:0051260~protein homooligomerization,GO:1901223~negative regulation of non-canonical NF-kappaB signal transduction,GO:2000553~positive regulation of T-helper 2 cell cytokine production,	GO:0000139~Golgi membrane,GO:0005576~extracellular region,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005783~endoplasmic reticulum,GO:0005815~microtubule organizing center,GO:0016020~membrane,GO:0031021~interphase microtubule organizing center,GO:0072559~NLRP3 inflammasome complex,	GO:0005524~ATP binding,GO:0016887~ATP hydrolysis activity,GO:0035591~signaling adaptor activity,GO:0043531~ADP binding,GO:0043565~sequence-specific DNA binding,GO:0070273~phosphatidylinositol-4-phosphate binding,GO:0140297~DNA-binding transcription factor binding,GO:0140299~molecular sensor activity,GO:1901981~phosphatidylinositol phosphate binding,	IPR001611:Leu-rich_rpt,IPR004020:DAPIN,IPR007111:NACHT_NTPase,IPR011029:DEATH-like_dom_sf,IPR027417:P-loop_NTPase,IPR029495:NACHT-assoc,IPR032675:LRR_dom_sf,IPR041075:NOD1/2_WH,IPR041267:NLRP_HD2,IPR050637:NLRP_innate_immun_reg,	mcc04217:Necroptosis,mcc04621:NOD-like receptor signaling pathway,mcc04623:Cytosolic DNA-sensing pathway,mcc04625:C-type lectin receptor signaling pathway,mcc05132:Salmonella infection,mcc05133:Pertussis,mcc05135:Yersinia infection,mcc05164:Influenza A,mcc05171:Coronavirus disease - COVID-19,mcc05417:Lipid and atherosclerosis,			SM00368:LRR_RI,SM01288:FISNA,SM01289:PYRIN,	KW-0391~Immunity,KW-0395~Inflammatory response,KW-0399~Innate immunity,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0206~Cytoskeleton,KW-0256~Endoplasmic reticulum,KW-0333~Golgi apparatus,KW-0472~Membrane,KW-0496~Mitochondrion,KW-0539~Nucleus,KW-0963~Cytoplasm,KW-0964~Secreted,KW-1271~Inflammasome,	KW-1008~Amyloidosis,	KW-0433~Leucine-rich repeat,KW-0677~Repeat,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0010~Activator,KW-0378~Hydrolase,	KW-0449~Lipoprotein,KW-0564~Palmitate,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1015~Disulfide bond,KW-1017~Isopeptide bond,	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),DISULFID:Redox-active,DOMAIN:FISNA,DOMAIN:NACHT,DOMAIN:Pyrin,LIPID:S-palmitoyl cysteine,MOTIF:KFERQ-like motif 1,MOTIF:KFERQ-like motif 2,MOTIF:KFERQ-like motif 3,MOTIF:KFERQ-like motif 4,REGION:Required for binding to phosphatidylinositol 4-phosphate (PtdIns4P),REPEAT:LRR 1,REPEAT:LRR 2,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,REPEAT:LRR 9,
P81436	O-linked N-acetylglucosamine (GlcNAc) transferase(OGT)	Oryctolagus cuniculus			GO:0006110~regulation of glycolytic process,GO:0006111~regulation of gluconeogenesis,GO:0006325~chromatin organization,GO:0006493~protein O-linked glycosylation,GO:0006915~apoptotic process,GO:0016485~protein processing,GO:0031397~negative regulation of protein ubiquitination,GO:0032922~circadian regulation of gene expression,GO:0045944~positive regulation of transcription by RNA polymerase II,GO:0071333~cellular response to glucose stimulus,GO:0160076~negative regulation of non-canonical inflammasome complex assembly,GO:1904263~positive regulation of TORC1 signaling,	GO:0000123~histone acetyltransferase complex,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0017122~protein N-acetylglucosaminyltransferase complex,	GO:0005515~protein binding,GO:0005547~phosphatidylinositol-3,4,5-trisphosphate binding,GO:0016262~protein N-acetylglucosaminyltransferase activity,GO:0097363~protein O-acetylglucosaminyltransferase activity,	IPR011990:TPR-like_helical_dom_sf,IPR019734:TPR_repeat,IPR029489:OGT/SEC/SPY_C,	ocu00514:Other types of O-glycan biosynthesis,ocu03083:Polycomb repressive complex,ocu04931:Insulin resistance,			SM00028:TPR,	KW-0090~Biological rhythms,	KW-0539~Nucleus,KW-0963~Cytoplasm,		KW-0677~Repeat,KW-0802~TPR repeat,	KW-0446~Lipid-binding,	KW-0156~Chromatin regulator,KW-0328~Glycosyltransferase,KW-0808~Transferase,	KW-0007~Acetylation,KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,	ACT_SITE:Proton acceptor,CARBOHYD:O-linked (GlcNAc) serine; alternate,CARBOHYD:O-linked (GlcNAc) serine; by autocatalysis,DOMAIN:O-GlcNAc transferase C-terminal,MOTIF:DFP motif,MOTIF:Nuclear localization signal,REGION:Required for phosphatidylinositol 3,4,5-triphosphate binding,REPEAT:TPR,REPEAT:TPR 1,REPEAT:TPR 10,REPEAT:TPR 11,REPEAT:TPR 12,REPEAT:TPR 13; truncated,REPEAT:TPR 2,REPEAT:TPR 3,REPEAT:TPR 4,REPEAT:TPR 5,REPEAT:TPR 6,REPEAT:TPR 7,REPEAT:TPR 8,REPEAT:TPR 9,
Q9NBX4	Probable RNA-directed DNA polymerase from transposon X-element(X-element\ORF2)	Drosophila melanogaster			GO:0006313~DNA transposition,		GO:0003964~RNA-directed DNA polymerase activity,	IPR000477:RT_dom,IPR005135:Endo/exonuclease/phosphatase,IPR036691:Endo/exonu/phosph_ase_sf,IPR043502:DNA/RNA_pol_sf,IPR052560:RdDP_mobile_element,										KW-0548~Nucleotidyltransferase,KW-0695~RNA-directed DNA polymerase,KW-0808~Transferase,		DOMAIN:Reverse transcriptase,REGION:Disordered,
O23657	RAB GTPASE HOMOLOG B18(RAB18)	Arabidopsis thaliana			GO:0015031~protein transport,GO:0016192~vesicle-mediated transport,	GO:0005634~nucleus,GO:0005783~endoplasmic reticulum,GO:0005886~plasma membrane,GO:0010494~cytoplasmic stress granule,GO:0043229~intracellular organelle,	GO:0003924~GTPase activity,GO:0005525~GTP binding,	IPR001806:Small_GTPase,IPR005225:Small_GTP-bd_dom,IPR027417:P-loop_NTPase,IPR050227:Rab,				SM00173:RAS,SM00174:RHO,SM00175:RAB,SM00176:RAN,SM00177:ARF,	KW-0653~Protein transport,KW-0813~Transport,	KW-0472~Membrane,KW-1003~Cell membrane,			KW-0342~GTP-binding,KW-0547~Nucleotide-binding,		KW-0007~Acetylation,KW-0449~Lipoprotein,KW-0636~Prenylation,	LIPID:S-geranylgeranyl cysteine,MOTIF:Effector region,REGION:Disordered,
Q9PTY5	RAN binding protein 9 L homeolog(ranbp9.L)	Xenopus laevis				GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005886~plasma membrane,		IPR001870:B30.2/SPRY,IPR003877:SPRY_dom,IPR006594:LisH,IPR006595:CTLH_C,IPR013144:CRA_dom,IPR013320:ConA-like_dom_sf,IPR024964:CTLH/CRA,IPR035782:SPRY_RanBP9/10,IPR043136:B30.2/SPRY_sf,IPR050618:Ubq-SigPath_Reg,				SM00449:SPRY,SM00667:LisH,SM00668:CTLH,SM00757:CRA,		KW-0472~Membrane,KW-0539~Nucleus,KW-0963~Cytoplasm,KW-1003~Cell membrane,						DOMAIN:B30.2/SPRY,DOMAIN:CTLH,DOMAIN:LisH,REGION:Disordered,
Q6AYK1	RNA binding protein with serine rich domain 1(Rnps1)	Rattus norvegicus			GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,GO:0000381~regulation of alternative mRNA splicing, via spliceosome,GO:0000398~mRNA splicing, via spliceosome,GO:0006397~mRNA processing,GO:0008150~biological_process,GO:0008380~RNA splicing,GO:0043065~positive regulation of apoptotic process,GO:0048025~negative regulation of mRNA splicing, via spliceosome,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0016607~nuclear speck,GO:0061574~ASAP complex,	GO:0003723~RNA binding,GO:0003730~mRNA 3'-UTR binding,	IPR000504:RRM_dom,IPR012677:Nucleotide-bd_a/b_plait_sf,IPR034201:RNPS1_RRM,IPR035979:RBD_domain_sf,	rno03013:Nucleocytoplasmic transport,rno03015:mRNA surveillance pathway,			SM00360:RRM,	KW-0507~mRNA processing,KW-0508~mRNA splicing,KW-0866~Nonsense-mediated mRNA decay,	KW-0539~Nucleus,KW-0963~Cytoplasm,				KW-0694~RNA-binding,	KW-0007~Acetylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Basic and acidic residues,COMPBIAS:Basic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),DOMAIN:RRM,REGION:Disordered,REGION:Interaction with SAP18 and ACIN1,REGION:Necessary for interaction with PNN and exon-skipping,REGION:Necessary for interaction with SRP54, nuclear localization and exon-skipping,REGION:Necessary for interaction with TRA2B, nuclear localization and exon-skipping,REGION:Necessary for interaction with the cleaved p110 isoform of CDC2L1,REGION:Necessary for interactions with UPF2 and UPF3B and UPF2-dependent NMD,
P10401, Q8I7P9	RNA-directed DNA polymerase from mobile element jockey(pol)	Drosophila melanogaster			GO:0006313~DNA transposition,GO:0006508~proteolysis,GO:0015074~DNA integration,	GO:0005634~nucleus,GO:0042575~DNA polymerase complex,	GO:0003676~nucleic acid binding,GO:0003964~RNA-directed DNA polymerase activity,GO:0004190~aspartic-type endopeptidase activity,GO:0004519~endonuclease activity,GO:0008233~peptidase activity,GO:0046872~metal ion binding,	IPR000477:RT_dom,IPR001584:Integrase_cat-core,IPR001969:Aspartic_peptidase_AS,IPR005135:Endo/exonuclease/phosphatase,IPR012337:RNaseH-like_sf,IPR013087:Znf_C2H2_type,IPR021109:Peptidase_aspartic_dom_sf,IPR036397:RNaseH_sf,IPR036691:Endo/exonu/phosph_ase_sf,IPR041373:RT_RNaseH,IPR041588:Integrase_H2C2,IPR043128:Rev_trsase/Diguanyl_cyclase,IPR043502:DNA/RNA_pol_sf,IPR050951:Retrovirus_Pol_polyprotein,IPR052560:RdDP_mobile_element,				SM00355:ZnF_C2H2,				KW-0863~Zinc-finger,	KW-0479~Metal-binding,KW-0862~Zinc,	KW-0064~Aspartyl protease,KW-0255~Endonuclease,KW-0378~Hydrolase,KW-0540~Nuclease,KW-0548~Nucleotidyltransferase,KW-0645~Protease,KW-0695~RNA-directed DNA polymerase,KW-0808~Transferase,		ACT_SITE:For protease activity,DOMAIN:Integrase catalytic,DOMAIN:Reverse transcriptase,REGION:Disordered,ZN_FING:C2H2-type,
Q9VQ29	Rieske iron-sulfur protein(RFeSP)	Drosophila melanogaster			GO:0006122~mitochondrial electron transport, ubiquinol to cytochrome c,	GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0016020~membrane,GO:0045275~respiratory chain complex III,	GO:0008121~ubiquinol-cytochrome-c reductase activity,GO:0016491~oxidoreductase activity,GO:0046872~metal ion binding,GO:0051537~2 iron, 2 sulfur cluster binding,	IPR004192:Rieske_TM,IPR005805:Rieske_Fe-S_prot_C,IPR006317:Ubiquinol_cyt_c_Rdtase_Fe-S-su,IPR014349:Rieske_Fe-S_prot,IPR017941:Rieske_2Fe-2S,IPR036922:Rieske_2Fe-2S_sf,IPR037008:bc1_Rieske_TM_sf,	dme00190:Oxidative phosphorylation,dme01100:Metabolic pathways,dme04148:Efferocytosis,				KW-0249~Electron transport,KW-0679~Respiratory chain,KW-0813~Transport,	KW-0472~Membrane,KW-0496~Mitochondrion,KW-0999~Mitochondrion inner membrane,		KW-0809~Transit peptide,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0001~2Fe-2S,KW-0408~Iron,KW-0411~Iron-sulfur,KW-0479~Metal-binding,	KW-0560~Oxidoreductase,KW-1278~Translocase,	KW-1015~Disulfide bond,	DOMAIN:Cytochrome b-c1 complex subunit Rieske transmembrane,DOMAIN:Rieske,REGION:Disordered,TOPO_DOM:Mitochondrial intermembrane,TOPO_DOM:Mitochondrial matrix,TRANSIT:Mitochondrion,TRANSMEM:Helical,
O18405	Surfeit 4(Surf4)	Drosophila melanogaster			GO:0007030~Golgi organization,GO:0015031~protein transport,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005793~endoplasmic reticulum-Golgi intermediate compartment,GO:0012505~endomembrane system,GO:0016020~membrane,GO:0045169~fusome,		IPR002995:Surf4,IPR045214:Surf1/Surf4,					KW-0653~Protein transport,KW-0813~Transport,	KW-0256~Endoplasmic reticulum,KW-0472~Membrane,		KW-0812~Transmembrane,KW-1133~Transmembrane helix,				MOTIF:Di-lysine motif,TRANSMEM:Helical,
Q8C1B2	TCDD-inducible poly(ADP-ribose) polymerase(Tiparp)	Mus musculus			GO:0001570~vasculogenesis,GO:0001822~kidney development,GO:0007588~excretion,GO:0008152~metabolic process,GO:0008209~androgen metabolic process,GO:0008210~estrogen metabolic process,GO:0008585~female gonad development,GO:0009791~post-embryonic development,GO:0010629~negative regulation of gene expression,GO:0030097~hemopoiesis,GO:0045732~positive regulation of protein catabolic process,GO:0048008~platelet-derived growth factor receptor signaling pathway,GO:0048705~skeletal system morphogenesis,GO:0048745~smooth muscle tissue development,GO:0060021~roof of mouth development,GO:0060325~face morphogenesis,GO:0071407~cellular response to organic cyclic compound,GO:1904612~response to 2,3,7,8-tetrachlorodibenzodioxine,	GO:0005634~nucleus,	GO:0000987~cis-regulatory region sequence-specific DNA binding,GO:0003950~NAD+-protein poly-ADP-ribosyltransferase activity,GO:0016779~nucleotidyltransferase activity,GO:0046872~metal ion binding,GO:0140803~NAD+-protein-cysteine ADP-ribosyltransferase activity,GO:0140806~NAD+-protein-aspartate ADP-ribosyltransferase activity,GO:0140822~NAD+-histone H2BE35 glutamate ADP-ribosyltransferase activity,GO:0140844~NAD+-histone H2BE2 glutamate ADP-ribosyltransferase activity,GO:0140867~NAD+-histone H2BE18 glutamate ADP-ribosyltransferase activity,GO:1990404~NAD+-protein ADP-ribosyltransferase activity,	IPR000571:Znf_CCCH,IPR004170:WWE_dom,IPR012317:Poly(ADP-ribose)pol_cat_dom,IPR037197:WWE_dom_sf,IPR051712:ARTD-AVP,						KW-0539~Nucleus,		KW-0863~Zinc-finger,	KW-0479~Metal-binding,KW-0520~NAD,KW-0862~Zinc,	KW-0328~Glycosyltransferase,KW-0548~Nucleotidyltransferase,KW-0808~Transferase,	KW-0013~ADP-ribosylation,	DOMAIN:C3H1-type,DOMAIN:PARP catalytic,DOMAIN:WWE,MOTIF:Nuclear localization signal,REGION:Disordered,ZN_FING:C3H1-type,
Q9JIT3	TLE family member 3, transcriptional corepressor(Tle3)	Rattus norvegicus			GO:0006355~regulation of DNA-templated transcription,GO:0016055~Wnt signaling pathway,GO:0045892~negative regulation of DNA-templated transcription,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0120163~negative regulation of cold-induced thermogenesis,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005667~transcription regulator complex,GO:1990907~beta-catenin-TCF complex,	GO:0003714~transcription corepressor activity,GO:0005515~protein binding,	IPR001680:WD40_rpt,IPR005617:Groucho/TLE_N,IPR009146:Groucho_enhance,IPR015943:WD40/YVTN_repeat-like_dom_sf,IPR019775:WD40_repeat_CS,IPR036322:WD40_repeat_dom_sf,	rno04310:Wnt signaling pathway,rno04330:Notch signaling pathway,			SM00320:WD40,	KW-0804~Transcription,KW-0805~Transcription regulation,KW-0879~Wnt signaling pathway,	KW-0539~Nucleus,		KW-0175~Coiled coil,KW-0677~Repeat,KW-0853~WD repeat,		KW-0678~Repressor,	KW-0007~Acetylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),DOMAIN:Groucho/TLE N-terminal Q-rich,MOTIF:Nuclear localization signal,REGION:CcN domain,REGION:Disordered,REGION:GP domain,REGION:Q domain,REGION:SP domain,REPEAT:WD,REPEAT:WD 1,REPEAT:WD 2,REPEAT:WD 3,REPEAT:WD 4,REPEAT:WD 5,REPEAT:WD 6,REPEAT:WD 7,
Q60803	TNF receptor-associated factor 3(Traf3)	Mus musculus	m_cd40Pathway:CD40L Signaling Pathway,m_tall1Pathway:TACI and BCMA stimulation of B cell immune responses.,m_tnfr2Pathway:TNFR2 Signaling Pathway,	Cell division and chromosome partitioning,	GO:0001817~regulation of cytokine production,GO:0002224~toll-like receptor signaling pathway,GO:0006915~apoptotic process,GO:0007166~cell surface receptor signaling pathway,GO:0008063~Toll signaling pathway,GO:0030162~regulation of proteolysis,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0032481~positive regulation of type I interferon production,GO:0032648~regulation of interferon-beta production,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0034142~toll-like receptor 4 signaling pathway,GO:0042981~regulation of apoptotic process,GO:0043122~regulation of canonical NF-kappaB signal transduction,GO:0045087~innate immune response,GO:0050688~regulation of defense response to virus,GO:0070534~protein K63-linked ubiquitination,	GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005768~endosome,GO:0009898~cytoplasmic side of plasma membrane,GO:0010008~endosome membrane,GO:0035631~CD40 receptor complex,GO:0098802~plasma membrane signaling receptor complex,	GO:0004842~ubiquitin-protein transferase activity,GO:0005164~tumor necrosis factor receptor binding,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0019901~protein kinase binding,GO:0019903~protein phosphatase binding,GO:0031625~ubiquitin protein ligase binding,GO:0031996~thioesterase binding,GO:0035591~signaling adaptor activity,GO:0042802~identical protein binding,GO:0046872~metal ion binding,GO:0061630~ubiquitin protein ligase activity,	IPR001293:Znf_TRAF,IPR001841:Znf_RING,IPR002083:MATH/TRAF_dom,IPR008974:TRAF-like,IPR012227:TNF_rcpt-assoc_TRAF_met,IPR013083:Znf_RING/FYVE/PHD,IPR017907:Znf_RING_CS,IPR027128:TRAF3_RING-HC,IPR037304:TRAF3_MATH,IPR049342:TRAF1-6_MATH_dom,IPR049440:TRAF3/5_RING,	mmu04064:NF-kappa B signaling pathway,mmu04620:Toll-like receptor signaling pathway,mmu04621:NOD-like receptor signaling pathway,mmu04622:RIG-I-like receptor signaling pathway,mmu04657:IL-17 signaling pathway,mmu04668:TNF signaling pathway,mmu04936:Alcoholic liver disease,mmu05160:Hepatitis C,mmu05161:Hepatitis B,mmu05162:Measles,mmu05164:Influenza A,mmu05165:Human papillomavirus infection,mmu05167:Kaposi sarcoma-associated herpesvirus infection,mmu05168:Herpes simplex virus 1 infection,mmu05169:Epstein-Barr virus infection,mmu05171:Coronavirus disease - COVID-19,mmu05200:Pathways in cancer,mmu05203:Viral carcinogenesis,mmu05222:Small cell lung cancer,mmu05417:Lipid and atherosclerosis,		PIRSF015614:TRAF,	SM00061:MATH,	KW-0053~Apoptosis,KW-0391~Immunity,KW-0833~Ubl conjugation pathway,	KW-0496~Mitochondrion,KW-0963~Cytoplasm,KW-0967~Endosome,		KW-0175~Coiled coil,KW-0677~Repeat,KW-0863~Zinc-finger,	KW-0479~Metal-binding,KW-0862~Zinc,	KW-0808~Transferase,	KW-0832~Ubl conjugation,KW-0882~Thioester bond,KW-1017~Isopeptide bond,	CROSSLNK:Glycyl cysteine thioester (Cys-Gly) (interchain with G-Cter in ubiquitin),CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),DOMAIN:MATH,DOMAIN:RING-type,DOMAIN:TRAF-type,MUTAGEN:C->A: Abolishes inhibition of NFKB2 processing; when associated with A-52.,MUTAGEN:C->A: Abolishes inhibition of NFKB2 processing; when associated with A-55.,MUTAGEN:C->A: Strongly reduces 'Lys-63'-linked ubiquitination; when associated with A-69. Abolishes inhibition of NFKB2 processing; when associated with A-69.,MUTAGEN:F->Y: Loss of interaction with MAVS.,MUTAGEN:H->A: Strongly reduces 'Lys-63'-linked ubiquitination; when associated with A-69. Abolishes inhibition of NFKB2 processing; when associated with A-67.,MUTAGEN:K->R: Abolished ubiquitination by the SCF(FBXL2) complex.,MUTAGEN:K->R: Reduces 'Lys-48'-linked polyubiquitination; when associated with R-106.,MUTAGEN:K->R: Reduces 'Lys-48'-linked polyubiquitination; when associated with R-155.,MUTAGEN:W->A: Decreased interaction with FBXL2.,MUTAGEN:Y->F: Loss of interaction with MAVS.,REGION:Disordered,ZN_FING:RING-type,ZN_FING:TRAF-type,ZN_FING:TRAF-type 1,ZN_FING:TRAF-type 2,
P14381	Transposon TX1 uncharacterized 149 kDa protein (YTX2_XENLA)	Xenopus laevis					GO:0003824~catalytic activity,	IPR000477:RT_dom,IPR005135:Endo/exonuclease/phosphatase,IPR036691:Endo/exonu/phosph_ase_sf,IPR043502:DNA/RNA_pol_sf,IPR052343:Retrotransposon-Effector_Assoc,												DOMAIN:Reverse transcriptase,
P36514	UDP-glucuronosyltransferase(UGT2C1)	Oryctolagus cuniculus			GO:0006629~lipid metabolic process,	GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,	GO:0008194~UDP-glycosyltransferase activity,GO:0015020~glucuronosyltransferase activity,	IPR002213:UDP_glucos_trans,IPR035595:UDP_glycos_trans_CS,IPR050271:UDP-glycosyltransferase,	ocu00040:Pentose and glucuronate interconversions,ocu00053:Ascorbate and aldarate metabolism,ocu00140:Steroid hormone biosynthesis,ocu00830:Retinol metabolism,ocu00860:Porphyrin metabolism,ocu00980:Metabolism of xenobiotics by cytochrome P450,ocu00982:Drug metabolism - cytochrome P450,ocu00983:Drug metabolism - other enzymes,ocu01100:Metabolic pathways,ocu01240:Biosynthesis of cofactors,ocu04976:Bile secretion,ocu05204:Chemical carcinogenesis - DNA adducts,ocu05207:Chemical carcinogenesis - receptor activation,				KW-0443~Lipid metabolism,	KW-0256~Endoplasmic reticulum,KW-0472~Membrane,KW-0492~Microsome,		KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0328~Glycosyltransferase,KW-0808~Transferase,	KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,TRANSMEM:Helical,
B2RZ78	VPS29 retromer complex component(Vps29)	Rattus norvegicus			GO:0006886~intracellular protein transport,GO:0008150~biological_process,GO:0015031~protein transport,GO:0032456~endocytic recycling,GO:0042147~retrograde transport, endosome to Golgi,	GO:0005768~endosome,GO:0005769~early endosome,GO:0005770~late endosome,GO:0005829~cytosol,GO:0010008~endosome membrane,GO:0030904~retromer complex,GO:0030906~retromer, cargo-selective complex,GO:0043231~intracellular membrane-bounded organelle,	GO:0046872~metal ion binding,	IPR000979:Phosphodiesterase_MJ0936/Vps29,IPR024654:Calcineurin-like_PHP_lpxH,IPR028661:Vps29,IPR029052:Metallo-depent_PP-like,	rno04144:Endocytosis,				KW-0653~Protein transport,KW-0813~Transport,	KW-0472~Membrane,KW-0963~Cytoplasm,KW-0967~Endosome,			KW-0479~Metal-binding,KW-0862~Zinc,		KW-0007~Acetylation,	DOMAIN:Calcineurin-like phosphoesterase,
