ID	Gene Name	Species	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
Q8C1B2	TCDD-inducible poly(ADP-ribose) polymerase(Tiparp)	Mus musculus		GO:0001570~vasculogenesis,GO:0001822~kidney development,GO:0007588~excretion,GO:0008152~metabolic process,GO:0008209~androgen metabolic process,GO:0008210~estrogen metabolic process,GO:0008585~female gonad development,GO:0009791~post-embryonic development,GO:0010629~negative regulation of gene expression,GO:0030097~hemopoiesis,GO:0045732~positive regulation of protein catabolic process,GO:0048008~platelet-derived growth factor receptor signaling pathway,GO:0048705~skeletal system morphogenesis,GO:0048745~smooth muscle tissue development,GO:0060021~roof of mouth development,GO:0060325~face morphogenesis,GO:0071407~cellular response to organic cyclic compound,GO:1904612~response to 2,3,7,8-tetrachlorodibenzodioxine,	GO:0005634~nucleus,	GO:0000987~cis-regulatory region sequence-specific DNA binding,GO:0003950~NAD+-protein poly-ADP-ribosyltransferase activity,GO:0016779~nucleotidyltransferase activity,GO:0046872~metal ion binding,GO:0140803~NAD+-protein-cysteine ADP-ribosyltransferase activity,GO:0140806~NAD+-protein-aspartate ADP-ribosyltransferase activity,GO:0140822~NAD+-histone H2BE35 glutamate ADP-ribosyltransferase activity,GO:0140844~NAD+-histone H2BE2 glutamate ADP-ribosyltransferase activity,GO:0140867~NAD+-histone H2BE18 glutamate ADP-ribosyltransferase activity,GO:1990404~NAD+-protein ADP-ribosyltransferase activity,	IPR000571:Znf_CCCH,IPR004170:WWE_dom,IPR012317:Poly(ADP-ribose)pol_cat_dom,IPR037197:WWE_dom_sf,IPR051712:ARTD-AVP,						KW-0539~Nucleus,		KW-0863~Zinc-finger,	KW-0479~Metal-binding,KW-0520~NAD,KW-0862~Zinc,	KW-0328~Glycosyltransferase,KW-0548~Nucleotidyltransferase,KW-0808~Transferase,	KW-0013~ADP-ribosylation,	DOMAIN:C3H1-type,DOMAIN:PARP catalytic,DOMAIN:WWE,MOTIF:Nuclear localization signal,REGION:Disordered,ZN_FING:C3H1-type,
Q5ND34	WD repeat domain 81(Wdr81)	Mus musculus		GO:0006511~ubiquitin-dependent protein catabolic process,GO:0007005~mitochondrion organization,GO:0035973~aggrephagy,GO:0045022~early endosome to late endosome transport,GO:0050821~protein stabilization,	GO:0000421~autophagosome membrane,GO:0005739~mitochondrion,GO:0005765~lysosomal membrane,GO:0005829~cytosol,GO:0010008~endosome membrane,GO:0031901~early endosome membrane,GO:0031902~late endosome membrane,	GO:0035014~phosphatidylinositol 3-kinase regulator activity,GO:0070530~K63-linked polyubiquitin modification-dependent protein binding,GO:0141039~phosphatidylinositol 3-kinase inhibitor activity,	IPR000409:BEACH_dom,IPR001680:WD40_rpt,IPR011009:Kinase-like_dom_sf,IPR015943:WD40/YVTN_repeat-like_dom_sf,IPR036322:WD40_repeat_dom_sf,IPR036372:BEACH_dom_sf,IPR052651:WDR81,				SM00320:WD40,SM01026:Beach,		KW-0458~Lysosome,KW-0472~Membrane,KW-0496~Mitochondrion,KW-0963~Cytoplasm,KW-0967~Endosome,KW-0968~Cytoplasmic vesicle,		KW-0677~Repeat,KW-0809~Transit peptide,KW-0853~WD repeat,				COMPBIAS:Acidic residues,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:BEACH,MUTAGEN:L->P: Progressive ataxia associated with Purkinje cell death. Retinal thinning due to photoreceptor cell death.,REGION:Disordered,REGION:Necessary and sufficient for the interaction with SQSTM1,REPEAT:WD,REPEAT:WD 1,REPEAT:WD 2,REPEAT:WD 3,REPEAT:WD 4,REPEAT:WD 5,
A6NFN9	ankyrin repeat and ubiquitin domain containing 1(ANKUB1)	Homo sapiens					IPR000626:Ubiquitin-like_dom,IPR002110:Ankyrin_rpt,IPR029071:Ubiquitin-like_domsf,IPR036770:Ankyrin_rpt-contain_sf,IPR042788:ANKUB1,				SM00248:ANK,
Q5ZLC8	ankyrin repeat domain 52(ANKRD52)	Gallus gallus	General function prediction only,	GO:0036371~protein localization to T-tubule,GO:0055117~regulation of cardiac muscle contraction,GO:1904108~protein localization to ciliary inversin compartment,	GO:0030315~T-tubule,GO:0097543~ciliary inversin compartment,	GO:0005515~protein binding,	IPR002110:Ankyrin_rpt,IPR036770:Ankyrin_rpt-contain_sf,IPR050745:Multifunctional_regulatory,				SM00248:ANK,				KW-0040~ANK repeat,KW-0677~Repeat,				REPEAT:ANK,REPEAT:ANK 1,REPEAT:ANK 10,REPEAT:ANK 11,REPEAT:ANK 12,REPEAT:ANK 13,REPEAT:ANK 14,REPEAT:ANK 15,REPEAT:ANK 16,REPEAT:ANK 17,REPEAT:ANK 18,REPEAT:ANK 19,REPEAT:ANK 2,REPEAT:ANK 20,REPEAT:ANK 21,REPEAT:ANK 22,REPEAT:ANK 23,REPEAT:ANK 24,REPEAT:ANK 25,REPEAT:ANK 26,REPEAT:ANK 27,REPEAT:ANK 28,REPEAT:ANK 3,REPEAT:ANK 4,REPEAT:ANK 5,REPEAT:ANK 6,REPEAT:ANK 7,REPEAT:ANK 8,REPEAT:ANK 9,
Q9P0X4	calcium voltage-gated channel subunit alpha1 I(CACNA1I)	Homo sapiens		GO:0007165~signal transduction,GO:0019228~neuronal action potential,GO:0030431~sleep,GO:0070588~calcium ion transmembrane transport,GO:0098703~calcium ion import across plasma membrane,	GO:0005886~plasma membrane,GO:0005891~voltage-gated calcium channel complex,	GO:0005245~voltage-gated calcium channel activity,GO:0005515~protein binding,GO:0008331~high voltage-gated calcium channel activity,	IPR002077:VDCCAlpha1,IPR005445:VDCC_T_a1,IPR005821:Ion_trans_dom,IPR027359:Volt_channel_dom_sf,IPR043203:VGCC_Ca_Na,	hsa04010:MAPK signaling pathway,hsa04020:Calcium signaling pathway,hsa04713:Circadian entrainment,hsa04925:Aldosterone synthesis and secretion,hsa04927:Cortisol synthesis and secretion,hsa04929:GnRH secretion,hsa04934:Cushing syndrome,	620114~Neurodevelopmental disorder with speech impairment and with or without seizures,			KW-0109~Calcium transport,KW-0406~Ion transport,KW-0813~Transport,	KW-0472~Membrane,	KW-0225~Disease variant,KW-0991~Intellectual disability,	KW-0677~Repeat,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0106~Calcium,	KW-0107~Calcium channel,KW-0407~Ion channel,KW-0851~Voltage-gated channel,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,REGION:Disordered,REPEAT:I,REPEAT:II,REPEAT:III,REPEAT:IV,SITE:Calcium ion selectivity and permeability,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical; Name=S1 of repeat I,TRANSMEM:Helical; Name=S1 of repeat II,TRANSMEM:Helical; Name=S1 of repeat III,TRANSMEM:Helical; Name=S1 of repeat IV,TRANSMEM:Helical; Name=S2 of repeat I,TRANSMEM:Helical; Name=S2 of repeat II,TRANSMEM:Helical; Name=S2 of repeat III,TRANSMEM:Helical; Name=S2 of repeat IV,TRANSMEM:Helical; Name=S3 of repeat I,TRANSMEM:Helical; Name=S3 of repeat II,TRANSMEM:Helical; Name=S3 of repeat III,TRANSMEM:Helical; Name=S3 of repeat IV,TRANSMEM:Helical; Name=S4 of repeat I,TRANSMEM:Helical; Name=S4 of repeat II,TRANSMEM:Helical; Name=S4 of repeat III,TRANSMEM:Helical; Name=S4 of repeat IV,TRANSMEM:Helical; Name=S5 of repeat I,TRANSMEM:Helical; Name=S5 of repeat II,TRANSMEM:Helical; Name=S5 of repeat III,TRANSMEM:Helical; Name=S5 of repeat IV,TRANSMEM:Helical; Name=S6 of repeat I,TRANSMEM:Helical; Name=S6 of repeat II,TRANSMEM:Helical; Name=S6 of repeat III,TRANSMEM:Helical; Name=S6 of repeat IV,
O02751	craniofacial development protein 2(CFDP2)	Bos taurus			GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0003824~catalytic activity,	IPR005135:Endo/exonuclease/phosphatase,IPR027124:Swc5/CFDP1/2,IPR036691:Endo/exonu/phosph_ase_sf,						KW-0539~Nucleus,KW-0963~Cytoplasm,						COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,REGION:Disordered,REGION:Hydrophilic,
Q96F81	dispatched RND transporter family member 1(DISP1)	Homo sapiens		GO:0007224~smoothened signaling pathway,GO:0007225~patched ligand maturation,GO:0007368~determination of left/right symmetry,GO:0009880~embryonic pattern specification,GO:0009953~dorsal/ventral pattern formation,GO:0015833~peptide transport,GO:0050708~regulation of protein secretion,GO:0055085~transmembrane transport,GO:0060539~diaphragm development,GO:0070207~protein homotrimerization,	GO:0016020~membrane,GO:0016323~basolateral plasma membrane,	GO:0005515~protein binding,GO:1904680~peptide transmembrane transporter activity,	IPR000731:SSD,IPR003392:Ptc/Disp,IPR052081:Dispatched_Hh_regulator,	hsa04340:Hedgehog signaling pathway,					KW-0472~Membrane,		KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0217~Developmental protein,KW-9996~Developmental protein,	KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:SSD,REGION:Disordered,TRANSMEM:Helical,
P49961	ectonucleoside triphosphate diphosphohydrolase 1(ENTPD1)	Homo sapiens		GO:0006338~chromatin remodeling,GO:0007155~cell adhesion,GO:0007596~blood coagulation,GO:0009134~nucleoside diphosphate catabolic process,GO:0070527~platelet aggregation,GO:0140588~chromatin looping,	GO:0005886~plasma membrane,GO:0005901~caveola,GO:0016020~membrane,GO:0070062~extracellular exosome,	GO:0003689~DNA clamp loader activity,GO:0003924~GTPase activity,GO:0004050~apyrase activity,GO:0004382~GDP phosphatase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0016887~ATP hydrolysis activity,GO:0017110~nucleoside diphosphate phosphatase activity,GO:0017111~ribonucleoside triphosphate phosphatase activity,GO:0036384~CDP phosphatase activity,GO:0043262~ADP phosphatase activity,GO:0043273~CTPase activity,GO:0045134~UDP phosphatase activity,GO:0061775~cohesin loader activity,GO:0103023~ITPase activity,GO:0140584~chromatin extrusion motor activity,GO:0140665~ATP-dependent H3-H4 histone complex chaperone activity,GO:0140849~ATP-dependent H2AZ histone chaperone activity,GO:1990003~IDP phosphatase activity,GO:1990606~membrane scission GTPase motor activity,	IPR000407:GDA1_CD39_NTPase,	hsa00230:Purine metabolism,hsa00240:Pyrimidine metabolism,hsa01100:Metabolic pathways,hsa01232:Nucleotide metabolism,hsa05169:Epstein-Barr virus infection,	615683~Spastic paraplegia 64, autosomal recessive,				KW-0472~Membrane,	KW-0225~Disease variant,KW-0523~Neurodegeneration,KW-0890~Hereditary spastic paraplegia,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0067~ATP-binding,KW-0106~Calcium,KW-0460~Magnesium,KW-0547~Nucleotide-binding,	KW-0378~Hydrolase,	KW-0325~Glycoprotein,KW-0449~Lipoprotein,KW-0564~Palmitate,KW-1015~Disulfide bond,	ACT_SITE:Proton acceptor,CARBOHYD:N-linked (GlcNAc...) asparagine,LIPID:S-palmitoyl cysteine,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
Q7ZVR8	epithelial splicing regulatory protein 2(esrp2)	Danio rerio		GO:0006397~mRNA processing,GO:0008380~RNA splicing,GO:0043484~regulation of RNA splicing,GO:1904888~cranial skeletal system development,GO:1905748~hard palate morphogenesis,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:1990904~ribonucleoprotein complex,	GO:0003676~nucleic acid binding,GO:0003723~RNA binding,GO:0003729~mRNA binding,	IPR000504:RRM_dom,IPR012337:RNaseH-like_sf,IPR012677:Nucleotide-bd_a/b_plait_sf,IPR035979:RBD_domain_sf,IPR036397:RNaseH_sf,IPR050666:ESRP,				SM00360:RRM,	KW-0507~mRNA processing,KW-0508~mRNA splicing,	KW-0539~Nucleus,		KW-0677~Repeat,		KW-0694~RNA-binding,		DOMAIN:RRM,DOMAIN:RRM 1,DOMAIN:RRM 2,DOMAIN:RRM 3,
Q90705	eukaryotic translation elongation factor 2(EEF2)	Gallus gallus	Translation, ribosomal structure and biogenesis,	GO:0006412~translation,GO:0006414~translational elongation,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:1990904~ribonucleoprotein complex,	GO:0003746~translation elongation factor activity,GO:0003924~GTPase activity,GO:0005525~GTP binding,GO:0043022~ribosome binding,	IPR000640:EFG_V-like,IPR000795:T_Tr_GTP-bd_dom,IPR004161:EFTu-like_2,IPR005225:Small_GTP-bd_dom,IPR005517:Transl_elong_EFG/EF2_IV,IPR009000:Transl_B-barrel_sf,IPR014721:Ribsml_uS5_D2-typ_fold_subgr,IPR020568:Ribosomal_Su5_D2-typ_SF,IPR027417:P-loop_NTPase,IPR031157:G_TR_CS,IPR035647:EFG_III/V,IPR041095:EFG_II,				SM00838:EFG_C,SM00889:EFG_IV,	KW-0648~Protein biosynthesis,	KW-0539~Nucleus,KW-0963~Cytoplasm,			KW-0342~GTP-binding,KW-0547~Nucleotide-binding,	KW-0251~Elongation factor,KW-0378~Hydrolase,	KW-0597~Phosphoprotein,	DOMAIN:Tr-type G,DOMAIN:tr-type G,REGION:Disordered,
Q80U96	exportin 1(Xpo1)	Rattus norvegicus	Nuclear structure / Intracellular trafficking and secretion,	GO:0000054~ribosomal subunit export from nucleus,GO:0000055~ribosomal large subunit export from nucleus,GO:0000056~ribosomal small subunit export from nucleus,GO:0000122~negative regulation of transcription by RNA polymerase II,GO:0006406~mRNA export from nucleus,GO:0006611~protein export from nucleus,GO:0006913~nucleocytoplasmic transport,GO:0009410~response to xenobiotic stimulus,GO:0010824~regulation of centrosome duplication,GO:0032434~regulation of proteasomal ubiquitin-dependent protein catabolic process,GO:0034504~protein localization to nucleus,GO:0042176~regulation of protein catabolic process,GO:0042254~ribosome biogenesis,GO:0046825~regulation of protein export from nucleus,GO:0071401~cellular response to triglyceride,GO:1902075~cellular response to salt,	GO:0000776~kinetochore,GO:0005634~nucleus,GO:0005642~annulate lamellae,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0015030~Cajal body,GO:0031965~nuclear membrane,GO:0032991~protein-containing complex,GO:0043231~intracellular membrane-bounded organelle,GO:1990904~ribonucleoprotein complex,	GO:0003723~RNA binding,GO:0005049~nuclear export signal receptor activity,GO:0005515~protein binding,GO:0019904~protein domain specific binding,GO:0031267~small GTPase binding,GO:0140297~DNA-binding transcription factor binding,	IPR001494:Importin-beta_N,IPR011989:ARM-like,IPR013598:Exportin-1/Importin-b-like,IPR014877:XPO1_C_dom,IPR016024:ARM-type_fold,IPR040485:XPO1_repeat_3,IPR041123:CRM1_repeat,IPR041235:Exp1_repeat_2,IPR045065:XPO1/5,	rno03008:Ribosome biogenesis in eukaryotes,rno03013:Nucleocytoplasmic transport,rno03250:Viral life cycle - HIV-1,rno05164:Influenza A,rno05166:Human T-cell leukemia virus 1 infection,			SM00913:IBN_N,SM01102:CRM1_C,	KW-0509~mRNA transport,KW-0653~Protein transport,KW-0813~Transport,	KW-0539~Nucleus,KW-0963~Cytoplasm,		KW-0677~Repeat,		KW-0694~RNA-binding,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	DOMAIN:Exportin-1 C-terminal,DOMAIN:Importin N-terminal,REGION:Necessary for interaction with RANBP3,REGION:Necessary for interaction with Ran and nuclear export complex formation,REPEAT:HEAT 1,REPEAT:HEAT 10,REPEAT:HEAT 2,REPEAT:HEAT 3,REPEAT:HEAT 4,REPEAT:HEAT 5,REPEAT:HEAT 6,REPEAT:HEAT 7,REPEAT:HEAT 8,REPEAT:HEAT 9,
Q8AWC7	fucosyltransferase 11(FUT11)	Gallus gallus		GO:0006486~protein glycosylation,GO:0036065~fucosylation,	GO:0000139~Golgi membrane,GO:0032580~Golgi cisterna membrane,	GO:0046920~alpha-(1->3)-fucosyltransferase activity,	IPR001503:Glyco_trans_10,IPR017176:Alpha-1_3-FUT_met,IPR031481:Glyco_tran_10_N,IPR038577:GT10-like_C_sf,			PIRSF037332:Alpha1_3FUT_met,			KW-0333~Golgi apparatus,KW-0472~Membrane,		KW-0732~Signal,KW-0735~Signal-anchor,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0328~Glycosyltransferase,KW-0808~Transferase,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:Fucosyltransferase N-terminal,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Lumenal,TRANSMEM:Helical; Signal-anchor for type II membrane protein,
A4IGM4	hydroxysteroid (11-beta) dehydrogenase 1-like(hsd11b1l)	Xenopus tropicalis	General function prediction only,		GO:0005576~extracellular region,GO:0043231~intracellular membrane-bounded organelle,	GO:0016491~oxidoreductase activity,	IPR002347:SDR_fam,IPR020904:Sc_DH/Rdtase_CS,IPR036291:NAD(P)-bd_dom_sf,IPR051253:11-beta-HSD,	xtr00140:Steroid hormone biosynthesis,xtr00980:Metabolism of xenobiotics by cytochrome P450,xtr01100:Metabolic pathways,					KW-0964~Secreted,		KW-0732~Signal,	KW-0521~NADP,	KW-0560~Oxidoreductase,		ACT_SITE:Proton acceptor,
Q7Z494	nephrocystin 3(NPHP3)	Homo sapiens	General function prediction only,Lipid metabolism,	GO:0001822~kidney development,GO:0001947~heart looping,GO:0003283~atrial septum development,GO:0006629~lipid metabolic process,GO:0007163~establishment or maintenance of cell polarity,GO:0007368~determination of left/right symmetry,GO:0016055~Wnt signaling pathway,GO:0030198~extracellular matrix organization,GO:0030324~lung development,GO:0035469~determination of pancreatic left/right asymmetry,GO:0045494~photoreceptor cell maintenance,GO:0048496~maintenance of animal organ identity,GO:0060026~convergent extension,GO:0060027~convergent extension involved in gastrulation,GO:0060271~cilium assembly,GO:0060287~epithelial cilium movement involved in determination of left/right asymmetry,GO:0060993~kidney morphogenesis,GO:0071908~determination of intestine left/right asymmetry,GO:0071909~determination of stomach left/right asymmetry,GO:0071910~determination of liver left/right asymmetry,GO:0072189~ureter development,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:1905515~non-motile cilium assembly,GO:2000095~regulation of Wnt signaling pathway, planar cell polarity pathway,	GO:0005576~extracellular region,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005871~kinesin complex,GO:0005874~microtubule,GO:0005929~cilium,GO:0097543~ciliary inversin compartment,GO:0097546~ciliary base,	GO:0005515~protein binding,	IPR011990:TPR-like_helical_dom_sf,IPR019734:TPR_repeat,IPR027417:P-loop_NTPase,IPR051787:Effector/Ciliary-Dev_Assoc,IPR052752:NACHT-WD_repeat,		208540~Renal-hepatic-pancreatic dysplasia 1,267010~Meckel syndrome 7,604387~Nephronophthisis 3,		SM00028:TPR,	KW-0879~Wnt signaling pathway,	KW-0206~Cytoskeleton,KW-0493~Microtubule,KW-0963~Cytoplasm,KW-0966~Cell projection,KW-0969~Cilium,	KW-0225~Disease variant,KW-0981~Meckel syndrome,KW-0983~Nephronophthisis,KW-1186~Ciliopathy,	KW-0175~Coiled coil,KW-0677~Repeat,KW-0802~TPR repeat,		KW-0505~Motor protein,	KW-0449~Lipoprotein,KW-0519~Myristate,	COMPBIAS:Polar residues,LIPID:N-myristoyl glycine,REGION:Disordered,REPEAT:TPR,REPEAT:TPR 1,REPEAT:TPR 10,REPEAT:TPR 11,REPEAT:TPR 2,REPEAT:TPR 3,REPEAT:TPR 4,REPEAT:TPR 5,REPEAT:TPR 6,REPEAT:TPR 7,REPEAT:TPR 8,REPEAT:TPR 9,
Q8BHB0	nucleotide-binding oligomerization domain containing 1(Nod1)	Mus musculus		GO:0002221~pattern recognition receptor signaling pathway,GO:0002606~positive regulation of dendritic cell antigen processing and presentation,GO:0006915~apoptotic process,GO:0006952~defense response,GO:0007254~JNK cascade,GO:0010508~positive regulation of autophagy,GO:0010934~macrophage cytokine production,GO:0016045~detection of bacterium,GO:0032635~interleukin-6 production,GO:0032640~tumor necrosis factor production,GO:0032731~positive regulation of interleukin-1 beta production,GO:0032755~positive regulation of interleukin-6 production,GO:0032757~positive regulation of interleukin-8 production,GO:0032760~positive regulation of tumor necrosis factor production,GO:0032874~positive regulation of stress-activated MAPK cascade,GO:0034976~response to endoplasmic reticulum stress,GO:0035556~intracellular signal transduction,GO:0042742~defense response to bacterium,GO:0043065~positive regulation of apoptotic process,GO:0043123~positive regulation of canonical NF-kappaB signal transduction,GO:0045087~innate immune response,GO:0046330~positive regulation of JNK cascade,GO:0050829~defense response to Gram-negative bacterium,GO:0050830~defense response to Gram-positive bacterium,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0051403~stress-activated MAPK cascade,GO:0060907~positive regulation of macrophage cytokine production,GO:0070371~ERK1 and ERK2 cascade,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0070427~nucleotide-binding oligomerization domain containing 1 signaling pathway,GO:0071225~cellular response to muramyl dipeptide,GO:0098792~xenophagy,GO:1901224~positive regulation of non-canonical NF-kappaB signal transduction,GO:1904417~positive regulation of xenophagy,GO:2001056~positive regulation of cysteine-type endopeptidase activity,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0016323~basolateral plasma membrane,GO:0016324~apical plasma membrane,GO:0016328~lateral plasma membrane,GO:0045335~phagocytic vesicle,	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0038187~pattern recognition receptor activity,GO:0042802~identical protein binding,GO:0042803~protein homodimerization activity,GO:0042834~peptidoglycan binding,GO:0043130~ubiquitin binding,GO:0044877~protein-containing complex binding,GO:0050700~CARD domain binding,	IPR001315:CARD,IPR001611:Leu-rich_rpt,IPR007111:NACHT_NTPase,IPR011029:DEATH-like_dom_sf,IPR027417:P-loop_NTPase,IPR032675:LRR_dom_sf,IPR041075:NOD1/2_WH,IPR041267:NLRP_HD2,IPR051261:NLR,IPR052201:LRR-containing_regulator,	mmu04621:NOD-like receptor signaling pathway,mmu05132:Salmonella infection,mmu05133:Pertussis,			SM00368:LRR_RI,	KW-0053~Apoptosis,KW-0391~Immunity,KW-0399~Innate immunity,	KW-0472~Membrane,KW-0963~Cytoplasm,KW-1003~Cell membrane,		KW-0433~Leucine-rich repeat,KW-0677~Repeat,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,		KW-0449~Lipoprotein,KW-0564~Palmitate,KW-0832~Ubl conjugation,	DOMAIN:CARD,DOMAIN:NACHT,LIPID:S-palmitoyl cysteine,REPEAT:LRR 1,REPEAT:LRR 2,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,
