biomin_hit,gene_id,evalue,score,species_id,species,group_id,type,conservation_level,blasted protein in Stylophora,definition,Ref
JT004498.1,FUN_032579-T1,5.64e-35,119,Apul,NA,NA,NA,NA,XP_022780690.1,Uncharacterized skeletal organic matrix protein-4  (USOMP-4),"Ramos-Silva et al., 2013"
HM163215,FUN_022536-T1,0,673,Apul,Apul,OG_11813,apul_peve,low,XP_029187982.1,Acropora millepora galaxin,"Reyes-Bermudez et al., 2009"
JR980881.1,FUN_022170-T1,0,2051,Apul,Apul,OG_04547,three_way,low,XP_022804012.1,EGF and laminin G domain-containing protein,"Ramos-Silva et al., 2013"
JR998014.1,FUN_001808-T1,2.65e-83,246,Apul,Apul,OG_10472,apul_peve,low,"XP_022799897.1, XP_022799896.1, XP_022801327.1, XP_022801328.1, XP_022801331.1",Putative carbonic anhydrase,"Ramos-Silva et al., 2013"
aug_v2a.19518.t1,FUN_035808-T1,0,8843,Apul,Apul,OG_12888,apul_peve,medium,XP_022784808.1,Protocadherin-like,"Takeuchi et al., 2016"
JR991083.1,FUN_025984-T1,0,1619,Apul,Apul,OG_14790,apul_ptua,medium,XP_022779335.1,Collagen alpha-1 chain,"Ramos-Silva et al., 2013"
JR973117.1,FUN_028989-T1,7.209999999999999e-162,454,Apul,NA,NA,NA,NA,"XP_022808048.1, XP_022808045.1, XP_022790310.1",Uncharacterized skeletal organic matrix protein-5 (USOMP-5),"Ramos-Silva et al., 2013"
JR971508.1,FUN_016080-T2,0,835,Apul,NA,NA,NA,NA,"XP_022793420.1, XP_022793422.1, XP_022793421.1",Uncharacterized skeletal organic matrix protein-6 (USOMP6),"Ramos-Silva et al., 2013"
JR998260.1,FUN_034923-T1,0,846,Apul,Apul,OG_12785,apul_peve,low,XP_022803212.1,Uncharacterized skeletal organic matrix protein-7 (USOMP7),"Ramos-Silva et al., 2013"
aug_v2a.24512.t1,FUN_022170-T2,0,846,Apul,NA,NA,NA,NA,XP_022804012.1,EGF and laminin G domain-containing protein,"Takeuchi et al., 2016"
aug_v2a.06122.t1,FUN_022170-T2,0,1251,Apul,NA,NA,NA,NA,XP_022804012.1,EGF and laminin G domain-containing protein,"Takeuchi et al., 2016"
aug_v2a.06123.t1,FUN_022170-T1,0,832,Apul,Apul,OG_04547,three_way,low,XP_022804012.1,EGF and laminin G domain-containing protein,"Takeuchi et al., 2016"
aug_v2a.02830.t1,FUN_022669-T1,0,4609,Apul,Apul,OG_14623,apul_ptua,low,"XP_022782704.1,XP_022782703.1",polycystic kidney disease 1-related (PKD1-related) protein,"Takeuchi et al., 2016"
aug_v2a.07627.t1,FUN_008908-T1,0,671,Apul,Apul,OG_02317,three_way,medium,XP_022806326.1,Zona pellucida domain-containing protein,"Takeuchi et al., 2016"
aug_v2a.09968.t1,FUN_037812-T1,0,3687,Apul,Apul,OG_08639,three_way,medium,XP_022794736.1,MAM and LDLr domain-containing protein,"Takeuchi et al., 2016"
aug_v2a.09969.t1,FUN_037812-T1,0,5785,Apul,Apul,OG_08639,three_way,medium,XP_022794736.1,MAM and LDLr domain-containing protein,"Takeuchi et al., 2016"
aug_v2a.05945.t1,FUN_002672-T1,0,845,Apul,NA,NA,NA,NA,XP_022783430.1,TSP-1 and VWA domain-containing,"Takeuchi et al., 2016"
aug_v2a.09809.t1,FUN_008088-T1,0,854,Apul,Apul,OG_01981,three_way,low,XP_022801334.1,Mucin4-like protein,"Takeuchi et al., 2016"
aug_v2a.15580.t1,FUN_022136-T1,7.739999999999999e-177,515,Apul,NA,NA,NA,NA,XP_022804012.1,Laminin G domain-containing protein,"Takeuchi et al., 2016"
aug_v2a.22918.t1,FUN_028989-T1,8.880000000000001e-154,432,Apul,NA,NA,NA,NA,"XP_022808048.1, XP_022808045.1, XP_022790310.1",EP-like1,"Takeuchi et al., 2016"
aug_v2a.00002.t1,FUN_028991-T1,0,697,Apul,NA,NA,NA,NA,"XP_022808048.1, XP_022808045.1, XP_022790310.1",EP-like 2,"Takeuchi et al., 2016"
aug_v2a.18631.t1,FUN_022536-T1,1.51e-140,396,Apul,Apul,OG_11813,apul_peve,low,"XP_022794122.1, XP_022794121.1",galaxin,"Takeuchi et al., 2016"
aug_v2a.15065.t1,FUN_022535-T1,4.619999999999999e-169,467,Apul,NA,NA,NA,NA,"XP_022794122.1, XP_022794121.1",galaxin2,"Takeuchi et al., 2016"
aug_v2a.15064.t1,FUN_022534-T1,0,751,Apul,Apul,OG_11812,apul_peve,low,XP_022808152.1,Cystein-rich,"Takeuchi et al., 2016"
aug_v2a.11068.t1,FUN_033818-T1,0,684,Apul,Apul,OG_07389,three_way,low,XP_022782398.1,SAARP1,"Takeuchi et al., 2016"
aug_v2a.01440.t1(aug_v2a.01441.t1),FUN_033732-T1,9.01e-121,353,Apul,Apul,OG_07331,three_way,low,XP_022780690.1,Adi-SAARP2,"Takeuchi et al., 2016"
aug_v2a.06327.t1,FUN_043638-T1,5.2800000000000005e-80,243,Apul,Apul,OG_10205,three_way,low,"XP_022781839.1, XP_022781915.1",SAARP3,"Takeuchi et al., 2016"
PFX13778.1,FUN_019026-T1,0,5117,Apul,Apul,OG_14547,apul_ptua,high,XP_022808646.1,Sacsin [Stylophora pistillata],"Peled et al., 2020"
PFX14205.1,FUN_028354-T1,9.739999999999999e-118,381,Apul,NA,NA,NA,NA,XP_022808089.1,"Proto-oncogene tyrosine-protein kinase receptor Ret, partial [Stylophora pistillata]","Peled et al., 2020"
PFX15740.1,FUN_032575-T1,4.93e-161,535,Apul,NA,NA,NA,NA,XP_022806058.1,Protein FAM208A [Stylophora pistillata],"Peled et al., 2020"
PFX16398.1,FUN_033619-T1,1.4599999999999998e-45,158,Apul,NA,NA,NA,NA,XP_022805070.1,hypothetical protein AWC38_SpisGene19330 [Stylophora pistillata],"Peled et al., 2020"
PFX18785.1,FUN_008088-T1,0,871,Apul,Apul,OG_01981,three_way,low,"XP_022801334.1, XP_022801335.1",Mucin-4 [Stylophora pistillata],"Peled et al., 2020"
PFX26597.1,FUN_043242-T1,0,1645,Apul,Apul,OG_10007,three_way,low,XP_022788977.1,Complement C3 [Stylophora pistillata],"Peled et al., 2020"
PFX26751.1,FUN_041831-T2,5.76e-83,284,Apul,Apul,OG_15462,apul_ptua,low,XP_022788730.1,Transmembrane protease serine 9 [Stylophora pistillata],"Peled et al., 2020"
PFX27832.1,FUN_045513-T1,2.07e-46,169,Apul,NA,NA,NA,NA,XP_022786864.1,Poly [ADP-ribose] polymerase 11 [Stylophora pistillata],"Peled et al., 2020"
PFX30903.1,FUN_043638-T1,2.32e-65,218,Apul,Apul,OG_10205,three_way,low,XP_022781839.1,hypothetical protein AWC38_SpisGene4292 [Stylophora pistillata],"Peled et al., 2020"
XP_022783323.1,FUN_012010-T1,3.8799999999999995e-37,131,Apul,Apul,OG_14257,apul_ptua,low,XP_022783323.1,phosphopantothenoylcysteine decarboxylase subunit VHS3-like [Stylophora pistillata],"Peled et al., 2020"
XP_022786582.1,FUN_024804-T1,0,706,Apul,Apul,OG_05568,three_way,high,XP_022786582.1,synapsin-2-like isoform X2 [Stylophora pistillata],"Peled et al., 2020"
XP_022804012.1,FUN_022170-T1,0,966,Apul,Apul,OG_04547,three_way,low,XP_022804012.1,EGF and laminin G domain-containing protein-like [Stylophora pistillata],"Peled et al., 2020"
XP_022779720.1,FUN_004094-T1,0,1809,Apul,Apul,OG_00843,three_way,low,XP_022779720.1,vitellogenin-like [Stylophora pistillata],"Peled et al., 2020"
XP_022780303.1,FUN_038277-T1,0,23696,Apul,Apul,OG_08878,three_way,medium,XP_022780303.1,LOW QUALITY PROTEIN: uncharacterized protein LOC111321626 [Stylophora pistillata],"Peled et al., 2020"
XP_022780690.1,FUN_033732-T1,2.11e-104,314,Apul,Apul,OG_07331,three_way,low,XP_022780690.1,skeletal aspartic acid-rich protein 2-like (CARP5),"Peled et al., 2020"
XP_022780694.1,FUN_022386-T1,9.559999999999998e-106,312,Apul,NA,NA,NA,NA,XP_022780694.1,CUB and peptidase domain-containing protein 2-like [Stylophora pistillata],"Peled et al., 2020"
XP_022782398.1,FUN_033818-T1,6.14e-88,270,Apul,Apul,OG_07389,three_way,low,XP_022782398.1,skeletal aspartic acid-rich protein 1-like (CARP4),"Peled et al., 2020"
XP_022783044.1,FUN_029756-T1,6.249999999999999e-132,398,Apul,Apul,OG_06607,three_way,low,XP_022783044.1,uncharacterized protein LOC111323869 [Stylophora pistillata],"Peled et al., 2020"
XP_022783415.1,FUN_002672-T2,0,931,Apul,Apul,OG_10523,apul_peve,low,XP_022783415.1,coadhesin-like isoform X3 [Stylophora pistillata],"Peled et al., 2020"
XP_022783952.1,FUN_013132-T1,3.77e-91,274,Apul,Apul,OG_11291,apul_peve,low,XP_022783952.1,collagenase 3-like [Stylophora pistillata],"Peled et al., 2020"
XP_022784623.1,FUN_023641-T1,0,1379,Apul,Apul,OG_05228,three_way,low,XP_022784623.1,cation channel sperm-associated protein subunit beta-like [Stylophora pistillata],"Peled et al., 2020"
XP_022786918.1,FUN_040037-T1,0,1095,Apul,Apul,OG_09247,three_way,low,XP_022786918.1,major yolk protein-like isoform X2 [Stylophora pistillata],"Peled et al., 2020"
XP_022788227.1,FUN_024614-T1,0,1704,Apul,Apul,OG_05514,three_way,medium,XP_022788227.1,hephaestin-like protein [Stylophora pistillata],"Peled et al., 2020"
XP_022788730.1,FUN_013138-T1,1.7499999999999998e-69,218,Apul,Apul,OG_03269,three_way,high,XP_022788730.1,chymotrypsin-like elastase family member 1 [Stylophora pistillata],"Peled et al., 2020"
XP_022789591.1,FUN_013421-T1,0,833,Apul,Apul,OG_03330,three_way,low,XP_022789591.1,endothelin-converting enzyme 1-like isoform X2 [Stylophora pistillata],"Peled et al., 2020"
XP_022789932.1,FUN_031467-T1,4.82e-83,286,Apul,Apul,OG_06717,three_way,medium,XP_022789932.1,MAGUK p55 subfamily member 7-like [Stylophora pistillata],"Peled et al., 2020"
XP_022790441.1,FUN_034050-T2,0,577,Apul,Apul,OG_07508,three_way,medium,XP_022790441.1,PHD finger protein 21A-like [Stylophora pistillata],"Peled et al., 2020"
XP_022792212.1,FUN_029123-T1,8.3e-41,137,Apul,Apul,OG_06430,three_way,high,XP_022792212.1,ras-like protein 3 [Stylophora pistillata],"Peled et al., 2020"
XP_022794122.1,FUN_022535-T1,1.4e-44,152,Apul,NA,NA,NA,NA,XP_022794122.1,galaxin-like isoform X2 [Stylophora pistillata],"Peled et al., 2020"
XP_022794351.1,FUN_008314-T1,1.1900000000000001e-63,197,Apul,Apul,OG_02088,three_way,low,XP_022794351.1,mammalian ependymin-related protein 1-like [Stylophora pistillata],"Peled et al., 2020"
XP_022794736.1,FUN_037812-T1,0,11076,Apul,Apul,OG_08639,three_way,medium,XP_022794736.1,MAM and LDL-receptor class A domain-containing protein 2-like [Stylophora pistillata],"Peled et al., 2020"
XP_022798902.1,FUN_001185-T1,0,898,Apul,Apul,OG_00355,three_way,low,XP_022798902.1,low-density lipoprotein receptor-related protein 8-like [Stylophora pistillata],"Peled et al., 2020"
XP_022799541.1,FUN_004816-T1,0,3289,Apul,Apul,OG_01177,three_way,low,XP_022799541.1,uncharacterized protein LOC111337489 [Stylophora pistillata],"Peled et al., 2020"
XP_022803524.1,FUN_015350-T1,0,759,Apul,Apul,OG_03857,three_way,medium,XP_022803524.1,digestive cysteine proteinase 1-like [Stylophora pistillata],"Peled et al., 2020"
XP_022803808.1,FUN_009861-T1,1.43e-81,262,Apul,Apul,OG_14189,apul_ptua,low,XP_022803808.1,deleted in malignant brain tumors 1 protein-like [Stylophora pistillata],"Peled et al., 2020"
XP_022803894.1,FUN_025266-T1,5.51e-83,263,Apul,Apul,OG_05606,three_way,high,XP_022803894.1,uncharacterized protein LOC111341206 [Stylophora pistillata],"Peled et al., 2020"
XP_022804785.1,FUN_008544-T1,4.17e-52,172,Apul,Apul,OG_02190,three_way,high,XP_022804785.1,"thioredoxin reductase 1, cytoplasmic-like [Stylophora pistillata]","Peled et al., 2020"
XP_022806326.1,FUN_008908-T1,3.8299999999999995e-162,461,Apul,Apul,OG_02317,three_way,medium,XP_022806326.1,ZP domain-containing protein-like [Stylophora pistillata],"Peled et al., 2020"
XP_022806664.1,FUN_035913-T1,0,1253,Apul,Apul,OG_08144,three_way,low,XP_022806664.1,protein lingerer-like [Stylophora pistillata],"Peled et al., 2020"
XP_022806928.1,FUN_008537-T1,0,1350,Apul,Apul,OG_02184,three_way,medium,XP_022806928.1,SLIT-ROBO Rho GTPase-activating protein 1-like [Stylophora pistillata],"Peled et al., 2020"
XP_022807143.1,FUN_037097-T1,0,1524,Apul,Apul,OG_08432,three_way,medium,XP_022807143.1,condensin-2 complex subunit D3-like [Stylophora pistillata],"Peled et al., 2020"
XP_022807256.1,FUN_045369-T1,0,979,Apul,Apul,OG_13702,apul_peve,low,XP_022807256.1,uncharacterized protein LOC111344300 [Stylophora pistillata],"Peled et al., 2020"
XP_022807807.1,FUN_010559-T1,0,808,Apul,Apul,OG_11074,apul_peve,low,XP_022807807.1,uncharacterized protein LOC111344812 [Stylophora pistillata],"Peled et al., 2020"
XP_022808163.1,FUN_032684-T1,2.53e-98,284,Apul,Apul,OG_12616,apul_peve,medium,XP_022808163.1,uncharacterized protein LOC111345150 [Stylophora pistillata],"Peled et al., 2020"
XP_022808576.1,FUN_008719-T1,6.76e-38,137,Apul,Apul,OG_14158,apul_ptua,low,XP_022808576.1,uncharacterized protein LOC111345553 isoform X2 [Stylophora pistillata],"Peled et al., 2020"
XP_022809269.1,FUN_024557-T1,0,965,Apul,Apul,OG_05498,three_way,low,XP_022809269.1,microtubule-associated tumor suppressor 1 homolog isoform X1 [Stylophora pistillata],"Peled et al., 2020"
XP_022809270.1,FUN_024557-T1,0,965,Apul,Apul,OG_05498,three_way,low,XP_022809270.1,microtubule-associated tumor suppressor 1 homolog isoform X2 [Stylophora pistillata],"Peled et al., 2020"
XP_022810585.1,FUN_006894-T1,0,786,Apul,Apul,OG_10812,apul_peve,low,XP_022810585.1,"von Willebrand factor D and EGF domain-containing protein-like, partial [Stylophora pistillata]","Peled et al., 2020"
XP_022778283.1,FUN_045170-T1,8.85e-111,333,Apul,NA,NA,NA,NA,XP_022778283.1,"uncharacterized protein LOC111319816, partial [Stylophora pistillata]","Peled et al., 2020"
ACE95141.1,FUN_001808-T1,7.68e-65,206,Apul,Apul,OG_10472,apul_peve,low,XP_022799914.1,carbonic anhydrase [Stylophora pistillata],"Moya et al., 2008"
P9_g10811;P1_g11108;P10_g11107,FUN_035808-T1,0,1909,Apul,Apul,OG_12888,apul_peve,medium,XP_022784808.1,Protocadherin fat-like,"Drake et al., 2013"
P2_g11187,FUN_033818-T1,1.18e-82,254,Apul,Apul,OG_07389,three_way,low,XP_022782364.1,CARP8,"Drake et al., 2013"
P3_g12510,FUN_002671-T1,1.4100000000000001e-73,244,Apul,Apul,OG_10522,apul_peve,low,"XP_022783415.1, XP_022783413.1, XP_022783414.1",Thrombospondin,"Drake et al., 2013"
P4_g9861,FUN_041743-T1,0,3280,Apul,Apul,OG_09596,three_way,medium,XP_022797264.1,Viral inclusion protein,"Drake et al., 2013"
P5_g11674,FUN_002672-T2,4.71e-58,206,Apul,Apul,OG_10523,apul_peve,low,"XP_022783415.1, XP_022783413.1, XP_022783414.1",Hemicentin,"Drake et al., 2013"
P8_g9654,FUN_040037-T1,0,1060,Apul,Apul,OG_09247,three_way,low,"XP_022786917.1, XP_022786918.1",Major yolk protein,"Drake et al., 2013"
P12_g2385,FUN_023697-T1,8.770000000000001e-21,85.5,Apul,Apul,OG_05250,three_way,low,XP_022796981.1,Stylophora pistillata hypothetical protein,"Drake et al., 2013"
P13_g6918,FUN_008088-T1,0,580,Apul,Apul,OG_01981,three_way,low,XP_022803207.1,Sushi domain-containing,"Drake et al., 2013"
P14_g9951,FUN_002671-T1,1.56e-37,137,Apul,Apul,OG_10522,apul_peve,low,XP_022783415.1,clone g9951 alpha collagen-like protein gene,"Drake et al., 2013"
P15_g1532,FUN_033732-T1,3.43e-51,172,Apul,Apul,OG_07331,three_way,low,"XP_022780640.1, XP_022783414.1, XP_022783413.1",CARP9,"Drake et al., 2013"
P16_g11702,FUN_034203-T1,1.09e-115,360,Apul,Apul,OG_15121,apul_ptua,medium,XP_022780049.1,Stylophora pistillata clone g11702 hypothetical protein gene,"Drake et al., 2013"
P18_g810,FUN_002672-T1,1.14e-113,373,Apul,NA,NA,NA,NA,XP_022783430.1,Stylophora pistillata clone g810 alpha collagen-like protein gene,"Drake et al., 2013"
P19_g20041,FUN_022157-T1,3.1e-56,183,Apul,NA,NA,NA,NA,XP_022804012.1,Contactin-associated protein,"Drake et al., 2013"
P20_g6066,FUN_037812-T1,4.169999999999999e-148,466,Apul,Apul,OG_08639,three_way,medium,XP_022794736.1,MAM domain anchor protein,"Drake et al., 2013"
P21_g18277,FUN_008908-T1,4.68e-127,367,Apul,Apul,OG_02317,three_way,medium,XP_022806326.1,Zona pellucida,"Drake et al., 2013"
P23_g1057,FUN_006652-T1,0,1611,Apul,Apul,OG_01608,three_way,medium,"XP_022808083.1, XP_022808082.1, XP_022808084.1",Protocadherin,"Drake et al., 2013"
P24_g15888,FUN_004094-T1,1.37e-32,120,Apul,Apul,OG_00843,three_way,low,XP_022779720.1,clone g15888 vitellogenin-like protein gene,"Drake et al., 2013"
P26_g1441,FUN_004094-T1,1.38e-100,324,Apul,Apul,OG_00843,three_way,low,"XP_022794920.1, XP_022800921.1",clone g1441 vitellogenin-like protein gene,"Drake et al., 2013"
P27_g18472,FUN_043638-T1,7.44e-39,136,Apul,Apul,OG_10205,three_way,low,XP_022781915.1,Integrin - alpha,"Drake et al., 2013"
P31_g20420,FUN_022136-T1,1.15e-76,250,Apul,NA,NA,NA,NA,XP_022804012.1,Neurexin,"Drake et al., 2013"
P32_g5540,FUN_006162-T1,5.64e-85,264,Apul,Apul,OG_01486,three_way,low,XP_022795871.1,Kielin/chordin like,"Drake et al., 2013"
P33_g8985,FUN_011916-T1,0,781,Apul,Apul,OG_11156,apul_peve,medium,XP_022781364.1,Flagellar associated protein,"Drake et al., 2013"
P34_g1714,FUN_037812-T1,0,867,Apul,Apul,OG_08639,three_way,medium,XP_022794736.1,MAM/LDL receptor domain containing protein,"Drake et al., 2013"
P36_g13890,FUN_037812-T1,2.3900000000000002e-122,383,Apul,Apul,OG_08639,three_way,medium,XP_022794736.1,Zonadhesion-like precursor,"Drake et al., 2013"
AGE35225.2,FUN_014485-T1,2.6799999999999997e-163,460,Apul,Apul,OG_03429,three_way,medium,XP_022785805.1,CARP1 [Stylophora pistillata],"Mass et al., 2013"
AJQ31790.1,FUN_017773-T1,0,1419,Apul,Apul,OG_04247,three_way,medium,XP_022788307.1,solute carrier family 4 member gamma [Stylophora pistillata],"Zoccola et al., 2015"
AAR13013.1,FUN_005908-T1,0,1955,Apul,Apul,OG_01452,three_way,high,XP_022785723.1,plasma membrane calcium ATPase [Stylophora pistillata],"Zoccola et al., 2004"
Gene:g1484,FUN_014485-T1,2.6799999999999997e-163,460,Apul,Apul,OG_03429,three_way,medium,XP_022785805.1,Annotated: CARP1,"Mummadisetti et al., 2021"
Gene:g3745.t1,FUN_033818-T1,2.46e-34,124,Apul,Apul,OG_07389,three_way,low,XP_022782398.1,Annotated: CARP4,"Mummadisetti et al., 2021"
Gene:g10186,FUN_033818-T1,6.14e-45,152,Apul,Apul,OG_07389,three_way,low,XP_022782398.1,Annotated: CARP4,"Mummadisetti et al., 2021"
Gene:g14733,FUN_033818-T1,8.35e-83,254,Apul,Apul,OG_07389,three_way,low,XP_022782398.1,Annotated: CARP4,"Mummadisetti et al., 2021"
Gene:g13552,FUN_043638-T1,4.83e-69,221,Apul,Apul,OG_10205,three_way,low,XP_022781839.1,Acidic SOMP (Full-Length p27),"Mummadisetti et al., 2021"
Gene:g2116,FUN_035808-T1,0,810,Apul,Apul,OG_12888,apul_peve,medium,XP_022784808.1,Annotated: Protocadherin (PC1),"Mummadisetti et al., 2021"
Gene:10186,FUN_035808-T1,1.0299999999999998e-87,285,Apul,Apul,OG_12888,apul_peve,medium,XP_022784808.1,Annotated: Protocadherin (PC2),"Mummadisetti et al., 2021"
Gene:g10187,FUN_035808-T1,1.33e-140,444,Apul,Apul,OG_12888,apul_peve,medium,XP_022784808.1,Annotated: Protocadherin (PC3),"Mummadisetti et al., 2021"
Gene:g10188,FUN_035808-T1,0,815,Apul,Apul,OG_12888,apul_peve,medium,XP_022784808.1,Annotated: Protocadherin (PC3),"Mummadisetti et al., 2021"
Gene:g30,FUN_035808-T1,0,1719,Apul,Apul,OG_12888,apul_peve,medium,XP_022784808.1,Annotated: Protoacadherin (PC4),"Mummadisetti et al., 2021"
Gene:g24177,FUN_006652-T1,0,1615,Apul,Apul,OG_01608,three_way,medium,XP_022798258.1,Annotated: Protocadherin (PC5),"Mummadisetti et al., 2021"
Gene:g38128,FUN_002672-T1,2.94e-172,526,Apul,NA,NA,NA,NA,XP_022783430.1,Annotated: α-Collagen,"Mummadisetti et al., 2021"
Gene:g2829.t1,FUN_002672-T2,0,645,Apul,Apul,OG_10523,apul_peve,low,XP_022783415.1,Annotated: Coadhesin,"Mummadisetti et al., 2021"
Gene:g5735.t1,FUN_037469-T1,1.1999999999999999e-46,162,Apul,Apul,OG_08528,three_way,low,XP_022799127.1,Annotated: Tolloid-Like,"Mummadisetti et al., 2021"
Gene:g22569,FUN_029014-T1,0,664,Apul,Apul,OG_06384,three_way,low,XP_022810031.1,Annotated: Fibronectin,"Mummadisetti et al., 2021"
Gene:g37058,FUN_029013-T1,5.63e-40,147,Apul,Apul,OG_12331,apul_peve,low,XP_022804608.1,Annotated: Fibronectin (Fibronectin-2),"Mummadisetti et al., 2021"
Gene:g7086,FUN_022170-T3,4.44e-135,419,Apul,NA,NA,NA,NA,XP_022804012.1,Annotated: EGF and LamininG-Like (EGF LamG1),"Mummadisetti et al., 2021"
Gene:g34749,FUN_022170-T3,3.839999999999999e-151,460,Apul,NA,NA,NA,NA,XP_022804012.1,Annotated: EGF and LamininG-Like (EGF LamG2),"Mummadisetti et al., 2021"
Gene:g2115,FUN_035808-T1,0,687,Apul,Apul,OG_12888,apul_peve,medium,XP_022784808.1,Annotated: Cadherin,"Mummadisetti et al., 2021"
Gene:g29033.t1,FUN_030682-T1,9.09e-62,197,Apul,Apul,OG_06655,three_way,low,XP_022799914.1,Annotated: Carbonic Anhydrase (STPCA2-1),"Mummadisetti et al., 2021"
Gene:g27814,FUN_001809-T1,6.37e-64,205,Apul,Apul,OG_13877,apul_ptua,low,XP_022801359.1,Annotated: carbonic anhydrase (STPCA2-2),"Mummadisetti et al., 2021"
Gene:g29034.t1,FUN_030682-T1,1.2399999999999998e-55,180,Apul,Apul,OG_06655,three_way,low,XP_022799914.1,Annotated: CarbonicAnhyrase,"Mummadisetti et al., 2021"
Gene:g11190,FUN_012010-T1,1.32e-26,102,Apul,Apul,OG_14257,apul_ptua,low,XP_022783323.1,Annotated: USOMP12,"Mummadisetti et al., 2021"
Gene:g30385.t1,FUN_034203-T2,0,843,Apul,Apul,OG_12722,apul_peve,medium,XP_022780049.1,Annotated: USOMPS13,"Mummadisetti et al., 2021"
Gene:g38881,FUN_038506-T1,2.0499999999999997e-66,214,Apul,Apul,OG_13091,apul_peve,low,"XP_022790556.1, XP_022790555.1",Annotated: Uncharacterized protein (USOMP14),"Mummadisetti et al., 2021"
Gene:g9094,FUN_002435-T1,0,777,Apul,Apul,OG_13910,apul_ptua,high,"XP_022795459.1, XP_022777933.1",Annotated: Actin,"Mummadisetti et al., 2021"
Gene:g15955,FUN_037812-T1,0,1133,Apul,Apul,OG_08639,three_way,medium,XP_022794736.1,Annotated: MAM and LDL receptor-containing protein (MAM LDL-2),"Mummadisetti et al., 2021"
Gene:g2829,FUN_002671-T1,1.4100000000000001e-73,244,Apul,Apul,OG_10522,apul_peve,low,"XP_022783414.1, XP_022783413.1, XP_022783414.1",Annotated: Thrombospondin-like protein (Thrombospondin),"Mummadisetti et al., 2021"
Gene:g907,FUN_008908-T1,1.3199999999999998e-153,437,Apul,Apul,OG_02317,three_way,medium,XP_022806326.1,Annotated: Zona Pellucida (ZP domain-containing),"Mummadisetti et al., 2021"
Gene:g39770,FUN_006162-T1,3.72e-66,211,Apul,Apul,OG_01486,three_way,low,XP_022795871.1,Annotated: Kielin-Like,"Mummadisetti et al., 2021"
Gene:g15294.t1,FUN_004094-T1,0,1025,Apul,Apul,OG_00843,three_way,low,XP_022779720.1,Annotated: Vitellogenin,"Mummadisetti et al., 2021"
AAD11470.1,FUN_008707-T1,0,2540,Apul,Apul,OG_02260,three_way,medium,XP_022803851.1,L-type calcium channel alpha-1 subunit,"Zoccola et al., 1999"
AGG36361.1,FUN_035808-T1,0,1703,Apul,Apul,OG_12888,apul_peve,medium,XP_022784808.1,Annotated: Protoacadherin (PC4),"Drake et al., 2013"
