biomin_hit,gene_id,evalue,score,species_id,species,group_id,type,conservation_level,blasted protein in Stylophora,definition,Ref,ACR.139.TP1,ACR.139.TP1.1,ACR.139.TP2,ACR.139.TP2.1,ACR.139.TP3,ACR.139.TP3.1,ACR.139.TP4,ACR.139.TP4.1,ACR.145.TP1,ACR.145.TP1.1,ACR.145.TP2,ACR.145.TP2.1,ACR.145.TP3,ACR.145.TP3.1,ACR.145.TP4,ACR.145.TP4.1,ACR.150.TP1,ACR.150.TP1.1,ACR.150.TP2,ACR.150.TP2.1,ACR.150.TP3,ACR.150.TP3.1,ACR.150.TP4,ACR.150.TP4.1,ACR.173.TP1,ACR.173.TP1.1,ACR.173.TP2,ACR.173.TP2.1,ACR.173.TP3,ACR.173.TP3.1,ACR.173.TP4,ACR.173.TP4.1,ACR.186.TP1,ACR.186.TP1.1,ACR.186.TP2,ACR.186.TP2.1,ACR.186.TP3,ACR.186.TP3.1,ACR.186.TP4,ACR.186.TP4.1,ACR.225.TP1,ACR.225.TP1.1,ACR.225.TP2,ACR.225.TP2.1,ACR.225.TP3,ACR.225.TP3.1,ACR.225.TP4,ACR.225.TP4.1,ACR.229.TP1,ACR.229.TP1.1,ACR.229.TP2,ACR.229.TP2.1,ACR.229.TP3,ACR.229.TP3.1,ACR.229.TP4,ACR.229.TP4.1,ACR.237.TP1,ACR.237.TP1.1,ACR.237.TP2,ACR.237.TP2.1,ACR.237.TP3,ACR.237.TP3.1,ACR.237.TP4,ACR.237.TP4.1,ACR.244.TP1,ACR.244.TP1.1,ACR.244.TP2,ACR.244.TP2.1,ACR.244.TP3,ACR.244.TP3.1,ACR.244.TP4,ACR.244.TP4.1,ACR.265.TP1,ACR.265.TP1.1,ACR.265.TP2,ACR.265.TP2.1,ACR.265.TP3,ACR.265.TP3.1,ACR.265.TP4,ACR.265.TP4.1
JR976690.1,FUN_022535,0,529,Apul,NA,NA,NA,NA,"XP_022794122.1, XP_022794121.1",Galaxin 2,"Ramos-Silva et al., 2013",6854,6854,14500,14500,7276,7276,5300,5300,10894,10894,3630,3630,10050,10050,7600,7600,4076,4076,5678,5678,3064,3064,5076,5076,4198,4198,6996,6996,13644,13644,12082,12082,1494,1494,2440,2440,3248,3248,2796,2796,3854,3854,3012,3012,5134,5134,5484,5484,6996,6996,4642,4642,2856,2856,2646,2646,5364,5364,2920,2920,4350,4350,5386,5386,6132,6132,3944,3944,5918,5918,5496,5496,5594,5594,4980,4980,6058,6058,16046,16046
aug_v2a.24015.t1,FUN_024614,0,2269,Apul,Apul,OG_05514,three_way,medium,XP_022788227.1,Hephaestin-like protein,"Takeuchi et al., 2016",2864,2864,3046,3046,1786,1786,2734,2734,1102,1102,824,824,500,500,770,770,572,572,1112,1112,2346,2346,3364,3364,716,716,1596,1596,748,748,470,470,138,138,1058,1058,310,310,1956,1956,734,734,1274,1274,1706,1706,434,434,3090,3090,1326,1326,1554,1554,472,472,840,840,902,902,2082,2082,570,570,252,252,1686,1686,1788,1788,190,190,272,272,1364,1364,908,908,410,410
aug_v2a.02830,FUN_022669,0,4867,Apul,Apul,OG_14623,apul_ptua,low,"XP_022782704.1,XP_022782703.1",polycystic kidney disease 1-related (PKD1-related) protein,"Takeuchi et al., 2016",3464,3464,4138,4138,1348,1348,1166,1166,1240,1240,1652,1652,538,538,446,446,236,236,1682,1682,2862,2862,2634,2634,374,374,2500,2500,648,648,244,244,142,142,2546,2546,528,528,1290,1290,556,556,1246,1246,1218,1218,236,236,2126,2126,1490,1490,1624,1624,304,304,568,568,1528,1528,3168,3168,358,358,200,200,2160,2160,3264,3264,240,240,416,416,1252,1252,2006,2006,348,348
JN631095.1,FUN_008908,0,723,Apul,Apul,OG_02317,three_way,medium,XP_029195765.1,Acropora millepora clone B26 hypothetical protein p251_4,"Hayward et al., 2011",16360,16360,26064,26064,16264,16264,11220,11220,12824,12824,13566,13566,6648,6648,7006,7006,24254,24254,23656,23656,12596,12596,6888,6888,11336,11336,18956,18956,18582,18582,10962,10962,14154,14154,11554,11554,4920,4920,11710,11710,5958,5958,5292,5292,20716,20716,5102,5102,16338,16338,15634,15634,15574,15574,3612,3612,3742,3742,8914,8914,18024,18024,8230,8230,7626,7626,12756,12756,19010,19010,2310,2310,1788,1788,8432,8432,7812,7812,8490,8490
JT004498.1,FUN_032579,5.64e-35,119,Apul,NA,NA,NA,NA,XP_022780690.1,Uncharacterized skeletal organic matrix protein-4  (USOMP-4),"Ramos-Silva et al., 2013",978,978,1450,1450,712,712,572,572,466,466,532,532,290,290,310,310,1324,1324,446,446,1494,1494,3622,3622,942,942,712,712,1962,1962,1232,1232,248,248,808,808,380,380,462,462,1234,1234,454,454,576,576,768,768,1436,1436,750,750,900,900,2976,2976,5118,5118,636,636,706,706,2374,2374,1080,1080,518,518,840,840,1366,1366,1180,1180,618,618,806,806,1608,1608
HM163215,FUN_022536,0,673,Apul,Apul,OG_11813,apul_peve,low,XP_029187982.1,Acropora millepora galaxin,"Reyes-Bermudez et al., 2009",2886,2886,9380,9380,17124,17124,3456,3456,3330,3330,666,666,1822,1822,2008,2008,410,410,1450,1450,1664,1664,1018,1018,1054,1054,4570,4570,8686,8686,1774,1774,842,842,1838,1838,836,836,2892,2892,346,346,2278,2278,3238,3238,486,486,214,214,688,688,360,360,190,190,1586,1586,518,518,1754,1754,584,584,464,464,728,728,1078,1078,228,228,690,690,3666,3666,4484,4484,1516,1516
JR980881.1,FUN_022170,0,2051,Apul,Apul,OG_04547,three_way,low,XP_022804012.1,EGF and laminin G domain-containing protein,"Ramos-Silva et al., 2013",2672,2672,2982,2982,1174,1174,1820,1820,864,864,1196,1196,234,234,394,394,210,210,1402,1402,1954,1954,2176,2176,430,430,2282,2282,586,586,378,378,220,220,570,570,108,108,614,614,230,230,428,428,1604,1604,372,372,910,910,852,852,1378,1378,308,308,314,314,920,920,2364,2364,498,498,250,250,1448,1448,2954,2954,372,372,546,546,956,956,966,966,368,368
JR998014.1,FUN_001808,2.65e-83,246,Apul,Apul,OG_10472,apul_peve,low,"XP_022799897.1, XP_022799896.1, XP_022801327.1, XP_022801328.1, XP_022801331.1",Putative carbonic anhydrase,"Ramos-Silva et al., 2013",20,20,0,0,210,210,186,186,32,32,0,0,0,0,0,0,0,0,10,10,0,0,6,6,30,30,36,36,0,0,18,18,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,6,6,0,0,10,10,0,0,0,0,0,0,8,8,0,0,22,22,0,0,0,0,0,0,32,32,0,0
aug_v2a.19518.t1,FUN_035808,0,8843,Apul,Apul,OG_12888,apul_peve,medium,XP_022784808.1,Protocadherin-like,"Takeuchi et al., 2016",5358,5358,5324,5324,2966,2966,3738,3738,1846,1846,2914,2914,464,464,1032,1032,994,994,3058,3058,5070,5070,3326,3326,1558,1558,4902,4902,1404,1404,682,682,596,596,1840,1840,554,554,4512,4512,726,726,1274,1274,1742,1742,366,366,3116,3116,2408,2408,4550,4550,572,572,718,718,1982,1982,4866,4866,860,860,348,348,3766,3766,6908,6908,322,322,414,414,2466,2466,2652,2652,650,650
JR991083.1,FUN_025984,0,1619,Apul,Apul,OG_14790,apul_ptua,medium,XP_022779335.1,Collagen alpha-1 chain,"Ramos-Silva et al., 2013",37136,37136,53768,53768,40022,40022,30262,30262,101910,101910,15730,15730,35084,35084,25620,25620,40402,40402,21118,21118,23678,23678,37132,37132,34584,34584,55374,55374,66512,66512,70768,70768,32058,32058,18550,18550,29916,29916,44130,44130,48558,48558,19886,19886,36152,36152,29502,29502,83892,83892,37868,37868,32072,32072,14812,14812,39562,39562,19990,19990,38766,38766,50364,50364,34146,34146,26754,26754,34172,34172,8900,8900,24306,24306,22776,22776,20362,20362,49582,49582
JR973117.1,FUN_028989,7.209999999999999e-162,454,Apul,NA,NA,NA,NA,"XP_022808048.1, XP_022808045.1, XP_022790310.1",Uncharacterized skeletal organic matrix protein-5 (USOMP-5),"Ramos-Silva et al., 2013",338,338,592,592,350,350,222,222,176,176,362,362,84,84,230,230,96,96,400,400,504,504,444,444,158,158,410,410,426,426,102,102,0,0,588,588,96,96,192,192,76,76,268,268,218,218,146,146,354,354,234,234,298,298,0,0,300,300,192,192,444,444,284,284,136,136,394,394,624,624,124,124,76,76,534,534,362,362,348,348
JR971508.1,FUN_016080,0,835,Apul,NA,NA,NA,NA,"XP_022793420.1, XP_022793422.1, XP_022793421.1",Uncharacterized skeletal organic matrix protein-6 (USOMP6),"Ramos-Silva et al., 2013",51258,51258,107720,107720,104608,104608,70710,70710,100904,100904,51588,51588,48348,48348,18120,18120,41402,41402,77960,77960,90608,90608,93434,93434,25156,25156,71790,71790,108190,108190,63774,63774,28262,28262,66430,66430,41248,41248,71338,71338,41062,41062,40982,40982,112256,112256,50590,50590,162286,162286,77340,77340,90484,90484,19352,19352,54952,54952,36362,36362,157232,157232,63592,63592,38244,38244,50688,50688,126518,126518,28754,28754,42892,42892,37154,37154,60372,60372,89358,89358
JR998260.1,FUN_034923,0,846,Apul,Apul,OG_12785,apul_peve,low,XP_022803212.1,Uncharacterized skeletal organic matrix protein-7 (USOMP7),"Ramos-Silva et al., 2013",718,718,954,954,1046,1046,860,860,848,848,116,116,562,562,762,762,66,66,498,498,78,78,438,438,380,380,584,584,820,820,774,774,78,78,186,186,152,152,360,360,922,922,798,798,1462,1462,984,984,904,904,528,528,900,900,686,686,682,682,196,196,208,208,116,116,2318,2318,2652,2652,4572,4572,2696,2696,1204,1204,708,708,1344,1344,1078,1078
aug_v2a.24512.t1,FUN_022170,0,846,Apul,NA,NA,NA,NA,XP_022804012.1,EGF and laminin G domain-containing protein,"Takeuchi et al., 2016",2672,2672,2982,2982,1174,1174,1820,1820,864,864,1196,1196,234,234,394,394,210,210,1402,1402,1954,1954,2176,2176,430,430,2282,2282,586,586,378,378,220,220,570,570,108,108,614,614,230,230,428,428,1604,1604,372,372,910,910,852,852,1378,1378,308,308,314,314,920,920,2364,2364,498,498,250,250,1448,1448,2954,2954,372,372,546,546,956,956,966,966,368,368
aug_v2a.06122.t1,FUN_022170,0,1251,Apul,NA,NA,NA,NA,XP_022804012.1,EGF and laminin G domain-containing protein,"Takeuchi et al., 2016",2672,2672,2982,2982,1174,1174,1820,1820,864,864,1196,1196,234,234,394,394,210,210,1402,1402,1954,1954,2176,2176,430,430,2282,2282,586,586,378,378,220,220,570,570,108,108,614,614,230,230,428,428,1604,1604,372,372,910,910,852,852,1378,1378,308,308,314,314,920,920,2364,2364,498,498,250,250,1448,1448,2954,2954,372,372,546,546,956,956,966,966,368,368
aug_v2a.06123.t1,FUN_022170,0,832,Apul,Apul,OG_04547,three_way,low,XP_022804012.1,EGF and laminin G domain-containing protein,"Takeuchi et al., 2016",2672,2672,2982,2982,1174,1174,1820,1820,864,864,1196,1196,234,234,394,394,210,210,1402,1402,1954,1954,2176,2176,430,430,2282,2282,586,586,378,378,220,220,570,570,108,108,614,614,230,230,428,428,1604,1604,372,372,910,910,852,852,1378,1378,308,308,314,314,920,920,2364,2364,498,498,250,250,1448,1448,2954,2954,372,372,546,546,956,956,966,966,368,368
aug_v2a.02830.t1,FUN_022669,0,4609,Apul,Apul,OG_14623,apul_ptua,low,"XP_022782704.1,XP_022782703.1",polycystic kidney disease 1-related (PKD1-related) protein,"Takeuchi et al., 2016",3464,3464,4138,4138,1348,1348,1166,1166,1240,1240,1652,1652,538,538,446,446,236,236,1682,1682,2862,2862,2634,2634,374,374,2500,2500,648,648,244,244,142,142,2546,2546,528,528,1290,1290,556,556,1246,1246,1218,1218,236,236,2126,2126,1490,1490,1624,1624,304,304,568,568,1528,1528,3168,3168,358,358,200,200,2160,2160,3264,3264,240,240,416,416,1252,1252,2006,2006,348,348
aug_v2a.07627.t1,FUN_008908,0,671,Apul,Apul,OG_02317,three_way,medium,XP_022806326.1,Zona pellucida domain-containing protein,"Takeuchi et al., 2016",16360,16360,26064,26064,16264,16264,11220,11220,12824,12824,13566,13566,6648,6648,7006,7006,24254,24254,23656,23656,12596,12596,6888,6888,11336,11336,18956,18956,18582,18582,10962,10962,14154,14154,11554,11554,4920,4920,11710,11710,5958,5958,5292,5292,20716,20716,5102,5102,16338,16338,15634,15634,15574,15574,3612,3612,3742,3742,8914,8914,18024,18024,8230,8230,7626,7626,12756,12756,19010,19010,2310,2310,1788,1788,8432,8432,7812,7812,8490,8490
aug_v2a.09968.t1,FUN_037812,0,3687,Apul,Apul,OG_08639,three_way,medium,XP_022794736.1,MAM and LDLr domain-containing protein,"Takeuchi et al., 2016",21846,21846,24528,24528,8966,8966,12508,12508,8392,8392,22646,22646,2514,2514,2618,2618,1296,1296,7114,7114,15616,15616,17310,17310,2470,2470,23290,23290,6204,6204,3292,3292,2442,2442,19584,19584,3534,3534,11756,11756,6120,6120,6010,6010,6396,6396,3650,3650,17436,17436,9816,9816,17700,17700,4328,4328,7364,7364,6060,6060,18602,18602,5460,5460,4298,4298,14024,14024,24896,24896,8790,8790,6652,6652,4358,4358,9336,9336,4232,4232
aug_v2a.09969.t1,FUN_037812,0,5785,Apul,Apul,OG_08639,three_way,medium,XP_022794736.1,MAM and LDLr domain-containing protein,"Takeuchi et al., 2016",21846,21846,24528,24528,8966,8966,12508,12508,8392,8392,22646,22646,2514,2514,2618,2618,1296,1296,7114,7114,15616,15616,17310,17310,2470,2470,23290,23290,6204,6204,3292,3292,2442,2442,19584,19584,3534,3534,11756,11756,6120,6120,6010,6010,6396,6396,3650,3650,17436,17436,9816,9816,17700,17700,4328,4328,7364,7364,6060,6060,18602,18602,5460,5460,4298,4298,14024,14024,24896,24896,8790,8790,6652,6652,4358,4358,9336,9336,4232,4232
aug_v2a.05945.t1,FUN_002672,0,845,Apul,NA,NA,NA,NA,XP_022783430.1,TSP-1 and VWA domain-containing,"Takeuchi et al., 2016",9236,9236,6634,6634,3806,3806,5982,5982,4098,4098,4762,4762,1068,1068,2656,2656,2320,2320,6468,6468,3704,3704,8236,8236,1234,1234,12692,12692,3276,3276,4072,4072,1632,1632,3234,3234,680,680,8070,8070,514,514,3398,3398,3050,3050,1410,1410,4060,4060,2104,2104,1920,1920,350,350,2704,2704,2478,2478,6006,6006,1072,1072,748,748,3556,3556,4966,4966,442,442,1252,1252,2132,2132,2598,2598,1500,1500
aug_v2a.09809.t1,FUN_008088,0,854,Apul,Apul,OG_01981,three_way,low,XP_022801334.1,Mucin4-like protein,"Takeuchi et al., 2016",2480,2480,4490,4490,2108,2108,3274,3274,1824,1824,1154,1154,828,828,818,818,1178,1178,1352,1352,2218,2218,7084,7084,666,666,3074,3074,1962,1962,2768,2768,218,218,2206,2206,616,616,2570,2570,1082,1082,752,752,840,840,710,710,3986,3986,1306,1306,2258,2258,1188,1188,4118,4118,1262,1262,2002,2002,1374,1374,2366,2366,1452,1452,2842,2842,884,884,1140,1140,1026,1026,2170,2170,2070,2070
aug_v2a.15580.t1,FUN_022136,7.739999999999999e-177,515,Apul,NA,NA,NA,NA,XP_022804012.1,Laminin G domain-containing protein,"Takeuchi et al., 2016",0,0,22,22,0,0,0,0,32,32,16,16,28,28,34,34,0,0,20,20,68,68,24,24,64,64,76,76,56,56,0,0,0,0,0,0,0,0,6,6,2,2,32,32,24,24,0,0,2,2,14,14,0,0,0,0,24,24,20,20,56,56,0,0,0,0,20,20,34,34,0,0,0,0,32,32,14,14,0,0
aug_v2a.22918.t1,FUN_028989,8.880000000000001e-154,432,Apul,NA,NA,NA,NA,"XP_022808048.1, XP_022808045.1, XP_022790310.1",EP-like1,"Takeuchi et al., 2016",338,338,592,592,350,350,222,222,176,176,362,362,84,84,230,230,96,96,400,400,504,504,444,444,158,158,410,410,426,426,102,102,0,0,588,588,96,96,192,192,76,76,268,268,218,218,146,146,354,354,234,234,298,298,0,0,300,300,192,192,444,444,284,284,136,136,394,394,624,624,124,124,76,76,534,534,362,362,348,348
aug_v2a.00002.t1,FUN_028991,0,697,Apul,NA,NA,NA,NA,"XP_022808048.1, XP_022808045.1, XP_022790310.1",EP-like 2,"Takeuchi et al., 2016",0,0,0,0,0,0,0,0,104,104,0,0,0,0,90,90,0,0,56,56,0,0,0,0,66,66,120,120,154,154,318,318,0,0,42,42,0,0,46,46,6,6,0,0,0,0,0,0,86,86,38,38,28,28,30,30,18,18,20,20,14,14,0,0,84,84,64,64,162,162,70,70,54,54,48,48,132,132,160,160
aug_v2a.18631.t1,FUN_022536,1.51e-140,396,Apul,Apul,OG_11813,apul_peve,low,"XP_022794122.1, XP_022794121.1",galaxin,"Takeuchi et al., 2016",2886,2886,9380,9380,17124,17124,3456,3456,3330,3330,666,666,1822,1822,2008,2008,410,410,1450,1450,1664,1664,1018,1018,1054,1054,4570,4570,8686,8686,1774,1774,842,842,1838,1838,836,836,2892,2892,346,346,2278,2278,3238,3238,486,486,214,214,688,688,360,360,190,190,1586,1586,518,518,1754,1754,584,584,464,464,728,728,1078,1078,228,228,690,690,3666,3666,4484,4484,1516,1516
aug_v2a.15065.t1,FUN_022535,4.619999999999999e-169,467,Apul,NA,NA,NA,NA,"XP_022794122.1, XP_022794121.1",galaxin2,"Takeuchi et al., 2016",6854,6854,14500,14500,7276,7276,5300,5300,10894,10894,3630,3630,10050,10050,7600,7600,4076,4076,5678,5678,3064,3064,5076,5076,4198,4198,6996,6996,13644,13644,12082,12082,1494,1494,2440,2440,3248,3248,2796,2796,3854,3854,3012,3012,5134,5134,5484,5484,6996,6996,4642,4642,2856,2856,2646,2646,5364,5364,2920,2920,4350,4350,5386,5386,6132,6132,3944,3944,5918,5918,5496,5496,5594,5594,4980,4980,6058,6058,16046,16046
aug_v2a.15064.t1,FUN_022534,0,751,Apul,Apul,OG_11812,apul_peve,low,XP_022808152.1,Cystein-rich,"Takeuchi et al., 2016",586,586,1116,1116,494,494,446,446,316,316,380,380,512,512,160,160,240,240,1128,1128,656,656,270,270,50,50,702,702,1950,1950,720,720,72,72,302,302,398,398,270,270,64,64,338,338,1028,1028,192,192,942,942,856,856,614,614,0,0,168,168,530,530,1022,1022,272,272,184,184,490,490,898,898,66,66,50,50,254,254,190,190,746,746
aug_v2a.11068.t1,FUN_033818,0,684,Apul,Apul,OG_07389,three_way,low,XP_022782398.1,SAARP1,"Takeuchi et al., 2016",1928,1928,4668,4668,1486,1486,1478,1478,754,754,1582,1582,898,898,478,478,712,712,1476,1476,2238,2238,3716,3716,366,366,2838,2838,3068,3068,2350,2350,0,0,3872,3872,784,784,1626,1626,942,942,1518,1518,900,900,566,566,1694,1694,2206,2206,1526,1526,742,742,2224,2224,1258,1258,2266,2266,1036,1036,1304,1304,1310,1310,3252,3252,812,812,402,402,1828,1828,3136,3136,1402,1402
aug_v2a.01440.t1(aug_v2a.01441.t1),FUN_033732,9.01e-121,353,Apul,Apul,OG_07331,three_way,low,XP_022780690.1,Adi-SAARP2,"Takeuchi et al., 2016",180,180,310,310,924,924,1058,1058,236,236,132,132,62,62,36,36,324,324,164,164,332,332,514,514,190,190,380,380,362,362,1674,1674,290,290,680,680,364,364,1048,1048,458,458,234,234,334,334,864,864,1170,1170,186,186,454,454,632,632,1534,1534,216,216,318,318,852,852,574,574,240,240,584,584,518,518,396,396,104,104,310,310,944,944
aug_v2a.06327.t1,FUN_043638,5.2800000000000005e-80,243,Apul,Apul,OG_10205,three_way,low,"XP_022781839.1, XP_022781915.1",SAARP3,"Takeuchi et al., 2016",1866,1866,4990,4990,1780,1780,1834,1834,1440,1440,3136,3136,1088,1088,774,774,1652,1652,5748,5748,2952,2952,3588,3588,398,398,3108,3108,3736,3736,3538,3538,286,286,2820,2820,814,814,2300,2300,740,740,1644,1644,4864,4864,2254,2254,6820,6820,3294,3294,3388,3388,446,446,1414,1414,2520,2520,3952,3952,1806,1806,1552,1552,4152,4152,3864,3864,1014,1014,488,488,948,948,722,722,2492,2492
