term,module_0,module_1,module_2,module_3,module_4,module_5,module_6,module_7,module_8,module_9,module_10,module_11,module_12,module_13,module_14,total
SH3 and multiple ankyrin repeat domains protein 2 (Shank2) (Cortactin-binding protein 1) (CortBP1) (Proline-rich synapse-associated protein 1),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Synaptotagmin-6 (Synaptotagmin VI) (SytVI),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Protein DD3-3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
"Prolyl 4-hydroxylase subunit alpha-1 (4-PH alpha-1) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-1)",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
"Mucin-5AC (MUC-5AC) (Gastric mucin) (Major airway glycoprotein) (Mucin-5 subtype AC, tracheobronchial) (Tracheobronchial mucin) (TBM)",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Gamma-aminobutyric acid type B receptor subunit 2 (GABA-B receptor 2) (GABA-B-R2) (GABA-BR2) (GABABR2) (Gb2) (G-protein coupled receptor 51) (HG20),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
G-protein coupled receptor 161,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Radial spoke head 1 homolog (Male meiotic metaphase chromosome-associated acidic protein) (Meichroacidin) (Testis-specific gene A2 protein),0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Advillin (Peripheral nervous system villin-like protein) (Pervin),0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Tetraspanin-33 (Tspan-33),0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Mitogen-activated protein kinase kinase kinase 4 (EC 2.7.11.25) (MAP three kinase 1) (MAPK/ERK kinase kinase 4) (MEK kinase 4) (MEKK 4),0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
PR domain zinc finger protein 13 (EC 2.1.1.-) (PR domain-containing protein 13),0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Galactosylceramide sulfotransferase (GalCer sulfotransferase) (EC 2.8.2.11) (3'-phosphoadenosine-5'-phosphosulfate:GalCer sulfotransferase) (3'-phosphoadenylylsulfate:galactosylceramide 3'-sulfotransferase) (Cerebroside sulfotransferase),0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
A-type voltage-gated potassium channel KCND2 (Potassium voltage-gated channel subfamily D member 2) (Voltage-gated potassium channel subunit Kv4.2),0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Wasabi receptor),0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
[F-actin]-monooxygenase MICAL3 (EC 1.14.13.225) (Molecule interacting with CasL protein 3) (MICAL-3),0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
"Acid-sensing ion channel 1C (ASIC1-C) (Acid-sensing ion channel 1.3-C) (Amiloride-sensitive cation channel 2-C, neuronal-C) (ZASIC1.3)",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Neuropeptide FF receptor 2 (G-protein coupled receptor 74) (G-protein coupled receptor HLWAR77) (Neuropeptide G-protein coupled receptor),0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
EF-hand calcium-binding domain-containing protein 6 (CAP-binding protein complex-interacting protein 1) (DJ-1-binding protein) (DJBP),0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Alpha-adducin (Erythrocyte adducin subunit alpha),0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Myoferlin (Fer-1-like protein 3),0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
"Xaa-Pro aminopeptidase 1 (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Cytosolic aminopeptidase P) (Soluble aminopeptidase P) (sAmp) (X-Pro aminopeptidase 1) (X-prolyl aminopeptidase 1, soluble)",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Major facilitator superfamily domain-containing protein 12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Low-density lipoprotein receptor-related protein 6 (LRP-6),0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Ankyrin repeat and sterile alpha motif domain-containing protein 1B (Amyloid-beta protein intracellular domain-associated protein 1) (AIDA-1) (E2A-PBX1-associated protein) (EB-1),0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
