# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "42" "-a" "../output/05-Apul-lncRNA/lncRNAs.gtf" "-o" "../output/05-Apul-lncRNA/counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../data/1A10.sorted.bam" "../data/1A12.sorted.bam" "../data/1A1.sorted.bam" "../data/1A2.sorted.bam" "../data/1A8.sorted.bam" "../data/1A9.sorted.bam" "../data/1B10.sorted.bam" "../data/1B1.sorted.bam" "../data/1B2.sorted.bam" "../data/1B5.sorted.bam" "../data/1B9.sorted.bam" "../data/1C10.sorted.bam" "../data/1C4.sorted.bam" "../data/1D10.sorted.bam" "../data/1D3.sorted.bam" "../data/1D4.sorted.bam" "../data/1D6.sorted.bam" "../data/1D8.sorted.bam" "../data/1D9.sorted.bam" "../data/1E1.sorted.bam" "../data/1E3.sorted.bam" "../data/1E5.sorted.bam" "../data/1E9.sorted.bam" "../data/1F11.sorted.bam" "../data/1F4.sorted.bam" "../data/1F8.sorted.bam" "../data/1G5.sorted.bam" "../data/1H11.sorted.bam" "../data/1H12.sorted.bam" "../data/1H6.sorted.bam" "../data/1H7.sorted.bam" "../data/1H8.sorted.bam" "../data/2B2.sorted.bam" "../data/2B3.sorted.bam" "../data/2C1.sorted.bam" "../data/2C2.sorted.bam" "../data/2D2.sorted.bam" "../data/2E2.sorted.bam" "../data/2F1.sorted.bam" "../data/2G1.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/1A10.sorted.bam	../data/1A12.sorted.bam	../data/1A1.sorted.bam	../data/1A2.sorted.bam	../data/1A8.sorted.bam	../data/1A9.sorted.bam	../data/1B10.sorted.bam	../data/1B1.sorted.bam	../data/1B2.sorted.bam	../data/1B5.sorted.bam	../data/1B9.sorted.bam	../data/1C10.sorted.bam	../data/1C4.sorted.bam	../data/1D10.sorted.bam	../data/1D3.sorted.bam	../data/1D4.sorted.bam	../data/1D6.sorted.bam	../data/1D8.sorted.bam	../data/1D9.sorted.bam	../data/1E1.sorted.bam	../data/1E3.sorted.bam	../data/1E5.sorted.bam	../data/1E9.sorted.bam	../data/1F11.sorted.bam	../data/1F4.sorted.bam	../data/1F8.sorted.bam	../data/1G5.sorted.bam	../data/1H11.sorted.bam	../data/1H12.sorted.bam	../data/1H6.sorted.bam	../data/1H7.sorted.bam	../data/1H8.sorted.bam	../data/2B2.sorted.bam	../data/2B3.sorted.bam	../data/2C1.sorted.bam	../data/2C2.sorted.bam	../data/2D2.sorted.bam	../data/2E2.sorted.bam	../data/2F1.sorted.bam	../data/2G1.sorted.bam
lncRNA_017	ntLink_4	205719	210236	+	4518	15	2	338	0	0	1	0	2	0	0	36	410	0	297	0	0	0	0	0	59	7	1	0	3	4	34	19	2	0	34	9	0	80	0	2	67	8	0	48	0
lncRNA_018	ntLink_4	238915	239578	+	664	0	0	54	1	0	0	2	0	0	0	0	66	1	2	0	0	0	0	0	2	0	0	1	6	3	0	14	0	0	0	0	0	3	0	0	1	28	13	0	2
lncRNA_019	ntLink_4	279654	284300	+	4647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_020	ntLink_4	279654	288352	+	8699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_021	ntLink_4	283774	292426	+	8653	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_022	ntLink_4	291845	300550	+	8706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_023	ntLink_4	291906	296750	+	4845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_024	ntLink_4	295980	300550	+	4571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_025	ntLink_4	42727	42956	+	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_026	ntLink_6	191350	193228	+	1879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_027	ntLink_6	191351	193228	+	1878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_028	ntLink_6	887022	888774	+	1753	6	1	13	53	10	2	17	20	5	33	28	10	10	0	59	107	21	0	100	0	2	2	98	7	7	16	15	1	6	16	0	2	12	17	46	19	221	53	70	3
lncRNA_029	ntLink_6	1001963	1008241	+	6279	670	852	466	678	867	710	757	684	473	844	700	316	549	693	389	700	736	521	577	688	451	780	695	472	938	602	807	852	438	602	721	602	716	705	412	502	588	344	810	479
lncRNA_030	ntLink_6	1112686	1115150	+	2465	286	132	6	0	59	8	251	2	1	128	124	6	125	517	13	126	299	102	159	135	404	70	175	15	143	430	3	132	80	430	199	110	197	68	0	116	88	54	84	88
lncRNA_031	ntLink_6	1169354	1171465	+	2112	0	0	19	63	0	50	0	15	41	7	0	31	0	0	0	0	0	1	0	0	0	3	0	24	0	0	29	0	0	0	8	0	0	2	26	0	0	0	0	0
lncRNA_032	ntLink_6	1298279	1299686	+	1408	110	232	31	36	53	13	506	49	35	82	57	24	70	61	22	409	2	112	171	35	20	89	873	31	256	70	18	232	33	70	73	101	120	51	22	31	131	0	217	116
lncRNA_033	ntLink_6	1331780	1332057	+	278	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_034	ntLink_6	1556695	1558178	+	1484	2111	716	445	1676	751	1143	1934	1413	1621	1668	1455	383	508	2187	980	1465	761	731	1467	2154	528	743	1863	461	851	3611	1233	716	2611	3611	1302	1153	1208	735	912	468	477	163	1450	291
lncRNA_035	ntLink_6	1760033	1761189	+	1157	70	37	184	135	8	111	65	267	335	279	4	186	78	32	156	204	158	73	165	58	4	123	113	92	62	75	159	37	37	75	180	12	5	20	162	22	62	18	52	33
lncRNA_036	ntLink_6	2344445	2346508	+	2064	49	45	25	16	46	56	50	35	55	50	110	154	89	51	60	89	47	72	72	40	84	45	65	49	8	25	77	45	102	25	19	18	27	78	7	99	40	66	32	54
lncRNA_037	ntLink_6	3021292	3023864	+	2573	1118	2996	718	593	1656	1418	633	2065	1575	1410	776	346	841	1791	1260	1486	2041	1939	362	2146	2517	1069	476	1149	1248	2564	1310	2996	1921	2564	1517	866	621	1970	525	1449	188	292	595	1857
lncRNA_038	ntLink_6	3333657	3335439	+	1783	169	15	168	31	13	116	91	20	15	21	22	20	175	10	70	22	35	75	3	25	41	0	60	91	27	0	35	15	0	0	12	120	27	4	11	51	54	22	94	60
lncRNA_039	ntLink_6	3664564	3664975	+	412	1	3	0	0	0	7	0	2	0	0	0	0	6	7	0	3	0	6	0	5	1	3	0	5	2	4	2	3	0	4	0	0	0	3	3	0	0	0	0	1
lncRNA_040	ntLink_6	3732719	3736180	+	3462	1141	564	893	1384	346	572	394	909	1659	887	2033	1492	514	969	1016	1523	475	601	953	1011	536	1028	1067	274	628	1737	780	564	1208	1737	496	613	1211	498	734	471	1086	801	1783	441
lncRNA_041	ntLink_6	3902454	3904097	+	1644	225	277	256	128	287	194	309	347	215	657	154	42	353	266	281	178	304	145	48	246	95	251	159	298	27	195	322	277	106	195	297	363	89	216	138	282	130	34	152	253
lncRNA_042	ntLink_6	4200603	4200879	+	277	0	4	1	0	0	3	0	3	0	3	0	0	3	0	2	0	6	0	0	0	6	0	0	2	6	0	5	4	3	0	0	0	0	4	0	0	0	0	0	0
lncRNA_043	ntLink_6	4639500	4728341	+	88842	0	4	0	0	0	2	21	1	0	2	0	1	5	0	6	0	0	4	0	0	0	4	3	2	13	0	10	4	0	0	2	2	0	2	0	2	0	0	9	0
lncRNA_044	ntLink_6	4640625	4728341	+	87717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_045	ntLink_6	4876495	4879026	+	2532	0	0	0	0	0	37	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	1	1	3	0	0	0	0	0
lncRNA_046	ntLink_6	4934722	4936246	+	1525	0	2	2	0	0	0	28	0	2	0	0	0	0	0	9	31	0	3	0	0	0	0	4	0	9	0	0	2	0	0	0	0	0	0	0	0	23	0	0	10
lncRNA_047	ntLink_6	4935131	4936246	+	1116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_048	ntLink_6	4983264	4986098	+	2835	0	8	36	54	9	6	34	6	10	54	16	38	38	28	48	33	24	6	24	6	0	54	36	19	22	13	21	8	18	13	24	68	64	8	37	32	46	6	33	20
lncRNA_049	ntLink_6	5056294	5057086	+	793	202	226	237	502	236	343	207	430	463	418	431	232	188	250	364	338	229	183	396	276	140	300	346	204	194	317	416	226	325	317	279	178	338	277	293	212	361	120	293	138
lncRNA_050	ntLink_6	5264577	5268941	+	4365	70	84	56	0	32	49	87	42	23	43	8	14	47	45	19	59	35	52	0	36	65	55	26	29	129	18	79	84	28	18	50	35	63	96	27	46	28	18	11	34
lncRNA_051	ntLink_6	5539143	5539663	+	521	0	0	3	2	1	4	6	4	0	0	0	0	5	4	0	0	2	4	0	2	0	1	5	0	6	2	3	0	0	2	8	1	2	1	0	3	0	0	0	0
lncRNA_052	ntLink_6	5907826	5908425	+	600	23	44	0	0	203	23	19	62	1	0	6	0	0	128	9	9	82	56	0	31	128	1	1	0	93	0	27	44	42	0	73	29	26	20	8	8	4	0	0	54
lncRNA_053	ntLink_6	5946507	5949059	+	2553	1696	926	1646	3059	763	636	1175	1583	1896	2002	3633	2483	1114	794	2012	3365	658	748	3294	1703	746	1875	2484	460	961	2575	1020	926	2227	2575	1062	1178	2152	708	1467	818	2705	2492	3741	530
lncRNA_054	ntLink_6	6012589	6015271	+	2683	3560	3289	433	2419	3380	4528	3708	5004	2211	1753	1670	446	2452	4267	1579	1864	3186	2991	1183	5072	2834	2403	1693	1006	3945	3996	4398	3289	3792	3996	3055	1806	1851	3112	925	2038	805	432	1694	1882
lncRNA_055	ntLink_6	6118655	6120984	+	2330	1164	1203	442	796	1156	716	944	1743	845	665	1025	525	834	987	546	923	810	693	846	1293	1599	1393	1310	601	1254	926	1642	1203	741	926	903	781	1455	1454	776	1023	1222	909	1048	899
lncRNA_056	ntLink_6	6296497	6324890	+	28394	501	246	736	414	551	841	216	916	511	355	310	407	453	742	414	185	279	226	71	689	345	504	150	374	287	707	941	246	954	707	342	452	449	474	213	680	85	259	394	219
lncRNA_057	ntLink_6	7084722	7086726	+	2005	1643	1291	1094	1663	422	822	748	2727	1967	1296	1810	1071	631	901	2024	3231	472	951	714	1710	1373	847	953	578	1608	2369	2006	1291	1118	2369	1034	722	832	619	1170	501	1139	456	1045	726
lncRNA_058	ntLink_6	7095664	7097165	+	1502	0	0	0	0	0	7	6	0	4	8	0	0	3	6	0	12	0	7	0	0	8	0	0	8	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	4
lncRNA_059	ntLink_6	7183058	7184097	+	1040	583	195	802	986	461	187	861	426	853	1273	888	863	826	214	849	1440	301	305	2301	302	115	643	2541	351	246	404	259	195	711	404	484	755	946	532	600	578	1068	367	2001	188
lncRNA_060	ntLink_6	7352370	7354751	+	2382	0	154	26	5	35	51	54	3	9	40	0	17	10	20	0	52	48	41	34	16	17	1	47	61	80	4	24	154	52	4	38	14	2	18	7	39	2	0	9	70
lncRNA_061	ntLink_6	7432116	7432671	+	556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_062	ntLink_6	7465722	7467150	+	1429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_063	ntLink_6	7465722	7467150	+	1429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_064	ntLink_6	7490730	7509930	+	19201	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_065	ntLink_6	7490782	7509930	+	19149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_066	ntLink_6	7491247	7493377	+	2131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_067	ntLink_6	7534719	7551215	+	16497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_068	ntLink_6	7543811	7551215	+	7405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_069	ntLink_6	7543968	7551215	+	7248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_070	ntLink_6	7544214	7551215	+	7002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_071	ntLink_6	7548691	7551215	+	2525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_072	ntLink_6	7548691	7551215	+	2525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_073	ntLink_6	7982426	7985761	+	3336	7	4	4	0	3	11	6	0	0	10	0	1	18	8	4	6	14	3	0	5	12	0	4	13	0	13	11	4	1	13	4	1	9	11	0	19	0	0	4	1
lncRNA_074	ntLink_6	7958931	7960033	+	1103	19	19	45	5	12	7	9	7	38	14	0	22	14	18	0	8	5	7	0	0	26	5	0	25	7	9	3	19	10	9	0	31	14	1	0	14	24	0	19	3
lncRNA_075	ntLink_6	7985979	7989131	+	3153	909	616	524	73	495	1298	521	373	1058	1677	785	398	2797	1854	213	660	1038	580	135	562	3707	847	185	596	567	1333	536	616	325	1333	493	4261	755	1005	477	555	634	1283	346	847
lncRNA_076	ntLink_6	8611528	8612434	+	907	0	0	50	0	0	0	0	11	0	0	0	34	30	25	0	0	0	25	0	32	2	10	0	6	15	16	59	0	0	16	0	0	4	0	0	22	0	0	0	6
lncRNA_077	ntLink_6	8926292	8927205	+	914	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	6	4	0	0	2	0	0	0	0	0	0	0	0	0
lncRNA_078	ntLink_6	8959736	8961696	+	1961	0	1	0	8	12	51	5	18	0	9	0	0	0	17	4	0	12	13	0	21	15	0	4	9	2	14	94	1	0	14	1	2	12	0	5	0	6	1	0	4
lncRNA_079	ntLink_6	9559724	9563720	+	3997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_080	ntLink_6	9559991	9569239	+	9249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_081	ntLink_6	9559991	9569239	+	9249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_082	ntLink_6	9559993	9569239	+	9247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_083	ntLink_6	9559993	9569239	+	9247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_084	ntLink_6	9560004	9569239	+	9236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_085	ntLink_6	9569856	9571186	+	1331	10	36	24	77	8	18	59	2	2	32	0	16	0	11	12	10	1	21	18	14	4	0	55	8	7	0	43	36	22	0	0	8	11	1	10	0	0	0	10	20
lncRNA_086	ntLink_6	9985183	9989332	+	4150	370	1119	118	107	1100	1160	248	661	212	110	334	24	234	1162	69	160	677	503	29	493	1843	312	93	250	905	454	911	1119	507	454	354	273	274	882	168	521	278	218	142	923
lncRNA_087	ntLink_6	10142566	10146199	+	3634	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
lncRNA_088	ntLink_6	10142631	10146199	+	3569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_089	ntLink_6	10700178	10702160	+	1983	12	82	17	64	253	211	42	32	21	0	24	26	57	45	10	42	0	33	0	33	33	98	46	29	82	0	266	82	228	0	0	215	36	100	47	61	28	71	0	49
lncRNA_090	ntLink_6	10780625	10782361	+	1737	20	0	44	0	0	0	4	2	6	3	0	16	0	10	0	0	6	12	14	7	0	0	6	6	4	0	10	0	0	0	12	0	25	0	0	0	16	0	11	2
lncRNA_091	ntLink_6	10806727	10808319	+	1593	30	8	7	13	6	1	7	2	8	10	20	8	4	0	15	9	2	0	7	11	0	9	13	3	7	16	14	8	7	16	0	0	21	4	0	2	59	0	56	4
lncRNA_092	ntLink_6	11454881	11456928	+	2048	26	18	16	29	0	75	42	1	34	5	6	8	31	5	0	18	7	3	0	4	4	27	15	34	17	0	68	18	0	0	8	0	4	175	18	94	58	16	68	0
lncRNA_093	ntLink_6	11631175	11633058	+	1884	8	5	43	8	0	8	3	3	0	9	0	13	3	19	2	27	7	0	0	21	12	30	1	4	3	16	2	5	0	16	12	12	5	0	0	4	33	0	0	2
lncRNA_094	ntLink_6	11946425	11947900	+	1476	479	201	251	400	153	285	344	329	398	541	613	282	336	418	200	622	312	313	214	449	164	365	434	207	186	387	303	201	336	387	280	269	419	248	225	236	566	179	626	154
lncRNA_095	ntLink_6	12012395	12012819	+	425	2	8	0	0	12	0	20	4	0	4	0	3	0	0	4	0	4	10	0	0	0	0	2	0	2	0	0	8	0	0	4	16	16	2	4	5	0	0	4	0
lncRNA_096	ntLink_6	12032302	12032781	+	480	1	2	2	8	7	26	26	8	0	12	0	5	4	26	2	8	27	12	0	11	19	4	0	7	12	6	14	2	2	6	7	0	4	12	7	1	3	0	11	8
lncRNA_097	ntLink_6	12560663	12564333	+	3671	24	88	25	20	50	61	134	17	13	49	31	51	57	10	37	19	37	20	45	24	85	24	52	92	55	8	48	88	8	8	21	71	31	133	14	104	82	60	19	65
lncRNA_098	ntLink_6	12654167	12654858	+	692	375	314	339	388	346	266	441	408	390	385	211	268	342	296	219	431	270	162	240	337	236	466	407	181	403	225	383	314	290	225	338	315	302	314	230	233	413	243	486	185
lncRNA_099	ntLink_6	13210101	13212000	+	1900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_100	ntLink_6	13210121	13212000	+	1880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_101	ntLink_6	13210128	13212000	+	1873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA_102	ntLink_6	13261605	13263461	+	1857	32	18	318	8	16	29	10	16	6	8	22	131	39	12	6	0	38	31	8	155	119	16	38	41	88	0	183	18	3	0	33	17	123	3	7	96	222	22	63	50
lncRNA_103	ntLink_6	13308020	13309106	+	1087	14	44	34	28	81	21	124	23	10	68	56	58	118	20	29	64	18	28	6	69	74	27	64	24	4	13	33	44	2	13	16	43	232	38	11	45	71	0	85	16
lncRNA_104	ntLink_6	13449452	13449965	+	514	0	3	127	18	0	0	4	5	3	0	32	27	9	20	5	5	2	12	29	86	24	0	0	27	39	2	52	3	3	2	14	6	38	0	0	6	22	0	0	2
