gene_id,species,group_id,type,conservation_level
FUN_000202-T1,Apul,OG_00012,three_way,high
Peve_00024058,Peve,OG_00012,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g28907.t1,Ptua,OG_00012,three_way,high
FUN_000203-T1,Apul,OG_00013,three_way,high
Peve_00019866,Peve,OG_00013,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g28908.t1,Ptua,OG_00013,three_way,high
FUN_000206-T1,Apul,OG_00014,three_way,medium
Peve_00027728,Peve,OG_00014,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28910.t1,Ptua,OG_00014,three_way,medium
FUN_000208-T1,Apul,OG_00015,three_way,medium
Peve_00027726,Peve,OG_00015,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28911.t2,Ptua,OG_00015,three_way,medium
FUN_000210-T1,Apul,OG_00016,three_way,medium
Peve_00022649,Peve,OG_00016,three_way,medium
Pocillopora_meandrina_HIv1___TS.g6133.t2,Ptua,OG_00016,three_way,medium
FUN_000212-T1,Apul,OG_00017,three_way,medium
Peve_00007289,Peve,OG_00017,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28915.t1,Ptua,OG_00017,three_way,medium
FUN_000213-T2,Apul,OG_00018,three_way,medium
Peve_00002451,Peve,OG_00018,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28916.t1,Ptua,OG_00018,three_way,medium
FUN_000215-T1,Apul,OG_00019,three_way,medium
Peve_00002445,Peve,OG_00019,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28918.t1,Ptua,OG_00019,three_way,medium
FUN_000216-T1,Apul,OG_00020,three_way,low
Peve_00018873,Peve,OG_00020,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g28926.t1,Ptua,OG_00020,three_way,low
FUN_000217-T1,Apul,OG_00021,three_way,medium
Peve_00019413,Peve,OG_00021,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28927.t1,Ptua,OG_00021,three_way,medium
FUN_000219-T1,Apul,OG_00022,three_way,medium
Peve_00019412,Peve,OG_00022,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28928.t1,Ptua,OG_00022,three_way,medium
FUN_000220-T1,Apul,OG_00023,three_way,medium
Peve_00012034,Peve,OG_00023,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28929.t1,Ptua,OG_00023,three_way,medium
FUN_000223-T1,Apul,OG_00024,three_way,medium
Peve_00012031,Peve,OG_00024,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28933.t1,Ptua,OG_00024,three_way,medium
FUN_000226-T1,Apul,OG_00025,three_way,medium
Peve_00012014,Peve,OG_00025,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28941.t1,Ptua,OG_00025,three_way,medium
FUN_000229-T1,Apul,OG_00026,three_way,medium
Peve_00012013,Peve,OG_00026,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28944.t1,Ptua,OG_00026,three_way,medium
FUN_000230-T1,Apul,OG_00027,three_way,low
Peve_00012012,Peve,OG_00027,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g28945.t1,Ptua,OG_00027,three_way,low
FUN_000231-T1,Apul,OG_00028,three_way,low
Peve_00012025,Peve,OG_00028,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g28946.t1,Ptua,OG_00028,three_way,low
FUN_000232-T1,Apul,OG_00029,three_way,medium
Peve_00033351,Peve,OG_00029,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28949.t1,Ptua,OG_00029,three_way,medium
FUN_000236-T1,Apul,OG_00030,three_way,low
Peve_00033366,Peve,OG_00030,three_way,low
Pocillopora_meandrina_HIv1___TS.g6172.t1,Ptua,OG_00030,three_way,low
FUN_000237-T1,Apul,OG_00031,three_way,medium
Peve_00033367,Peve,OG_00031,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28953.t1,Ptua,OG_00031,three_way,medium
FUN_000238-T1,Apul,OG_00032,three_way,medium
Peve_00033352,Peve,OG_00032,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28954.t1,Ptua,OG_00032,three_way,medium
FUN_000239-T1,Apul,OG_00033,three_way,high
Peve_00033353,Peve,OG_00033,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g28955.t1,Ptua,OG_00033,three_way,high
FUN_000240-T1,Apul,OG_00034,three_way,low
Peve_00033355,Peve,OG_00034,three_way,low
Pocillopora_meandrina_HIv1___TS.g6176.t1,Ptua,OG_00034,three_way,low
FUN_000243-T1,Apul,OG_00035,three_way,medium
Peve_00033358,Peve,OG_00035,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28959.t1,Ptua,OG_00035,three_way,medium
FUN_000245-T1,Apul,OG_00036,three_way,medium
Peve_00033360,Peve,OG_00036,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28960.t1,Ptua,OG_00036,three_way,medium
FUN_000247-T2,Apul,OG_00037,three_way,medium
Peve_00033364,Peve,OG_00037,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28974.t1,Ptua,OG_00037,three_way,medium
FUN_000260-T1,Apul,OG_00038,three_way,medium
Peve_00027791,Peve,OG_00038,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28975.t1,Ptua,OG_00038,three_way,medium
FUN_000261-T1,Apul,OG_00039,three_way,medium
Peve_00027784,Peve,OG_00039,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28976.t1,Ptua,OG_00039,three_way,medium
FUN_000263-T1,Apul,OG_00040,three_way,high
Peve_00027785,Peve,OG_00040,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g28977.t2,Ptua,OG_00040,three_way,high
FUN_000264-T1,Apul,OG_00041,three_way,medium
Peve_00027786,Peve,OG_00041,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28978.t1,Ptua,OG_00041,three_way,medium
FUN_000265-T1,Apul,OG_00042,three_way,high
Peve_00027789,Peve,OG_00042,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g28979.t1,Ptua,OG_00042,three_way,high
FUN_000270-T1,Apul,OG_00043,three_way,medium
Peve_00027796,Peve,OG_00043,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28983.t1,Ptua,OG_00043,three_way,medium
FUN_000272-T1,Apul,OG_00044,three_way,medium
Peve_00027798,Peve,OG_00044,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28985.t1,Ptua,OG_00044,three_way,medium
FUN_000276-T1,Apul,OG_00045,three_way,medium
Peve_00044046,Peve,OG_00045,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g28996.t1,Ptua,OG_00045,three_way,medium
FUN_000281-T1,Apul,OG_00046,three_way,low
Peve_00033554,Peve,OG_00046,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g29077.t1,Ptua,OG_00046,three_way,low
FUN_000283-T1,Apul,OG_00047,three_way,medium
Peve_00033555,Peve,OG_00047,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g29073.t1,Ptua,OG_00047,three_way,medium
FUN_000285-T1,Apul,OG_00048,three_way,medium
Peve_00033562,Peve,OG_00048,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g29071.t1,Ptua,OG_00048,three_way,medium
FUN_000289-T1,Apul,OG_00049,three_way,low
Peve_00033565,Peve,OG_00049,three_way,low
Pocillopora_meandrina_HIv1___TS.g6289.t1,Ptua,OG_00049,three_way,low
FUN_000319-T1,Apul,OG_00050,three_way,medium
Peve_00033573,Peve,OG_00050,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g29015.t1,Ptua,OG_00050,three_way,medium
FUN_000320-T1,Apul,OG_00051,three_way,high
Peve_00033574,Peve,OG_00051,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g29014.t1,Ptua,OG_00051,three_way,high
FUN_000322-T1,Apul,OG_00052,three_way,medium
Peve_00012600,Peve,OG_00052,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g29012.t1,Ptua,OG_00052,three_way,medium
FUN_000323-T1,Apul,OG_00053,three_way,high
Peve_00012596,Peve,OG_00053,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g29002.t2,Ptua,OG_00053,three_way,high
FUN_000329-T1,Apul,OG_00054,three_way,high
Peve_00033549,Peve,OG_00054,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g29081.t1,Ptua,OG_00054,three_way,high
FUN_000330-T1,Apul,OG_00055,three_way,high
Peve_00033547,Peve,OG_00055,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g29083.t1,Ptua,OG_00055,three_way,high
FUN_000334-T1,Apul,OG_00056,three_way,low
Peve_00033540,Peve,OG_00056,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g29089.t1,Ptua,OG_00056,three_way,low
FUN_000348-T1,Apul,OG_00057,three_way,low
Peve_00033538,Peve,OG_00057,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g29111.t1,Ptua,OG_00057,three_way,low
FUN_000350-T1,Apul,OG_00058,three_way,high
Peve_00033537,Peve,OG_00058,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g29114.t1,Ptua,OG_00058,three_way,high
FUN_000351-T1,Apul,OG_00059,three_way,medium
Peve_00033536,Peve,OG_00059,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g29115.t1,Ptua,OG_00059,three_way,medium
FUN_000352-T1,Apul,OG_00060,three_way,medium
Peve_00033531,Peve,OG_00060,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g29116.t1,Ptua,OG_00060,three_way,medium
FUN_000371-T1,Apul,OG_00061,three_way,high
Peve_00033529,Peve,OG_00061,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g29119.t1,Ptua,OG_00061,three_way,high
FUN_000372-T1,Apul,OG_00062,three_way,high
Peve_00033530,Peve,OG_00062,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g29118.t1,Ptua,OG_00062,three_way,high
FUN_000374-T1,Apul,OG_00063,three_way,low
Peve_00033526,Peve,OG_00063,three_way,low
Pocillopora_meandrina_HIv1___TS.g6338.t1,Ptua,OG_00063,three_way,low
FUN_000375-T1,Apul,OG_00064,three_way,medium
Peve_00028988,Peve,OG_00064,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g12644.t1,Ptua,OG_00064,three_way,medium
FUN_000378-T1,Apul,OG_00065,three_way,high
Peve_00033520,Peve,OG_00065,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g29123.t1,Ptua,OG_00065,three_way,high
FUN_000384-T1,Apul,OG_00066,three_way,medium
Peve_00033599,Peve,OG_00066,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g29126.t1,Ptua,OG_00066,three_way,medium
FUN_000387-T1,Apul,OG_00067,three_way,high
Peve_00033598,Peve,OG_00067,three_way,high
Pocillopora_meandrina_HIv1___TS.g6342.t3c,Ptua,OG_00067,three_way,high
FUN_000390-T1,Apul,OG_00068,three_way,low
Peve_00033596,Peve,OG_00068,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g2524.t1,Ptua,OG_00068,three_way,low
FUN_000391-T1,Apul,OG_00069,three_way,low
Peve_00033595,Peve,OG_00069,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g2525.t1,Ptua,OG_00069,three_way,low
FUN_000392-T1,Apul,OG_00070,three_way,medium
Peve_00033592,Peve,OG_00070,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2526.t1b,Ptua,OG_00070,three_way,medium
FUN_000393-T1,Apul,OG_00071,three_way,high
Peve_00033591,Peve,OG_00071,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g2528.t1,Ptua,OG_00071,three_way,high
FUN_000395-T1,Apul,OG_00072,three_way,medium
Peve_00033589,Peve,OG_00072,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2531.t1,Ptua,OG_00072,three_way,medium
FUN_000397-T1,Apul,OG_00073,three_way,low
Peve_00033585,Peve,OG_00073,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g2533.t1a,Ptua,OG_00073,three_way,low
FUN_000398-T1,Apul,OG_00074,three_way,high
Peve_00033583,Peve,OG_00074,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g2535.t1,Ptua,OG_00074,three_way,high
FUN_000399-T1,Apul,OG_00075,three_way,high
Peve_00033552,Peve,OG_00075,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g2540.t1,Ptua,OG_00075,three_way,high
FUN_000401-T1,Apul,OG_00076,three_way,medium
Peve_00033535,Peve,OG_00076,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.13430_t,Ptua,OG_00076,three_way,medium
FUN_000402-T1,Apul,OG_00077,three_way,high
Peve_00033527,Peve,OG_00077,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g2543.t1,Ptua,OG_00077,three_way,high
FUN_000403-T1,Apul,OG_00078,three_way,medium
Peve_00033519,Peve,OG_00078,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2544.t1,Ptua,OG_00078,three_way,medium
FUN_000407-T2,Apul,OG_00079,three_way,low
Peve_00033597,Peve,OG_00079,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g2545.t1,Ptua,OG_00079,three_way,low
FUN_000408-T1,Apul,OG_00080,three_way,low
Peve_00033593,Peve,OG_00080,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g2518.t1,Ptua,OG_00080,three_way,low
FUN_000409-T1,Apul,OG_00081,three_way,low
Peve_00033505,Peve,OG_00081,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g2517.t1,Ptua,OG_00081,three_way,low
FUN_000411-T1,Apul,OG_00082,three_way,low
Peve_00010961,Peve,OG_00082,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g2317.t1,Ptua,OG_00082,three_way,low
FUN_000413-T1,Apul,OG_00083,three_way,low
Peve_00010960,Peve,OG_00083,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.13206_t,Ptua,OG_00083,three_way,low
FUN_000418-T1,Apul,OG_00084,three_way,low
Peve_00010959,Peve,OG_00084,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g2319.t1,Ptua,OG_00084,three_way,low
FUN_000433-T1,Apul,OG_00085,three_way,medium
Peve_00011195,Peve,OG_00085,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2325.t1,Ptua,OG_00085,three_way,medium
FUN_000437-T1,Apul,OG_00086,three_way,medium
Peve_00011193,Peve,OG_00086,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2323.t1,Ptua,OG_00086,three_way,medium
FUN_000440-T1,Apul,OG_00087,three_way,high
Peve_00003439,Peve,OG_00087,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g2328.t2,Ptua,OG_00087,three_way,high
FUN_000442-T1,Apul,OG_00088,three_way,medium
Peve_00003435,Peve,OG_00088,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2332.t2,Ptua,OG_00088,three_way,medium
FUN_000445-T1,Apul,OG_00089,three_way,medium
Peve_00019114,Peve,OG_00089,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2334.t1,Ptua,OG_00089,three_way,medium
FUN_000448-T1,Apul,OG_00090,three_way,medium
Peve_00019115,Peve,OG_00090,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2336.t1,Ptua,OG_00090,three_way,medium
FUN_000449-T1,Apul,OG_00091,three_way,medium
Peve_00019109,Peve,OG_00091,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2337.t1,Ptua,OG_00091,three_way,medium
FUN_000466-T1,Apul,OG_00092,three_way,low
Peve_00005613,Peve,OG_00092,three_way,low
Pocillopora_meandrina_HIv1___TS.g4928.t1,Ptua,OG_00092,three_way,low
FUN_000468-T1,Apul,OG_00093,three_way,low
Peve_00005612,Peve,OG_00093,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g2422.t1,Ptua,OG_00093,three_way,low
FUN_000469-T1,Apul,OG_00094,three_way,medium
Peve_00005611,Peve,OG_00094,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.13309_t,Ptua,OG_00094,three_way,medium
FUN_000470-T1,Apul,OG_00095,three_way,medium
Peve_00005610,Peve,OG_00095,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2424.t1,Ptua,OG_00095,three_way,medium
FUN_000471-T1,Apul,OG_00096,three_way,high
Peve_00005607,Peve,OG_00096,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g2425.t1,Ptua,OG_00096,three_way,high
FUN_000473-T1,Apul,OG_00097,three_way,high
Peve_00029194,Peve,OG_00097,three_way,high
Pocillopora_meandrina_HIv1___TS.g4857.t1,Ptua,OG_00097,three_way,high
FUN_000478-T1,Apul,OG_00098,three_way,high
Peve_00038239,Peve,OG_00098,three_way,high
Pocillopora_meandrina_HIv1___TS.g4854.t1,Ptua,OG_00098,three_way,high
FUN_000482-T1,Apul,OG_00099,three_way,medium
Peve_00038234,Peve,OG_00099,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2344.t1,Ptua,OG_00099,three_way,medium
FUN_000483-T1,Apul,OG_00100,three_way,medium
Peve_00038235,Peve,OG_00100,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2342.t1,Ptua,OG_00100,three_way,medium
FUN_000487-T1,Apul,OG_00101,three_way,low
Peve_00038237,Peve,OG_00101,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g2341.t1,Ptua,OG_00101,three_way,low
FUN_000488-T1,Apul,OG_00102,three_way,high
Peve_00038241,Peve,OG_00102,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g2338.t1,Ptua,OG_00102,three_way,high
FUN_000489-T1,Apul,OG_00103,three_way,medium
Peve_00043825,Peve,OG_00103,three_way,medium
Pocillopora_meandrina_HIv1___TS.g4918.t1,Ptua,OG_00103,three_way,medium
FUN_000490-T1,Apul,OG_00104,three_way,medium
Peve_00043823,Peve,OG_00104,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2411.t1,Ptua,OG_00104,three_way,medium
FUN_000497-T1,Apul,OG_00105,three_way,low
Peve_00011626,Peve,OG_00105,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g2412.t1,Ptua,OG_00105,three_way,low
FUN_000498-T1,Apul,OG_00106,three_way,medium
Peve_00024154,Peve,OG_00106,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2413.t1,Ptua,OG_00106,three_way,medium
FUN_000499-T1,Apul,OG_00107,three_way,high
Peve_00024155,Peve,OG_00107,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g2414.t1,Ptua,OG_00107,three_way,high
FUN_000500-T1,Apul,OG_00108,three_way,medium
Peve_00043826,Peve,OG_00108,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2407.t1,Ptua,OG_00108,three_way,medium
FUN_000501-T1,Apul,OG_00109,three_way,low
Peve_00043828,Peve,OG_00109,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g2406.t1,Ptua,OG_00109,three_way,low
FUN_000502-T1,Apul,OG_00110,three_way,high
Peve_00043829,Peve,OG_00110,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g2405.t1,Ptua,OG_00110,three_way,high
FUN_000503-T1,Apul,OG_00111,three_way,low
Peve_00043531,Peve,OG_00111,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g18598.t1,Ptua,OG_00111,three_way,low
FUN_000510-T1,Apul,OG_00112,three_way,medium
Peve_00029232,Peve,OG_00112,three_way,medium
Pocillopora_meandrina_HIv1___TS.g4915.t1,Ptua,OG_00112,three_way,medium
FUN_000511-T1,Apul,OG_00113,three_way,medium
Peve_00029231,Peve,OG_00113,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2404.t1,Ptua,OG_00113,three_way,medium
FUN_000531-T1,Apul,OG_00114,three_way,medium
Peve_00008085,Peve,OG_00114,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g27136.t1,Ptua,OG_00114,three_way,medium
FUN_000533-T1,Apul,OG_00115,three_way,high
Peve_00039811,Peve,OG_00115,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g2384.t1,Ptua,OG_00115,three_way,high
FUN_000534-T1,Apul,OG_00116,three_way,medium
Peve_00039809,Peve,OG_00116,three_way,medium
Pocillopora_meandrina_HIv1___TS.g4886.t2,Ptua,OG_00116,three_way,medium
FUN_000535-T1,Apul,OG_00117,three_way,low
Peve_00039805,Peve,OG_00117,three_way,low
Pocillopora_meandrina_HIv1___TS.g4883.t1,Ptua,OG_00117,three_way,low
FUN_000536-T1,Apul,OG_00118,three_way,high
Peve_00039803,Peve,OG_00118,three_way,high
Pocillopora_meandrina_HIv1___TS.g4882.t1,Ptua,OG_00118,three_way,high
FUN_000537-T1,Apul,OG_00119,three_way,medium
Peve_00039797,Peve,OG_00119,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2375.t1,Ptua,OG_00119,three_way,medium
FUN_000538-T1,Apul,OG_00120,three_way,medium
Peve_00039795,Peve,OG_00120,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2374.t1,Ptua,OG_00120,three_way,medium
FUN_000541-T1,Apul,OG_00121,three_way,medium
Peve_00039832,Peve,OG_00121,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2372.t1,Ptua,OG_00121,three_way,medium
FUN_000542-T1,Apul,OG_00122,three_way,medium
Peve_00039829,Peve,OG_00122,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2370.t1,Ptua,OG_00122,three_way,medium
FUN_000544-T1,Apul,OG_00123,three_way,medium
Peve_00039828,Peve,OG_00123,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2369.t1,Ptua,OG_00123,three_way,medium
FUN_000545-T1,Apul,OG_00124,three_way,high
Peve_00039827,Peve,OG_00124,three_way,high
Pocillopora_meandrina_HIv1___RNAseq.g2368.t1,Ptua,OG_00124,three_way,high
FUN_000549-T1,Apul,OG_00125,three_way,low
Peve_00035147,Peve,OG_00125,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g17849.t1,Ptua,OG_00125,three_way,low
FUN_000550-T1,Apul,OG_00126,three_way,medium
Peve_00039823,Peve,OG_00126,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2362.t1,Ptua,OG_00126,three_way,medium
FUN_000554-T1,Apul,OG_00127,three_way,low
Peve_00039816,Peve,OG_00127,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g2466.t1,Ptua,OG_00127,three_way,low
FUN_000555-T1,Apul,OG_00128,three_way,low
Peve_00039814,Peve,OG_00128,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g2464.t1,Ptua,OG_00128,three_way,low
FUN_000556-T1,Apul,OG_00129,three_way,medium
Peve_00039813,Peve,OG_00129,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2463.t1,Ptua,OG_00129,three_way,medium
FUN_000559-T1,Apul,OG_00130,three_way,medium
Peve_00010241,Peve,OG_00130,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2460.t1,Ptua,OG_00130,three_way,medium
FUN_000562-T1,Apul,OG_00131,three_way,medium
Peve_00041890,Peve,OG_00131,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2459.t1,Ptua,OG_00131,three_way,medium
FUN_000563-T1,Apul,OG_00132,three_way,low
Peve_00041882,Peve,OG_00132,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g2457.t1,Ptua,OG_00132,three_way,low
FUN_000564-T1,Apul,OG_00133,three_way,medium
Peve_00041880,Peve,OG_00133,three_way,medium
Pocillopora_meandrina_HIv1___TS.g4968.t1,Ptua,OG_00133,three_way,medium
FUN_000568-T1,Apul,OG_00134,three_way,low
Peve_00034143,Peve,OG_00134,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g2453.t1,Ptua,OG_00134,three_way,low
FUN_000569-T1,Apul,OG_00135,three_way,medium
Peve_00034755,Peve,OG_00135,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2452.t1,Ptua,OG_00135,three_way,medium
FUN_000570-T1,Apul,OG_00136,three_way,medium
Peve_00034728,Peve,OG_00136,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2451.t1,Ptua,OG_00136,three_way,medium
FUN_000574-T1,Apul,OG_00137,three_way,medium
Peve_00034745,Peve,OG_00137,three_way,medium
Pocillopora_meandrina_HIv1___TS.g4950.t1,Ptua,OG_00137,three_way,medium
FUN_000576-T1,Apul,OG_00138,three_way,medium
Peve_00034748,Peve,OG_00138,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2437.t1,Ptua,OG_00138,three_way,medium
FUN_000577-T1,Apul,OG_00139,three_way,medium
Peve_00034749,Peve,OG_00139,three_way,medium
Pocillopora_meandrina_HIv1___RNAseq.g2436.t1,Ptua,OG_00139,three_way,medium
FUN_000578-T1,Apul,OG_00140,three_way,low
Peve_00034754,Peve,OG_00140,three_way,low
Pocillopora_meandrina_HIv1___TS.g4935.t1,Ptua,OG_00140,three_way,low
FUN_000580-T1,Apul,OG_00141,three_way,low
Peve_00034764,Peve,OG_00141,three_way,low
Pocillopora_meandrina_HIv1___RNAseq.g29301.t1,Ptua,OG_00141,three_way,low
FUN_000582-T1,Apul,OG_00142,three_way,low
Peve_00034702,Peve,OG_00142,three_way,low
Pocillopora_meandrina_HIv1___TS.g6501.t1,Ptua,OG_00142,three_way,low
