"","mirna","X4","interaction","X","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","Source","Significance","V1","V3","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"412","Cluster_10452","FUN_027408","Cluster_10452 _ FUN_027408",869275,"Cluster_10452","FUN_027408",0.529150214007161,0.000447055697903578,0.0443442385321673,"mRNA","p < 0.05","ptg000021l:4575903-4581823","P14381","Transposon TX1 uncharacterized 149 kDa protein (ORF 2)","Xenopus laevis (African clawed frog)","","GO:0003824"
"418","Cluster_10452","FUN_028765","Cluster_10452 _ FUN_028765",912268,"Cluster_10452","FUN_028765",0.528730299997281,0.00045263441603316,0.0446436980863182,"mRNA","p < 0.05","ptg000022l:3654157-3657525","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
"523","Cluster_10452","FUN_035356","Cluster_10452 _ FUN_035356",1144981,"Cluster_10452","FUN_035356",0.542241243591546,0.000301216962453112,0.0357988219506939,"mRNA","p < 0.05","ptg000025l:6684049-6694617","Q5REG4","Probable E3 ubiquitin-protein ligase DTX3 (EC 2.3.2.27) (Protein deltex-3) (Deltex3) (RING-type E3 ubiquitin transferase DTX3)","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)","Notch signaling pathway [GO:0007219]; protein ubiquitination [GO:0016567]","GO:0005737; GO:0007219; GO:0016567; GO:0016740; GO:0046872"
"536","Cluster_10452","FUN_036953","Cluster_10452 _ FUN_036953",1199194,"Cluster_10452","FUN_036953",0.613313361675259,2.57917989854399e-05,0.00900211479519156,"mRNA","p < 0.05","ptg000026l:3799772-3814506","Q68F72","Solute carrier family 15 member 4","Xenopus laevis (African clawed frog)","dipeptide import across plasma membrane [GO:0140206]; innate immune response [GO:0045087]; mast cell homeostasis [GO:0033023]; peptidoglycan transport [GO:0015835]; positive regulation of innate immune response [GO:0045089]; positive regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway [GO:0070430]; positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070434]; positive regulation of toll-like receptor 7 signaling pathway [GO:0034157]; positive regulation of toll-like receptor 8 signaling pathway [GO:0034161]; positive regulation of toll-like receptor 9 signaling pathway [GO:0034165]; protein transport [GO:0015031]; regulation of isotype switching to IgG isotypes [GO:0048302]; regulation of nucleotide-binding oligomerization domain containing signaling pathway [GO:0070424]","GO:0005290; GO:0005765; GO:0015031; GO:0015333; GO:0015647; GO:0015835; GO:0031901; GO:0033023; GO:0034157; GO:0034161; GO:0034165; GO:0036020; GO:0045087; GO:0045089; GO:0048302; GO:0070424; GO:0070430; GO:0070434; GO:0071916; GO:0140206"
"574","Cluster_10452","FUN_039787","Cluster_10452 _ FUN_039787",1299919,"Cluster_10452","FUN_039787",0.505551405634406,0.000876013764575943,0.063737470372013,"mRNA","p < 0.05","ptg000031l:159468-161755","Q7L1S5","Carbohydrate sulfotransferase 9 (EC 2.8.2.-) (GalNAc-4-O-sulfotransferase 2) (GalNAc-4-ST2) (GalNAc4ST-2) (N-acetylgalactosamine-4-O-sulfotransferase 2)","Homo sapiens (Human)","carbohydrate biosynthetic process [GO:0016051]; chondroitin sulfate biosynthetic process [GO:0030206]; glycosaminoglycan metabolic process [GO:0030203]; hormone biosynthetic process [GO:0042446]; proteoglycan biosynthetic process [GO:0030166]; sulfur compound metabolic process [GO:0006790]","GO:0000139; GO:0001537; GO:0005576; GO:0006790; GO:0008146; GO:0016020; GO:0016051; GO:0030166; GO:0030203; GO:0030206; GO:0042446; GO:0047756"
"587","Cluster_10452","FUN_040401","Cluster_10452 _ FUN_040401",1324756,"Cluster_10452","FUN_040401",0.539880421458413,0.000323834935205687,0.0372439052487131,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"601","Cluster_10452","FUN_041874","Cluster_10452 _ FUN_041874",1372033,"Cluster_10452","FUN_041874",0.53140126422522,0.000418185817575013,0.0427288027936527,"mRNA","p < 0.05","ptg000035l:8484240-8497238","P49959","Double-strand break repair protein MRE11 (EC 3.1.-.-) (Double-strand break repair protein MRE11A) (Meiotic recombination 11 homolog 1) (MRE11 homolog 1) (Meiotic recombination 11 homolog A) (MRE11 homolog A)","Homo sapiens (Human)","cell population proliferation [GO:0008283]; cellular response to DNA damage stimulus [GO:0006974]; DNA double-strand break processing [GO:0000729]; DNA duplex unwinding [GO:0032508]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA strand resection involved in replication fork processing [GO:0110025]; double-strand break repair [GO:0006302]; double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via nonhomologous end joining [GO:0006303]; homologous chromosome pairing at meiosis [GO:0007129]; homologous recombination [GO:0035825]; meiotic DNA double-strand break formation [GO:0042138]; mitochondrial double-strand break repair via homologous recombination [GO:0097552]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; mitotic G2/M transition checkpoint [GO:0044818]; mitotic intra-S DNA damage checkpoint signaling [GO:0031573]; negative regulation of apoptotic process [GO:0043066]; positive regulation of kinase activity [GO:0033674]; positive regulation of protein autophosphorylation [GO:0031954]; positive regulation of telomere maintenance [GO:0032206]; reciprocal meiotic recombination [GO:0007131]; regulation of mitotic recombination [GO:0000019]; sister chromatid cohesion [GO:0007062]; telomere maintenance [GO:0000723]; telomere maintenance via telomerase [GO:0007004]; telomeric 3' overhang formation [GO:0031860]","GO:0000014; GO:0000019; GO:0000723; GO:0000724; GO:0000729; GO:0000781; GO:0003690; GO:0004518; GO:0004520; GO:0005634; GO:0005654; GO:0005657; GO:0005737; GO:0005829; GO:0006281; GO:0006302; GO:0006303; GO:0006310; GO:0006974; GO:0007004; GO:0007062; GO:0007095; GO:0007129; GO:0007131; GO:0008022; GO:0008283; GO:0008296; GO:0008408; GO:0008409; GO:0016605; GO:0030145; GO:0030870; GO:0031573; GO:0031860; GO:0031954; GO:0032206; GO:0032508; GO:0033674; GO:0035825; GO:0035861; GO:0042138; GO:0042802; GO:0043066; GO:0044818; GO:0045296; GO:0070533; GO:0097552; GO:0098687; GO:0110025"
"603","Cluster_10452","FUN_041882","Cluster_10452 _ FUN_041882",1372084,"Cluster_10452","FUN_041882",0.547977345554554,0.000252059166775904,0.032356883306512,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"605","Cluster_10452","FUN_042168","Cluster_10452 _ FUN_042168",1383559,"Cluster_10452","FUN_042168",0.511801007234098,0.000736521750416186,0.0581246998873025,"mRNA","p < 0.05","ptg000036l:1484613-1486182","Q7L622","G2/M phase-specific E3 ubiquitin-protein ligase (EC 2.3.2.26) (G2/M phase-specific HECT-type E3 ubiquitin transferase)","Homo sapiens (Human)","apoptotic process [GO:0006915]","GO:0004842; GO:0005634; GO:0005730; GO:0005794; GO:0005829; GO:0006915; GO:0043231; GO:0046872"
"620","Cluster_10452","FUN_042904","Cluster_10452 _ FUN_042904",1406254,"Cluster_10452","FUN_042904",0.566935018129029,0.000136632327603582,0.0231300363168796,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"637","Cluster_10452","FUN_044233","Cluster_10452 _ FUN_044233",1458325,"Cluster_10452","FUN_044233",0.501125448059569,0.000988545242795122,0.0679694161531447,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"638","Cluster_11565","FUN_001301","Cluster_11565 _ FUN_001301",160376,"Cluster_11565","FUN_001301",0.673912540037677,1.87339188743037e-06,0.00181176473123932,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"645","Cluster_11565","FUN_001855","Cluster_11565 _ FUN_001855",183683,"Cluster_11565","FUN_001855",0.613373108880052,2.57320630613142e-05,0.00899212568172282,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"646","Cluster_11565","FUN_001887","Cluster_11565 _ FUN_001887",182918,"Cluster_11565","FUN_001887",0.509234109211606,0.000791220764103029,0.0602899851762856,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"654","Cluster_11565","FUN_000584","Cluster_11565 _ FUN_000584",132785,"Cluster_11565","FUN_000584",0.572262973826865,0.000114251772813719,0.0208852948313315,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"661","Cluster_11565","FUN_001169","Cluster_11565 _ FUN_001169",153542,"Cluster_11565","FUN_001169",0.537101719152315,0.000352401622261889,0.0389755635539247,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"663","Cluster_11565","FUN_003719","Cluster_11565 _ FUN_003719",34712,"Cluster_11565","FUN_003719",0.701315375740303,4.64121672681544e-07,0.000697679881000585,"mRNA","p < 0.05","ntLink_8:14665340-14714330","P19477","Fibrinogen-like protein A (FREP-A)","Apostichopus parvimensis (Warty sea cucumber) (Stichopus parvimensis)","",""
"668","Cluster_11565","FUN_004024","Cluster_11565 _ FUN_004024",44453,"Cluster_11565","FUN_004024",0.772727207867809,5.16069953286676e-09,2.42220510056474e-05,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"674","Cluster_11565","FUN_004306","Cluster_11565 _ FUN_004306",56234,"Cluster_11565","FUN_004306",0.641241167407586,8.26585171384828e-06,0.00456273283775806,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"688","Cluster_11565","FUN_004984","Cluster_11565 _ FUN_004984",87140,"Cluster_11565","FUN_004984",0.564141368480762,0.000149885926740884,0.0241860053078914,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"689","Cluster_11565","FUN_005154","Cluster_11565 _ FUN_005154",92648,"Cluster_11565","FUN_005154",0.707317580899103,3.34824529230394e-07,0.000542074555396237,"mRNA","p < 0.05","ntLink_8:31874157-31875078","Q924H0","Neuropeptide FF receptor 2 (G-protein coupled receptor 74) (Neuropeptide NPFF receptor)","Mus musculus (Mouse)","G protein-coupled receptor signaling pathway [GO:0007186]; regulation of adenylate cyclase activity [GO:0045761]; regulation of cAMP-dependent protein kinase activity [GO:2000479]; regulation of MAPK cascade [GO:0043408]","GO:0004930; GO:0005886; GO:0007186; GO:0008188; GO:0015629; GO:0031628; GO:0042277; GO:0043408; GO:0045761; GO:2000479"
"694","Cluster_11565","FUN_005348","Cluster_11565 _ FUN_005348",101726,"Cluster_11565","FUN_005348",0.503433873351351,0.000928346060155594,0.0656841214756797,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"702","Cluster_11565","FUN_006930","Cluster_11565 _ FUN_006930",241925,"Cluster_11565","FUN_006930",0.723648113745667,1.32001878495084e-07,0.00028655684738753,"mRNA","p < 0.05","ptg000001l:18432732-18469418","P0C6B8","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","Rattus norvegicus (Rat)","cell adhesion [GO:0007155]; epidermis development [GO:0008544]; gene expression [GO:0010467]; lymph circulation [GO:0003017]; lymph vessel development [GO:0001945]; lymph vessel morphogenesis [GO:0036303]; Tie signaling pathway [GO:0048014]; tight junction organization [GO:0120193]","GO:0001945; GO:0003017; GO:0003682; GO:0005509; GO:0005615; GO:0005634; GO:0005737; GO:0007155; GO:0008544; GO:0010467; GO:0016020; GO:0031012; GO:0036303; GO:0048014; GO:0120193"
"703","Cluster_11565","FUN_006933","Cluster_11565 _ FUN_006933",240599,"Cluster_11565","FUN_006933",0.569147753724759,0.000126896565503325,0.022220203919579,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"706","Cluster_11565","FUN_007101","Cluster_11565 _ FUN_007101",249269,"Cluster_11565","FUN_007101",0.607369249022545,3.24079718990666e-05,0.010321107159145,"mRNA","p < 0.05","ptg000001l:20492013-20508659","Q2PZL6","Protocadherin Fat 4 (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)","Mus musculus (Mouse)","branching involved in ureteric bud morphogenesis [GO:0001658]; cell-cell adhesion [GO:0098609]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor cell stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]","GO:0001658; GO:0001736; GO:0001822; GO:0003007; GO:0005509; GO:0005886; GO:0007009; GO:0007156; GO:0007157; GO:0007219; GO:0008543; GO:0021987; GO:0022008; GO:0035329; GO:0043931; GO:0045177; GO:0048565; GO:0060122; GO:0072006; GO:0072137; GO:0072307; GO:0098609"
"709","Cluster_11565","FUN_006018","Cluster_11565 _ FUN_006018",206429,"Cluster_11565","FUN_006018",0.532376610159009,0.000406204192678446,0.0420617836795117,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"711","Cluster_11565","FUN_006225","Cluster_11565 _ FUN_006225",211172,"Cluster_11565","FUN_006225",0.634373675102048,1.10492213790486e-05,0.00547394405333619,"mRNA","p < 0.05","ptg000001l:9414765-9456959","C0H691","Small cysteine-rich protein 2 (Amil-SCRiP2) (SCRiP2)","Acropora millepora (Staghorn coral) (Heteropora millepora)","","GO:0005576; GO:0042151; GO:0090729"
"738","Cluster_11565","FUN_010843","Cluster_11565 _ FUN_010843",373046,"Cluster_11565","FUN_010843",0.55768211864546,0.000185080779060433,0.0272558884299826,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"741","Cluster_11565","FUN_010893","Cluster_11565 _ FUN_010893",374729,"Cluster_11565","FUN_010893",0.533853161715234,0.000388650297234583,0.0410753857801249,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"751","Cluster_11565","FUN_013133","Cluster_11565 _ FUN_013133",449240,"Cluster_11565","FUN_013133",0.673296506582366,1.92985139948188e-06,0.00184773820886861,"mRNA","p < 0.05","ptg000008l:19895363-19904531","P22757","Hatching enzyme (HE) (HEZ) (EC 3.4.24.12) (Envelysin) (Sea-urchin-hatching proteinase) [Cleaved into: Hatching enzyme 18 kDa form]","Paracentrotus lividus (Common sea urchin)","proteolysis [GO:0006508]","GO:0004222; GO:0006508; GO:0008270; GO:0031012"
"757","Cluster_11565","FUN_013464","Cluster_11565 _ FUN_013464",461429,"Cluster_11565","FUN_013464",0.527215192253372,0.000473284982296796,0.045659583180835,"mRNA","p < 0.05","ptg000008l:22866035-22965200","Q7RTR2","NLR family CARD domain-containing protein 3 (CARD15-like protein) (Caterpiller protein 16.2) (CLR16.2) (NACHT, LRR and CARD domains-containing protein 3) (Nucleotide-binding oligomerization domain protein 3)","Homo sapiens (Human)","I-kappaB kinase/NF-kappaB signaling [GO:0007249]; intracellular signal transduction [GO:0035556]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of inflammatory response [GO:0050728]; negative regulation of innate immune response [GO:0045824]; negative regulation of interferon-alpha production [GO:0032687]; negative regulation of interferon-beta production [GO:0032688]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of phosphatidylinositol 3-kinase signaling [GO:0014067]; negative regulation of tumor necrosis factor production [GO:0032720]; T cell activation [GO:0042110]","GO:0005524; GO:0005737; GO:0005829; GO:0007249; GO:0014067; GO:0032088; GO:0032687; GO:0032688; GO:0032715; GO:0032720; GO:0034451; GO:0035556; GO:0036312; GO:0042110; GO:0043124; GO:0043231; GO:0045824; GO:0048147; GO:0048471; GO:0050680; GO:0050728; GO:1900016; GO:1900226; GO:1901223"
"769","Cluster_11565","FUN_012341","Cluster_11565 _ FUN_012341",422771,"Cluster_11565","FUN_012341",0.768713944573866,6.92675137693056e-09,3.10851943064467e-05,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"776","Cluster_11565","FUN_014695","Cluster_11565 _ FUN_014695",493049,"Cluster_11565","FUN_014695",0.66002883640709,3.5983533453653e-06,0.00278503838847533,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"791","Cluster_11565","FUN_015354","Cluster_11565 _ FUN_015354",522476,"Cluster_11565","FUN_015354",0.716548210804176,1.99410345996458e-07,0.000377378301570023,"mRNA","p < 0.05","ptg000009l:9136191-9157636","Q4R4S5","Lysosomal acid lipase/cholesteryl ester hydrolase (Acid cholesteryl ester hydrolase) (LAL) (EC 3.1.1.13) (Cholesteryl esterase) (Lipase A) (Sterol esterase)","Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)","lipid catabolic process [GO:0016042]","GO:0004771; GO:0005764; GO:0016042"
"808","Cluster_11565","FUN_018537","Cluster_11565 _ FUN_018537",620651,"Cluster_11565","FUN_018537",0.699977072878107,4.98634392671878e-07,0.000733962448458365,"mRNA","p < 0.05","ptg000012l:10601213-10614709","P21328","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)","Drosophila melanogaster (Fruit fly)","","GO:0003964"
"809","Cluster_11565","FUN_017757","Cluster_11565 _ FUN_017757",587858,"Cluster_11565","FUN_017757",0.570917905527944,0.000119564530826454,0.0214327171835152,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"816","Cluster_11565","FUN_019559","Cluster_11565 _ FUN_019559",644519,"Cluster_11565","FUN_019559",0.692557837674455,7.36992438118602e-07,0.000950548701752488,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"824","Cluster_11565","FUN_022255","Cluster_11565 _ FUN_022255",677822,"Cluster_11565","FUN_022255",0.69545044084419,6.33733941575334e-07,0.00087166552973278,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"830","Cluster_11565","FUN_022386","Cluster_11565 _ FUN_022386",683738,"Cluster_11565","FUN_022386",0.644798404284109,7.09210223248224e-06,0.00418328822206009,"mRNA","p < 0.05","ptg000016l:8417890-8465831","P00765","Trypsin-1 (EC 3.4.21.4) (Trypsin I)","Astacus astacus (Noble crayfish) (Astacus fluviatilis)","digestion [GO:0007586]; proteolysis [GO:0006508]","GO:0004252; GO:0005615; GO:0006508; GO:0007586; GO:0046872"
